slug	current_authors	rakuten_author
anan-3-wa-deatte-sanbyou-de-gattai-shitai	okamura	松林 佑
anata-dake-ga-suki	極楽院櫻子	さくらあしか
anata-de-fukuramu-watashi-no-peshanko	金森ケイタ	滝沢リネン
anata-ga-hoshii	内田一奈	内田一菜
anata-ni-dake-wa	吉舎和幸	柏木郁乃
anata-no-mirai-o-yurusanai	鳴海マイカ|顎木あくみ	倫理きよ/Syousa./jimao
anata-no-sukina-hana	竹宮惠子	竹宮恵子
anata-no-tame-nara-nannidemo	辻恵	つごもり
anata-o-hitorijime	内田カヲル	内田かおる
andou-kanoko-no-angou-file	関﨑俊三	関崎　俊三
andromeda-stories	竹宮惠子|光瀬竜	竹宮恵子
ane-ni-naritai-gishi-vs-yuri-ni-naritai-imouto	じゃが	森
ane-no-migawari-de-konyaku-shitara-naze-henkyou-no-seijo-to-yobareru-you-ni-narimashita	茶園あま	こなきなこ/冬月光輝
anemone-wa-netsu-o-obiru	studio HIP-CATs	桜木蓮
angel-baby-cupid	なかはら★ももた	なかはら桃太
angel-foyson	澁澤工房	澁沢工房
angelique-ensemble	(unknown)	光栄
ani-koi	ゴツボ×リュウジ	ゴツボリュウジ
aniizu-pantsuaa	片山誠	かたやま まこと
anima-1987	新岡浩美	寿限無
ankoku-kishidanchou-to-seishun-girl	神田哲也漫画家	りしん
anna-comnena	小林丸々	佐藤 二葉
annetta-no-sanpomichi	清瀨赤目	清瀬赤目
ano-hi-no-boku-o-sagashite	小暮あゆみ	木暮あゆみ
ano-ko-obake-dayotsu	浜慎二	浜　慎一
ano-ko-to-boku-to-ano-hito-to	極楽院櫻子	さくらあしか
ano-ko-wa-shoujo-no-furi-o-shite	はるこ	田中 文
ano-youkya-no-yabai-kanojo-ga-konna-boku-to-hna-koto-ni-naru-nante	霧崎秀征	アンソロジー
another-deadman-wonderland	あかうめ	片岡人生/近藤一馬
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	篠崎ゆうま|fufufu	fufu
anpanman-ai-yuuki-yuujou	東京ムービー	やなせたかし/東京ム-ビ-
ansangu-cinderella	Winshluss	荒井ママレ/富野浩充
anta-o-100-doku-100-no-serifu	山本夜	彩木咲花
anta-wa-ore-no-omega-daro	蘇我捨恥	猫野まりこ
ao-barahime-no-yarinaoshi-kakumeiki	優月祥|esk	枢呂紅/双葉はづき
ao-mata-ao	獸木野生	伸たまき
ao-ni-rakurai	花時めに	虹沢 羽見
ao-no-6-gou	小澤さとる	小沢さとる
ao-no-otoko	ベルネ	Ｂｅｌｎｅ
ao-no-suit	谷口ジロー	狩撫麻礼/谷口ジロ-
aobara-antique-no-shoukoujo	こん炉	コリス/道草　家守/沙月
aohada-kyonyuu-to-kuso-bocchi	シンギョウガク	十五夜
aohare-otome	ハルpub. 2020	あかり/ハル
aoi-kun-niwa-kanawanai	小牧街	押川 いい
aoi-uroko-to-suna-no-machi	こゆき	小森羊仔
aoine-shiba-kun	白山仁	木村光博
api	瀬納よしき|淀川ゆお|ヴァージニア二等兵|桜日梯子|比村奇石|ほむらじいこ|銀子	アンソロジー
appare-kappoore	菅野博之	菅野博士
appare-tenka-gomen	TATE	宮社　惣恭/BaseSon
