slug	title	year	missing
kouwakokukakyuuden-akuyakuhimenitenseishitayoudesugaoshikatsuniisogashii	康和国花宮伝 : 悪役姫に転生したようですが、推し活に忙しいのでお役御免させていただきます	2026	説明欠
kubi-o-matsuru	首をまつる	2026	両方欠
kubinashinogotokitatarumono	首無の如き祟るもの	2026	説明欠
kumonouewaitsumohare-anoyotokonoyonoaidaniarufushiginasekai	雲の上はいつも晴れ : あの世とこの世の間にある不思議な世界	2026	説明欠
kurabetekemishite-kouetsubunokujuusan	くらべて、けみして : 校閲部の九重さん	2026	説明欠
kurashitemitaramanpukutaigohan-puukettotokidokibankoku	暮らしてみたらまんぷく!タイごはん : プーケットときどきバンコク	2026	説明欠
kurasumeitowaisekaiten-inanoniwatashiwaisekaitensei	クラスメイトは異世界転移なのに私は異世界転生	2026	説明欠
kurisutahajimetenomangaseisakunyuumon	クリスタはじめての漫画制作入門	2026	説明欠
kurohyoukunwatabechaitai	黒豹くんは食べちゃいたい。	2026	説明欠
kuronekonoougonkitsunenoyoru	黒猫の黄金、狐の夜. 上	2026	説明欠
kurorekishiniyoroshiku	黒歴史によろしく	2026	説明欠
kuruhimonekomeewaku	来る日もねこめーわく	2026	説明欠
kusegami-no-megamiko	癖神のメガミコ	2026	両方欠
kuzuouji-yarinaosu-zamaasareteshindakedo-kondowasujigakibuchikowashitei	クズ王子、やりなおす! : ざまぁされて死んだけど、今度は筋書きブチ壊して生き延びる. Volume	2026	説明欠
kyoto-kagai-ha-konoyo-no-jigoku	京都花街はこの世の地獄	2026	両方欠
kyou-mo-neko-sama-no-atsu-ga-tsuyoi	今日もネコ様の圧が強い	2026	キャッチ欠
kyoufushinbun-orijinarukanzenban	恐怖新聞 : オリジナル完全版. Vol	2026	説明欠
kyoukarabokuwakanojonobatsubatsuokaishousuru	今日から僕は、彼女の××を解消する。	2026	説明欠
kyoukasannokoinohiyaku	恭花さんの恋の秘薬	2026	説明欠
kyoumobarezunisugoseta	きょうもバレずに過ごせた!	2026	説明欠
kyoumokafenanakusabiyori	今日もカフェななくさ日和	2026	説明欠
kyuuketsuoujitoikeniehanayome	吸血皇子と生贄花嫁	2026	説明欠
machigaeraretahanayome	間違えられた花嫁	2026	説明欠
mahiru-kun-wa-otouto-no-tomodachi	真昼くんは弟の友達	2026	両方欠
makinaniomakase	マキナにおまかせ	2026	説明欠
maryoku-0-demo-majutsu-gurui-datta-node-daini-no-jinsei-dewa-musou-suru	魔力0でも魔術狂いだったので、第二の人生では無双する	2026	両方欠
masutaazuobuyunibaasu-houkainoken	マスターズ・オブ・ユニバース : 崩壊の剣	2026	説明欠
mate-ga-dekinai-hinata-kun	待てができない日向くん	2026	キャッチ欠
matsuoka-the-incredible	Matsuoka the incredible	2026	両方欠
migawari-hanayome	身代わり花嫁	2026	両方欠
migawari-kon-no-shohousen	身代わり婚の処方箋	2026	両方欠
mikka-ni-1-kai-wa-yuurei-miru-hito-no-kowai-hanashi	3日に1回はユーレイ視る人の怖い話	2026	両方欠
minioboenonaidekiaidesugasokomadeaisaretarashikatanai-boukyakunootome	身に覚えのない溺愛ですがそこまで愛されたら仕方ない : 忘却の乙女は神様に永遠に愛されるようです	2026	説明欠
mojiru-hito	もじるひと	2026	キャッチ欠
morohoshi-daijirou-tanpen-shuusei	諸星大二郎短編集成	2026	キャッチ欠
mushijingiofisharukomikku	蟲神器オフィシャルコミック	2026	説明欠
mushoku-no-watashi-to-tennen-haabu-ouji-no-majo-recipe	無職の私と天然ハーブ王子の魔女レシピ	2026	両方欠
nakatoori-diary	中通りダイアリー	2026	キャッチ欠
nanatsunouminikakomarete-roshiatokaigun	七つの海に囲まれて : ロシアと海軍	2026	説明欠
nani-ga-tame-ni-kishi-wa-tatsu	何がために騎士は立つ	2026	両方欠
neko-inu-mangakaki	ねこいぬ漫画かき	2026	両方欠
neko-no-yume-hito-no-yume	ねこの夢ひとの夢	2026	両方欠
nekomatakurobee	猫又黒兵衛	2026	説明欠
neon-fish	ネオンフィッシュ	2026	キャッチ欠
nigatsunikoroshitesakuraniumeru	二月に殺して桜に埋める	2026	説明欠
