区分	現slug	title
新刊	akuyakureijouttenowakouyarunoyo	悪役令嬢ってのはこうやるのよ
新刊	akuyakureijounoyuigonjou	悪役令嬢の遺言状
新刊	aishiterutoomounaraba	愛してると思うならば
新刊	aitokairoiroarutokoro	愛とかいろいろあるところ
新刊	oshisamanooosenomamani	推し様の仰せのままに
新刊	houkagobokakende	放課後、ボカ研で!
新刊	hoshinokawariniaishiteyaruyo	星のかわりに愛してやるよ
新刊	hoshinokaabiimottopupupunamainichi	星のカービィもっと!!プププなまいにち
新刊	hoshinokaabiiyuruttopupupu	星のカービィゆるっとプププ. きょろきょろ編
新刊	futsuunohonwaarimasen	普通の本はありません!
新刊	kagetorakunwamodorenai	景虎君はもどれない
新刊	saikyoukawaiiakiragyaru	最強!かわいい!あきらギャル
新刊	saikyoudemodorichuunenboukenshawaimasarainochinantekaketakunai	最強出戻り中年冒険者は、いまさら命なんてかけたくない
新刊	saikounokoibitokouho	最高の恋人候補
新刊	gekkounokyoushitsu	月虹の教室
新刊	honneoiebadakaretai	本音を言えば抱かれたい
新刊	kuruhimonekomeewaku	来る日もねこめーわく
新刊	kigatsukebanekogairu	気がつけば猫がいる
新刊	koorimainoaufugiisaa	氷舞のアウフギーサー
新刊	uminomichirugohan	海のみちるごはん
新刊	uminomukoukiminotonari	海の向こう君のとなり
新刊	haikaburitohimitsunoyakata	灰かぶりと秘密の館
新刊	jirerumunasakiwanemurenai	焦れる胸先は眠れない
新刊	inunekosanbikinadetemonadetemotegatarinai	犬猫3匹、撫でても撫でても手が足りない
新刊	ookamikoushakutoainoreiyaku	狼侯爵と愛の霊薬
新刊	nekomatakurobee	猫又黒兵衛
新刊	saruwatarikyoujunokareinarutatakai	猿渡教授の華麗なる闘い
新刊	kemonosamawaongaeshideharamasetai	獣様は恩返しで孕ませたい. 邪神編
新刊	oujodeshitagakossoriryuukishidannosenzokukusushininarimashita	王女でしたがこっそり竜騎士団の専属薬師になりました!
新刊	oujitokishiwadansouseijogashinuhodoitooshii	王子と騎士は男装聖女が死ぬほど愛おしい
新刊	isekaikarakaettekitayuushadearuoregakabukichoudeouninaruhanashi	異世界から帰ってきた勇者であるオレが歌舞伎町で王になる話
新刊	isekaidemojoousama	異世界でも女王様
新刊	isekaidehanmanokodomoosodatetarayanderenisodatta	異世界で半魔の子供を育てたらヤンデレに育った
新刊	isekaisaihateonsenkikou	異世界サイハテ温泉紀行
新刊	hakushinouedesayounara	白紙の上でさようなら
新刊	gankawakuraikeiousendesu	眼下は昏い京王線です
