slug	title	volumes	missing
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	27	両方欠
yshi-no-rinjin	Y氏の隣人	27	両方欠
genjuu-no-kuni-monogatari-1997	幻獣の国物語	27	両方欠
genjuu-no-kuni-monogatari-1995	幻獣の國物語	27	両方欠
genjuu-no-kuni-monogatari	幻獣の國物語	27	両方欠
zankokuna-kami-ga-shihaisuru	残酷な神が支配する	27	説明欠
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	27	両方欠
sora-yori-takaku	天より高く	27	説明欠
shin-kootaroo-makaritooru	新・コータローまかりとおる!	27	説明欠
tokkou-artemis	特攻!アルテミス	27	説明欠
wild-half	WILD HALF	27	説明欠
tajuu-jinkaku-tantei-psycho	多重人格探偵サイコ	27	説明欠
mirano-collection	ミラノ・これくしょん	27	両方欠
ringo-to-hachimitsu	林檎と蜂蜜	27	説明欠
vf	VF	27	両方欠
tsumi-ni-nureta-futari	罪に濡れたふたり	27	説明欠
shoku-king	食キング	27	説明欠
wild-life	WILD LIFE	27	説明欠
silver-diamond	SILVER DIAMOND	27	説明欠
tokkyuu	トッキュー!!	27	説明欠
suzuka	涼風	27	説明欠
rabukyon	らぶきょん	27	両方欠
samurai-soldier	サムライソルジャー	27	説明欠
shoukoku-no-altair	将国のアルタイル	27	説明欠
gate	ゲート	27	両方欠
yama-no-susume	ヤマノススメ	27	説明欠
kami-app	神アプリ	27	両方欠
sengoku-gonbee	センゴク権兵衛	27	説明欠
yabamori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	ヤバ盛!本当にあった(生)ここだけの話極 (ウルトラ)	27	両方欠
shuumatsu-no-valkyrie	終末のワルキューレ	27	説明欠
undead-unluck	アンデッドアンラック	27	説明欠
sakamoto-days	SAKAMOTO DAYS	27	説明欠
iga-no-kagemaru	伊賀の影丸	26	両方欠
waru-kagemaru-1977	ワル	26	両方欠
circuit-no-ookami	サーキットの狼	26	両方欠
haai-akkodesu	ハーイあっこです	26	両方欠
buddha	ブッダ	26	両方欠
a-peanuts-book-featuring-snoopy	A PEANUTS BOOK featuring SNOOPY	26	両方欠
