slug	title	have	max	miss	ratio	missing
ganso-doku-typhoon	元祖Dr.タイフーン	11	13	2	0.85	7,11
saint-seiya-final-edition	聖闘士(セイント)星矢Final Edition	11	13	2	0.85	10,12
nipponichi-no-otoko-no-tamashii	日本一の男の魂	16	19	3	0.84	5,7,8
mikosuri-gekijou	みこすり半劇場	15	18	3	0.83	15,16,17
virgin-mama	バージン★ママ	10	12	2	0.83	10,11
douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune	どうやら私の身体は完全無敵のようですね	10	12	2	0.83	2,3
nageki-no-bourei-wa-intai-shitai	嘆きの亡霊は引退したい	10	12	2	0.83	10,11
metcha-shoukansareta-ken-the-comic	めっちゃ召喚された件the comic	10	12	2	0.83	9,10
fuuhai-ni-kike	風牌に訊け	5	6	1	0.83	2
yuujin-brand	遊人ブランド	5	6	1	0.83	1
yume-maboroshi-no-gotoku	夢幻の如く	5	6	1	0.83	5
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	5	6	1	0.83	5
alice-no-ochakai	アリスのお茶会	5	6	1	0.83	5
mobile-suit-gundam-the-movies	Mobile suit Gundam the movie	5	6	1	0.83	5
zero-site-muhou-chitai	Xero site（無法恥帯）	5	6	1	0.83	2
zakoken-maruchou	ざこ検〔○潮〕	5	6	1	0.83	4
kagemusha-tokugawa-ieyasu-gaiden-sakon	影武者徳川家康外伝左近	5	6	1	0.83	5
guranpuri-tengoku	グランプリ天国	5	6	1	0.83	2
ryuutei-no-mon	竜蹄の門	5	6	1	0.83	5
