slug	title	top_prefix	top_n	minority	total
kisei-juui-suzune	寄性獣医・鈴音	8019	8	"{""8124"": 6}"	14
teikoku-kyoudai	帝国兄弟	86423	7	"{""88741"": 6}"	13
goraihou-gakuen-e-youkoso	御来訪学園へようこそ!	88741	9	"{""86423"": 6}"	15
koisuru-bou-kun	恋する暴君	7964	8	"{""87724"": 6}"	14
hourou-musuko	放浪息子	7577	9	"{""04"": 6}"	15
shinshin-agatte-nanbo-taichi-yo-nakuna	新々上ってなンボ!!太一よ泣くな	88315	16	"{""86225"": 6}"	22
shin-agatte-nanbo-taichiyo-nakuna	新上ってなンボ!!太一よ泣くな	88315	16	"{""86225"": 6}"	22
hoshikuzu-paradise	星くずパラダイス	09	11	"{""592"": 6}"	17
nozomanu-fushi-no-boukensha	望まぬ不死の冒険者	86554	7	"{""8240"": 6}"	13
umi-no-aurora	海のオーロラ	06	8	"{""12"": 6}"	14
kami-sama-no-iu-toori	神様の言うとおり!	408	11	"{""8342"": 6}"	17
zettai-ni-hatarakitakunai-dungeon-master-ga-damin-o-musaboru-made	絶対に働きたくないダンジョンマスターが惰眠をむさぼるまで	8240	7	"{""86554"": 6}"	13
nijiko-lullaby	虹子ララバイ	7962	9	"{""575"": 6}"	15
kenja-no-deshi-o-nanoru-kenja-2025	賢者の弟子を名乗る賢者	86716	9	"{""89637"": 6}"	15
chou-shoujo-asuka	超少女明日香	592	6	"{""88991"": 6}"	12
gunka-no-baltzar	軍靴のバルツァー	10	14	"{""06"": 6}"	20
harukanaru-koshien	遥かなる甲子園	09	8	"{""575"": 6}"	14
tekireiki-no-arukikata	適齢期の歩き方	09	15	"{""8211"": 6}"	21
yasei-densetsu	野性伝説	09	7	"{""06"": 6}"	13
gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu	骸骨騎士様、只今異世界へお出掛け中	86554	8	"{""8240"": 6}"	14
maou-sama-no-machizukuri	魔王様の街づくり!	86554	6	"{""8240"": 6}"	12
maajan-kozou	麻雀小僧	8124	10	"{""8019"": 6}"	16
clear	CLEAR	08	11	"{""257"": 5}"	16
dark-edge	DARK EDGE	8402	15	"{""344"": 5}"	20
haunted-junction	HAUNTEDじゃんくしょん	07	8	"{""8402"": 5}"	13
high-high	HIGH ＆ HIGH	86423	13	"{""88741"": 5}"	18
love-m-de	LOVE MОDE	88271	6	"{""8352"": 5}"	11
lv2-kara-cheat-datta-moto-yuusha-kouho-no-mattari-isekai-life	Lv2からチートだった元勇者候補のまったり異世界ライフ	8240	9	"{""86554"": 5}"	14
sex-pistols	SEX PISTOLS	86263	6	"{""7997"": 5}"	11
skyuu-hero	S級ヒーロー!	88741	8	"{""86423"": 5}"	13
aimaimii	あいまいみー	8019	6	"{""8124"": 5}"	11
abashiriikka	あばしり一家	253	15	"{""04"": 5}"	20
itaikena-hitomi	いたいけな瞳	08	8	"{""09"": 5}"	13
ouchi-de-gohan	おうちでごはん	8124	7	"{""8019"": 5}"	12
onna-no-ko-monogatari	おんなのこ物語	09	6	"{""12"": 2, ""15"": 3}"	11
cream-lemon	くりいむレモン	900387	9	"{""915621"": 3, ""924678"": 2}"	14
kemonomichi-kagemaru-1980	けものみち	8211	9	"{""253"": 4, ""408"": 1}"	14
dongame-yarou	どん亀野郎	09	5	"{""7767"": 5}"	10
nagomi-club	なごみクラブ	8019	7	"{""8124"": 5}"	12
nanako-masshigura	ななこまっしぐら!	8124	7	"{""8019"": 5}"	12
hazunde-papamokko	はずんで!パパモッコ	907150	9	"{""909064"": 4, ""909876"": 1}"	14
fufufu-no-yami	ふふふの闇	253	8	"{""8401"": 5}"	13
wakuwaku-working	わくわくワーキング	8124	8	"{""8019"": 5}"	13
watashi-no-akira-kun	わたしのあきらクン	253	6	"{""7767"": 5}"	11
warera-konsen-gasshoudan	われら混線合唱団	592	7	"{""575"": 5}"	12
asatte-kun	アサッテ君	620	12	"{""06"": 5}"	17
candy-candy	キャンディ・キャンディ	12	8	"{""06"": 5}"	13
sugar-sugar-rune	シュガシュガルーン	06	8	"{""7780"": 5}"	13
spider-man	スパイダーマン	257	5	"{""8401"": 5}"	10
setogiwa-hanayome	セトギワ花ヨメ	8019	7	"{""8124"": 5}"	12
dark-green	ダークグリーン	09	15	"{""8401"": 5}"	20
teiamuun-teikoku-monogatari-dantoudai-kara-hajimaru-hime-no-tensei-gyakuten-story-attomaaku-comic	ティアムーン帝国物語～断頭台から始まる、姫の転生逆転ストーリー～@COMIC	86699	6	"{""86472"": 1, ""86794"": 4}"	11
trend-no-joou-miho	トレンドの女王ミホ	04	10	"{""06"": 5}"	15
trace	トレース	19	8	"{""86720"": 5}"	13
doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	87025	17	"{""900527"": 4, ""7575"": 1}"	22
dragon-quest-maboroshi-no-daichi	ドラゴンクエスト幻の大地	87025	5	"{""7575"": 5}"	10
hamster-no-kenkyuu-report	ハムスターの研究レポート	592	7	"{""03"": 5}"	12
baggataway	バガタウェイ	86127	7	"{""8000"": 5}"	12
pachisuro-yancha-bugi	パチスロやんちゃブギ	915450	7	"{""86298"": 5}"	12
hitogatana	ヒトガタナ	86127	6	"{""8000"": 5}"	11
monster-faamu-4-koma-manga-gekijou	モンスターファーム 4コママンガ劇場	87025	5	"{""7575"": 5}"	10
yunikoon-no-koibito	ユニコーンの恋人	253	8	"{""7767"": 5}"	13
love-synchroid	ラブ・シンクロイド	592	9	"{""8401"": 5}"	14
ryuu-no-michi	リュウの道	06	5	"{""88475"": 5}"	10
lolli-no-seishun	ロリィの青春	253	6	"{""09"": 5}"	11
kyougeki-burai-ryouran	京劇的無頼繚乱	391	6	"{""7767"": 5}"	11
kyou-mo-e-ni-kaita-mochi-ga-umai	今日も絵に描いた餅が美味い@COMIC	86794	8	"{""86699"": 4, ""86854"": 1}"	13
london-mamougai	倫敦魔魍街	257	7	"{""04"": 5}"	12
sen-no-skill-o-motsu-otoko	千のスキルを持つ男	89199	7	"{""8242"": 5}"	12
senya-koiuta	千夜恋歌	253	9	"{""8211"": 5}"	14
inden-san-to-enmusubi	印伝さんと縁結び	7767	7	"{""86176"": 1, ""86715"": 4}"	12
migimagari-no-dandy	右曲がりのダンディー	06	9	"{""7962"": 5}"	14
tenka-gomen	天下御免!	06	9	"{""12"": 5}"	14
munekatakyoujudenkikou	宗像教授伝奇考	267	10	"{""09"": 5}"	15
shounen-no-machi-zf	少年の町ZF	88315	6	"{""86225"": 5}"	11
ai-to-yokubou-wa-gakuen-de	愛と欲望は学園で	86252	7	"{""87734"": 3, ""86436"": 2}"	12
shin-naniwa-kinyuudou	新ナニワ金融道	594	15	"{""7663"": 5}"	20
niito-chan-to-onii-chan	新戸ちゃんとお兄ちゃん	593	5	"{""86675"": 5}"	10
seikoku-no-ryuukishi	星刻の竜騎士	04	8	"{""8401"": 5}"	13
hoshi-furu-mori-no-little-majo	星降る森のリトル魔女	03	5	"{""89594"": 1, ""257"": 4}"	10
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	7767	12	"{""86176"": 1, ""86715"": 4}"	17
toukyoumonogatari	東京物語	19	5	"{""88653"": 2, ""15"": 3}"	10
mobile-suit-gundam-daburuoo-79	機動戦士ガンダム0079	8402	7	"{""07"": 5}"	12
botsuraku-yotei-no-kizoku-dakedo-hima-datta-kara-mahou-o-kiwamete-mita-comic	没落予定の貴族だけど、暇だったから魔法を極めてみた@COMIC	86699	7	"{""86794"": 5}"	12
geki-gokutora-ikka	激!!極虎一家	08	13	"{""8342"": 5}"	18
tokumu-sentai-shainzuman	特務戦隊シャインズマン	05	9	"{""575"": 5}"	14
otoko-ryou-no-omocha	男子寮の玩具	86134	5	"{""86657"": 5}"	10
isekai-mahou-wa-okureteru	異世界魔法は遅れてる!	86554	8	"{""8240"": 5}"	13
me-o-tojite-daite	目を閉じて抱いて	396	5	"{""04"": 5}"	10
ishi-no-hana	石の花	06	9	"{""10"": 5}"	14
shuumatsu-no-valkyrie	終末のワルキューレ	86720	22	"{""19"": 5}"	27
zettai-reido	絶対麗奴	87775	21	"{""905965"": 5}"	26
yoshio-no-sora	義男の空	9903817	7	"{""907436"": 5}"	12
shoutoku-taishi	聖徳太子	88176	7	"{""12"": 5}"	12
kouya-ni-kemono-doukokusu	荒野に獣慟哭す	06	9	"{""19"": 5}"	14
saketa-pasupooto	裂けた旅券	09	5	"{""88991"": 4, ""8401"": 1}"	10
karuizawa-syndrome	軽井沢シンドローム	09	9	"{""7962"": 5}"	14
kugishi-sabuyan	釘師サブやん	06	5	"{""8124"": 5}"	10
kichiku-eiyuu	鬼畜英雄	8242	9	"{""89199"": 5}"	14
kidan-ningyoushi-ugetsu-no-hyakumonogatari	鬼談人形師雨月の百物語	907203	11	"{""7663"": 3, ""910429"": 2}"	16
mahoutsukai-no-yome	魔法使いの嫁	8000	19	"{""04"": 5}"	24
mahoujin-guruguru	魔法陣グルグル	87025	11	"{""7575"": 5}"	16
juuoku-shoujo	￥十億少女	04	10	"{""06"": 5}"	15
3nen-kimengumi	3年奇面組	8342	4	"{""08"": 4}"	8
9-de-ware	9で割れ!!	12	4	"{""06"": 4}"	8
animal-x	ANIMAL X	04	4	"{""8342"": 4}"	8
b-w	B/W	09	6	"{""257"": 4}"	10
brave10s	BRAVE10S	04	5	"{""8401"": 4}"	9
erementar-gerad	EREMENTAR GERAD	86127	14	"{""901926"": 4}"	18
exit	EXIT	7897	7	"{""344"": 4}"	11
eater	Eater	08	5	"{""7577"": 4}"	9
gunslinger-girl	GUNSLINGER GIRL	04	11	"{""8402"": 4}"	15
paradise-kiss	Paradise kiss	396	5	"{""08"": 4}"	9
t-patrol-bon	T・Pぼん	09	4	"{""12"": 4}"	8
vice	Vice	04	8	"{""8211"": 4}"	12
ef-a-fairy-tale-of-the-two	ef-a fairy tale of the two.	8402	6	"{""04"": 4}"	10
tactics	tactics	86127	11	"{""901926"": 3, ""8000"": 1}"	15
amanchu	あまんちゅ!	8000	13	"{""86127"": 4}"	17
iraka-no-nami	いらかの波	08	5	"{""06"": 4}"	9
okaa-san-no-tobira	おかあさんの扉	86593	11	"{""87303"": 4}"	15
orochi	おろち	09	5	"{""253"": 4}"	9
onee-chan-ga-kita	お姉ちゃんが来た	8019	11	"{""8124"": 4}"	15
kochira-ai-outou-seyo	こちら愛!応答せよ	09	7	"{""06"": 4}"	11
sesame-street	せさみ☆すとりーと	08	5	"{""8342"": 4}"	9
chikai-no-makyuu	ちかいの魔球	8342	5	"{""06"": 4}"	9
tondemo-skill-de-isekai-houroumeshi	とんでもスキルで異世界放浪メシ	86554	7	"{""8240"": 4}"	11
nigakute-amai	にがくてあまい	8000	9	"{""86468"": 4}"	13
batsu-x-ichi	ばつ×いち	8019	7	"{""8124"": 4}"	11
himawari-san	ひまわりさん	04	9	"{""8401"": 4}"	13
puchi-hound	ぷちはうんど	86127	7	"{""8000"": 4}"	11
puttsun-make-love	ぷっつんメイクLOVE	88275	4	"{""7962"": 4}"	8
mameneko	まめねこ	86581	6	"{""906732"": 4}"	10
minikui-yuukaku-no-ko	みにくい遊郭の子	8242	5	"{""89199"": 4}"	9
motto-kokoro-ni-hoshi-no-kagayaki-o	もっと心に星の輝きを	901926	4	"{""86127"": 4}"	8
yurumeitsu	ゆるめいつ	8124	4	"{""8019"": 4}"	8
aitsu-no-daihonmei	アイツの大本命	7997	10	"{""86263"": 4}"	14
atagoul	アタゴオル	7962	12	"{""88991"": 2, ""8401"": 2}"	16
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極めたらチートなNPCを雇えるようになりました～@COMIC	86699	5	"{""86794"": 4}"	9
arabesque	アラベスク	592	4	"{""8401"": 4}"	8
arc-the-lad-2	アークザラッドⅡ	7575	6	"{""87025"": 4}"	10
war-cry	ウォー・クライ	8470	7	"{""09"": 4}"	11
elite-kyousoukyoku	エリート狂走曲	420	4	"{""08"": 4}"	8
angel-wars	エンジェルウォーズ	253	10	"{""396"": 4}"	14
orpheus-no-mado	オルフェウスの窓	08	9	"{""12"": 4}"	13
chaos-damonne	カオスだもんね!	7561	15	"{""04"": 4}"	19
goddamn	ガッデム	09	5	"{""7962"": 4}"	9
gilgamesh	ギルガメッシュ	257	4	"{""8124"": 4}"	8
game-center-arashi	ゲームセンターあらし	09	9	"{""87233"": 4}"	13
kokonattsu-abenyuu	ココナッツAVE.	06	6	"{""575"": 4}"	10
sakura-saku-hyakkaryou	サクラサク百花寮	04	5	"{""88741"": 4}"	9
sabbath-cafe	サバス・カフェ	04	7	"{""257"": 4}"	11
sample-kitty	サンプル・キティ	592	4	"{""257"": 4}"	8
circuit-no-ookami	サーキットの狼	944017	19	"{""253"": 4}"	23
jelly-beans	ジェリービーンズ	7966	5	"{""06"": 4}"	9
sparrow-s-hotel	スパロウズホテル	8019	12	"{""8124"": 4}"	16
dai-sword	ダイ・ソード	19	7	"{""06"": 4}"	11
