slug	title	top_prefix	top_n	minority	total
suterareta-tsuma-ni-atarashii-otto-ga-dekimashita	捨てられた妻に新しい夫ができました	8242	6	"{""89199"": 2}"	8
sutegoma-ichi	捨て駒いち	06	2	"{""08"": 2}"	4
oshiete-kudasai-fujishima-san	教えてください、藤縞さん!	86123	5	"{""86787"": 2}"	7
shin-ushiro-no-hyakutarou	新うしろの百太郎	06	6	"{""12"": 2}"	8
shin-hyper-anna	新ハイパーあんな	7561	2	"{""89366"": 1, ""7572"": 1}"	4
shin-nippon-jinbutsushi	新日本人物史	909064	3	"{""907150"": 2}"	5
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW	06	3	"{""05"": 2}"	5
hoshi-no-shima-no-ruru-chan	星の島のるるちゃん	06	2	"{""15"": 2}"	4
saikin-chouchou-wa	最近、蝶々は…	396	5	"{""10"": 2}"	7
saikou-nando-meikyuu-de-party-ni-okizari-ni-sareta-esu-rank-kenshi-hontou-ni-mayoimakutte-daremo	最高難度迷宮でパーティに置き去りにされたSランク剣士、本当に迷いまくって誰も知らない最深部へ	7575	5	"{""301"": 2}"	7
tsuki-50-man-morattemo-ikigai-no-nai-tonari-no-oneesan-ni-30-man-de-yatowarete-okaeri-tte-iu	月50万もらっても生き甲斐のない隣のお姉さんに30万で雇われて「おかえり」って言うお仕事が楽しい	8240	4	"{""86554"": 2}"	6
getsuyou-kara-kinyou-no-otoko-koukousei	月曜から金曜の男子高校生	908588	3	"{""909767"": 2}"	5
tokyo-under-ground	東京アンダーグラウンド	7575	12	"{""87025"": 2}"	14
tokyo-mafia	東京魔悲夜	88475	3	"{""8124"": 2}"	5
shiina-kun-no-torikemo-hyakka	椎名くんの鳥獣百科	8000	8	"{""86127"": 2}"	10
mobile-suit-gundam-flanagan-buun-senki	機動戦士ガンダムフラナガン・ブーン戦記	86805	4	"{""86468"": 2}"	6
machine-doll-wa-kizutsukanai	機巧少女は傷つかない	8401	7	"{""04"": 2}"	9
kaketa-tsuki-no-merusedesu-kyuuketsuki-no-kizoku-ni-tensei-shitakedo-suteraresou-nanode-dungeon-o	欠けた月のメルセデス～吸血鬼の貴族に転生したけど捨てられそうなのでダンジョンを制覇する～@COMIC	86699	3	"{""86794"": 2}"	5
mizu-muuchanneru-tonari-no-ban-kowadan	水ムーちゃんねる隣の晩怖談	86468	3	"{""86805"": 2}"	5
suikoden-2000	水滸伝	12	3	"{""8458"": 2}"	5
eien-no-yoru-ni-mukatte	永遠の夜に向かって…	253	3	"{""06"": 2}"	5
chinmoku-no-koe	沈黙の声	257	2	"{""575"": 2}"	4
tomari-ni-oideyo	泊まりにおいでよ♥	8019	3	"{""8124"": 2}"	5
asakusa-young-youhinten	浅草ヤング妖品店	8342	6	"{""8211"": 2}"	8
umi-no-aria	海のアリア	04	3	"{""09"": 2}"	5
shimizu-no-jirochou	清水の次郎長	16	2	"{""569"": 2}"	4
gen-san-deka	源さん刑事	06	2	"{""8124"": 2}"	4
reppuuden	烈風伝	05	3	"{""06"": 2}"	5
muyounosuke	無用ノ介	8458	13	"{""09"": 2}"	15
nekketsu-daibouken-tairiku	熱血!大冒険大陸	89425	4	"{""931396"": 1, ""86002"": 1}"	6
bakushou-suit-sd-gundam	爆笑戦士!SDガンダム	8354	4	"{""06"": 2}"	6
chichi-to-higegorira-to-watashi	父とヒゲゴリラと私	8019	5	"{""8124"": 2}"	7
chichi-wa-eiyuu-haha-wa-seirei-musume-no-watashi-wa-tenseisha	父は英雄、母は精霊、娘の私は転生者。	7575	12	"{""301"": 2}"	14
inukubo-noa-to-nakayoshi-suru-made	犬窪ノアとなかよしするまで	7575	2	"{""301"": 2}"	4
kyouran-kazoku-nikki	狂乱家族日記	7577	2	"{""04"": 2}"	4
kyoukotsu-no-yume	狂骨の夢	04	5	"{""06"": 2}"	7
gokusotsu-kuraaken	獄卒クラーケン	7575	5	"{""301"": 2}"	7
joou-denka-wa-oikari-no-youdesu	王女殿下はお怒りのようです	86554	3	"{""8240"": 2}"	5
ouritsuin-kumomaru-no-shougai	王立院雲丸の生涯	09	3	"{""8401"": 2}"	5
kohaku-no-kage	琥珀の影	253	3	"{""06"": 2}"	5
kanmi-otoko	甘美男子	86127	3	"{""8000"": 2}"	5
tanaka-no-atelier	田中のアトリエ	86716	3	"{""89637"": 2}"	5
oni-iga-2	男弐	19	6	"{""88315"": 2}"	8
isekai-ni-otosareta-jouka-wa-kihon-attomaaku-comic	異世界に落とされた…浄化は基本!@COMIC	86699	4	"{""86794"": 2}"	6
isekai-toushou-no-maken-seisaku-gurashi	異世界刀匠の魔剣製作ぐらし	7575	3	"{""301"": 2}"	5
isekai-izakaya-nobu-eefa-to-makanai-oyatsu	異世界居酒屋「のぶ」エーファとまかないおやつ	299	7	"{""8002"": 2}"	9
isekai-kenja-no-tensei-musou	異世界賢者の転生無双	7575	11	"{""301"": 2}"	13
isekai-kaeri-no-otsu-san-wa-shuumatsu-sekai-de-musou-suru	異世界還りのおっさんは終末世界で無双する	8242	4	"{""89199"": 2}"	6
shiroi-toroika	白いトロイカ	420	2	"{""06"": 2}"	4
shiro-no-yuukyuu-kuro-no-eien	白の悠久黒の永遠	253	5	"{""8211"": 2}"	7
hyakunin-monogatari	百人物語	06	3	"{""8124"": 2}"	5
kouteiheikanoosewagakari-nyokangurashigashiawasesugitekoukyuukaraderare	皇帝陛下のお世話係	7575	6	"{""301"": 2}"	8
majima-kun-suttobasu	真島クンすっとばす!!	537	8	"{""08"": 1, ""7767"": 1}"	10
sabaku-ni-fuku-kaze	砂漠に吹く風	7577	2	"{""257"": 2}"	4
shachiku-san-wa-youjo-yuurei-ni-iyasaretai	社畜さんは幼女幽霊に癒されたい。	7575	12	"{""301"": 2}"	14
kamigami-no-shimon	神々の指紋	86225	2	"{""88315"": 2}"	4
shinkyoku-soukai-porifonika	神曲奏界ポリフォニカ	7973	7	"{""593"": 2}"	9
kamitachi-ni-hirowareta-otoko	神達に拾われた男	7575	14	"{""301"": 2}"	16
watashi-wa-shujinkou	私は主人公	08	3	"{""257"": 2}"	5
sora-eno-tegami	空への手紙	06	6	"{""86371"": 2}"	8
kuuki-no-sonzai	空気の存在	88271	2	"{""575"": 2}"	4
daisannogokudou	第三の極道	88475	4	"{""8124"": 2}"	6
seirei-no-moribito	精霊の守り人	7575	4	"{""02"": 2}"	6
seireitsukai-no-blade-dance	精霊使いの剣舞	04	4	"{""8401"": 2}"	6
kurenai-niou-takemiya-1994	紅にほふ	09	3	"{""12"": 2}"	5
suashi-no-meteoraito	素足のメテオライト	86127	3	"{""8000"": 2}"	5
kekkon-tte-ii-kamoshirenai	結婚っていいかもしれない	8211	2	"{""87728"": 1, ""344"": 1}"	4
zetsurin-mutsu-kun-wa-ookii-kuri-ga-suki	絶倫陸奥くんは大きいクリが好き	86778	9	"{""910429"": 2}"	11
kirei-ni-shite-moraemasuka	綺麗にしてもらえますか。	7575	10	"{""301"": 2}"	12
wata-no-kunihoshi	綿の国星	592	8	"{""257"": 2}"	10
oda-cinnamon-nobunaga	織田シナモン信長	19	8	"{""86720"": 2}"	10
oribe-shimai-no-iroiro	織部姉妹のいろいろ	909767	4	"{""86697"": 2}"	6
urin-ranse-o-kakeru	羽林、乱世を翔る	86699	3	"{""86794"": 2}"	5
seiken-no-blacksmith	聖剣の刀鍛冶	8401	8	"{""04"": 2}"	10
seijo-ga-amayakashite-kureru-yasashii-danna-sama-o-boshuu-shitara-kokuou-heika-ga-rikkouho-shitekita	聖女が「甘やかしてくれる優しい旦那様」を募集したら国王陛下が立候補してきた	7575	3	"{""301"": 2}"	5
seijo-no-hazuga-douyara-nottoraremashita	聖女のはずが、どうやら乗っ取られました	7575	10	"{""301"": 2}"	12
fune-o-tateru	船を建てる	08	6	"{""253"": 2}"	8
hanazukan	花図鑑	08	5	"{""15"": 2}"	7
hanagumi-ninkyouden	花組仁侠伝	391	3	"{""575"": 2}"	5
hana-rikyuu	花離宮	253	2	"{""06"": 2}"	4
eiyuu-to-kenja-no-tenseikon	英雄と賢者の転生婚	7575	5	"{""301"": 2}"	7
eiyuu-kyoushitsu	英雄教室	7575	21	"{""301"": 2}"	23
akaneiro-junjou	茜色純情	06	3	"{""575"": 2}"	5
sougen-no-ookami	草原の狼	88570	4	"{""8401"": 2}"	6
hana-no-ou	華の王	7962	2	"{""02"": 2}"	4
kareinaru-shishi-no-okinimesu-mama	華麗なる獅子のお気に召すまま	7767	3	"{""86715"": 2}"	5
aoi-juujiro	蒼い十字路	08	2	"{""06"": 2}"	4
souten-no-ken-regenesis	蒼天の拳リジェネシス	19	4	"{""86720"": 2}"	6
kusuri-no-mamono-no-kaikosareta-wake-comic	薬の魔物の解雇理由@COMIC	86794	2	"{""86699"": 1, ""86854"": 1}"	4
kyomu-suit-miroku	虚無戦史MIROKU	19	3	"{""07"": 2}"	5
nijiiro-no-toreesu	虹色のトレース	02	3	"{""253"": 2}"	5
mitsu-no-aji	蜜の味	334	2	"{""575"": 2}"	4
chi-o-hau-boukoku-no-joou	血を這う亡国の王女	7575	4	"{""301"": 2}"	6
soukou-akki-muramasa-makaihen	装甲悪鬼村正 魔界編	8000	3	"{""86127"": 2}"	5
urasekai-picnic	裏世界ピクニック	7575	14	"{""301"": 2}"	16
yuuwaku-recipe	誘惑レシピ	86252	3	"{""575"": 1, ""86436"": 1}"	5
shuuen-no-alhabor	讐演のアルアビュール	7575	3	"{""301"": 2}"	5
kizoku-tensei	貴族転生	7575	9	"{""301"": 2}"	11
kakegurui	賭ケグルイ	7575	19	"{""301"": 2}"	21
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	88332	3	"{""8458"": 2}"	5
choujuu-densetsu-gestalt	超獣伝説ゲシュタルト	87025	6	"{""7575"": 2}"	8
tensei-shitara-ore-ga-heroine-de-aitsu-ga-yuusha-datta	転生したらオレがヒロインであいつが勇者だった	8240	3	"{""86554"": 2}"	5
tensei-shitara-saikyoushu-tachi-ga-sumau-shima-deshita	転生したら最強種たちが住まう島でした。	7575	7	"{""301"": 2}"	9
tensei-shitara-koutei-deshita-umarenagara-no-koutei-wa-konosaki-ikinokoreru-ka-comic	転生したら皇帝でした～生まれながらの皇帝はこの先生き残れるか～@COMIC	86794	5	"{""86699"": 2}"	7
tensei-reijou-wa-seirei-ni-aisarete-saikyou-desu	転生令嬢は精霊に愛されて最強です……だけど普通に恋したい!@comic	86699	4	"{""86794"": 2}"	6
tensei-kizoku-no-isekai-boukenroku-sasaki-2020	転生貴族の異世界冒険録	89199	4	"{""8242"": 2}"	6
tsuihousareta-sareta-bannou-mahou-kenshi-wa-koujo-denka-no-shishou-to-naru-comic	追放された万能魔法剣士は、皇女殿下の師匠となる@COMIC	86794	3	"{""86699"": 2}"	5
tsuihousareta-yuusha-no-yuugana-seikatsu	追放勇者の優雅な生活	7575	2	"{""301"": 2}"	4
nigashita-sakana-wa-ookikatta-ga-tsuriageta-sakana-ga-ookisugita-ken	逃がした魚は大きかったが釣りあげた魚が大きすぎた件	7575	8	"{""301"": 2}"	10
nayuta	那由他	09	3	"{""8401"": 2}"	5
satomi-hakkenden	里見☆八犬伝	7575	4	"{""87025"": 2}"	6
zenigeba	銭ゲバ	344	2	"{""921181"": 1, ""8458"": 1}"	4
zenigata-heiji-torimonohikae	銭形平次捕物控	86225	2	"{""08"": 2}"	4
zeni-gari	銭狩り	253	2	"{""89386"": 2}"	4
nagayaou-zanshouki	長屋王残照記	19	3	"{""12"": 2}"	5
yaminodoki	闇の土鬼	06	6	"{""8458"": 2}"	8
kage-kara-mamoru	陰からマモル!	8401	6	"{""04"": 2}"	8
rinjin-13gou	隣人13号	344	4	"{""7962"": 2}"	6
rikon-jidai	離婚時代	09	24	"{""575"": 2}"	26
dennou-nao-san	電脳なをさん	7561	3	"{""04"": 2}"	5
aozora-shoujo-tai	青空少女隊	19	3	"{""7859"": 2}"	5
shijima-no-hana	静寂の花	253	3	"{""06"": 2}"	5
seishuku-ni-tensai-tadaima-benkyouchuu	静粛に、天才只今勉強中!	8354	8	"{""267"": 2}"	10
otonashi-genjuu	音無し幻十	253	2	"{""8458"": 2}"	4
kaze-no-kouzu	風の構図	06	4	"{""575"": 2}"	6
fuuma-no-kojirou	風魔の小次郎	08	14	"{""253"": 1, ""8342"": 1}"	16
garou-ichidai	餓狼一代	88475	4	"{""7767"": 2}"	6
kitarouyawa	鬼太郎夜話	257	2	"{""12"": 2}"	4
mouryou-no-hako	魍魎の匣	04	5	"{""06"": 2}"	7
maken-no-deshi-wa-munou-de-saikyou	魔剣の弟子は無能で最強!	7575	7	"{""301"": 2}"	9
mahou-no-tenshi-creamy-mami-fukigenna-ohime-sama	魔法の天使クリィミーマミ不機嫌なお姫様	8019	5	"{""86720"": 2}"	7
mahou-shoujo-ikusei-keikaku-f2p	魔法少女育成計画F2P	8002	2	"{""299"": 2}"	4
majutsushi-oofen-mubouhen	魔術士オーフェン無謀編	86472	4	"{""86699"": 2}"	6
yomi-no-tsugai	黄泉のツガイ	7575	10	"{""301"": 2}"	12
kuroi-hitsuji	黒い羊	253	2	"{""257"": 2}"	4
kowareta-chikyuu-no-arukikata-comic	#壊れた地球の歩き方@COMIC	86699	2	"{""86794"": 1}"	3
kakko-kari-maid-kissa-mandoriru	(仮) メイド喫茶マンドリル	8124	3	"{""8019"": 1}"	4
zerozero-nine-one	009ノ1	12	6	"{""04"": 1}"	7
1-yamamoto-1993	1	06	2	"{""09"": 1}"	3
100manboruto-no-kanojo	100万ボルトの彼女	8124	2	"{""8019"": 1}"	3
12shokumonogatari	12色物語	04	2	"{""06"": 1}"	3
1-oku-issenman-no-watashi	1億1千万のわたし	08	3	"{""06"": 1}"	4
1genme-wa-yaruki-no-minpou	1限めはやる気の民法	86263	2	"{""592"": 1}"	3
21-emon	21エモン	09	7	"{""12"": 1}"	8
30sai-made-doutei-dato-mahoutsukai-30-narerurashii	30歳まで童貞だと魔法使いになれるらしい	7575	15	"{""301"": 1}"	16
34sai-mushokusan	34歳無職さん	04	7	"{""8401"": 1}"	8
80-bunch-no-inu	80番地の犬	7962	5	"{""87317"": 1}"	6
avnai-yatsura	AVない奴ら	08	2	"{""8354"": 1}"	3
angels	Angels	7973	2	"{""86176"": 1}"	3
arc-the-lad-ii	Arc The Lad Ⅱ	87025	3	"{""7575"": 1}"	4
bw	BW	8019	2	"{""8124"": 1}"	3
backgammon	Backgammon	7575	2	"{""87025"": 1}"	3
blue-lust	Blue Lust	86134	2	"{""86657"": 1}"	3
boom-town	Boom town	88475	2	"{""8124"": 1}"	3
clannad-2008	CLANNAD	04	4	"{""8402"": 1}"	5
cluster	CLUSTER	88317	5	"{""7753"": 1}"	6
collington-woods-street	COLLINGTON WOODS STREET	7974	2	"{""289"": 1}"	3
climb-the-mountain	Climb the mountain	09	2	"{""257"": 1}"	3
d4-princess	D4プリンセス	8402	3	"{""07"": 1}"	4
debonair-drive	DEBONAIR DRIVE	04	2	"{""7577"": 1}"	3
devil-may-cry-5	Devil May Cry 5	86697	4	"{""909767"": 1}"	5
dolci	Dolci	86127	2	"{""8000"": 1}"	3
dragon-knight4	Dragon Knight4	07	2	"{""8402"": 1}"	3
drc2	Drc2	8000	2	"{""86127"": 1}"	3
enjoy-net-people	Enjoy!ネットぴーぷる	8402	2	"{""04"": 1}"	3
flowering	FLOWERING	88271	2	"{""8352"": 1}"	3
garland	GARLAND	943966	2	"{""89601"": 1}"	3
gush-mania	GUSH mania	87724	2	"{""7964"": 1}"	3
game	Game	253	2	"{""344"": 1}"	3
grey	Grey	19	2	"{""8211"": 1}"	3
hasegawa-chouji	HASEGAWA長治	06	2	"{""7859"": 1}"	3
hi-hi-hi	Hi Hi Hi!	7859	2	"{""575"": 1}"	3
i-l	I.L	06	2	"{""09"": 1}"	3
aiteii-oji-san	ITおじさん	86468	2	"{""86805"": 1}"	3
i-ueo-boy	I・餓男	8342	8	"{""88315"": 1}"	9
joker-2012	JOKER	575	2	"{""09"": 1}"	3
joker-1998-3	Joker	575	2	"{""592"": 1}"	3
k-shitsuki-1988	K	06	3	"{""575"": 1}"	4
kamui-1989	KAMUI -神已-	08	2	"{""403"": 1}"	3
keep-out	Keep out!	87183	2	"{""7567"": 1}"	3
k-no-souretsu	Kの葬列	08	2	"{""7780"": 1}"	3
nocturne	Nocturne	07	2	"{""8402"": 1}"	3
omega-7	Omega 7	7973	5	"{""89048"": 1}"	6
peace-mashuko	PEACE	915858	2	"{""89486"": 1}"	3
persona-1998	Persona	08	2	"{""87025"": 1}"	3
punch-drunk-babies	Punch drunk babies	8352	2	"{""88271"": 1}"	3
rack	RACK	04	12	"{""8401"": 1}"	13
ren-ai	REN-AI	253	7	"{""420"": 1}"	8
revenge	REVENGE	7780	2	"{""8211"": 1}"	3
robotics-notes-2012	Robotics;Notes	08	3	"{""8000"": 1}"	4
samurai-7	SAMURAI 7	89236	2	"{""06"": 1}"	3
shadows-of-spawn	SHADOWS OF SPAWN	07	2	"{""8402"": 1}"	3
ssb	SSB	593	9	"{""86675"": 1}"	10
esuesu-couple-wa-senobi-o-shite-mitai	SSカップルは背伸びをしてみたい	89637	2	"{""86716"": 1}"	3
shiori-experience-2021	Shiori experience	7575	7	"{""301"": 1}"	8
strawberry-children	Strawberry children	905965	2	"{""87775"": 1}"	3
super-sub	Superサブ	7859	2	"{""8342"": 1}"	3
s-to-m-no-sekai	SとMの世界	04	2	"{""09"": 1}"	3
toy-s	Toy's	7897	2	"{""344"": 1}"	3
true	True	408	2	"{""06"": 1}"	3
ultraman-2012	ULTRAMAN	86468	20	"{""86805"": 1}"	21
usa	USA	04	2	"{""8402"": 1}"	3
vivo	VIVO!	86127	2	"{""8000"": 1}"	3
vassalord	Vassalord.	86127	6	"{""8000"": 1}"	7
wonder-three	WONDER THREE	902314	2	"{""86176"": 1}"	3
xl-saizu-desu-kekkonsasetekuremasuka	XLサイズですが、結婚させてくれますか?	910582	4	"{""909460"": 1}"	5
zero-2009	Zero	86032	6	"{""7992"": 1}"	7
ziggurat	Ziggurat	7992	5	"{""86032"": 1}"	6
b-boy	b-Boy	88271	3	"{""08"": 1}"	4
docca	docca	86127	2	"{""8000"": 1}"	3
euromanga	euromanga	86410	2	"{""87031"": 1}"	3
tr-a-nger	ÉTR〔A〕NGER	08	6	"{""86225"": 1}"	7
omae-gotoki-ga-maou-ni-kateru-to-omouna-to-yuusha-party-o-tsuihousareta-sareta-node-outo-de-kimama	「お前ごときが魔王に勝てると思うな」と勇者パーティを追放されたので、王都で気ままに暮らしたい	86716	7	"{""89637"": 1}"	8
kimi-o-aisuru-koto-wa-nai-to-itta-koori-no-majutsushi-sama-no-kataomoi-aite-ga-hensou-shita-watashi	「君を愛することはない」と言った氷の魔術師様の片思い相手が、変装した私だった	7575	2	"{""301"": 1}"	3
youkihi	〔火華〕輝妃	19	2	"{""02"": 1}"	3
azayaka-na-hoshi-tachi	あざやかな星たち	08	2	"{""06"": 1}"	3
azuki-no-chi	あずきの地!	7767	13	"{""86176"": 1}"	14
adashino-kishoukan	あだしの奇象官	301	2	"{""7575"": 1}"	3
achira-kochira-bokura	あちらこちらぼくら	09	2	"{""8342"": 1}"	3
atsuatsu-sutaguru-tabi	あつあつ!スタグル旅	86468	3	"{""86805"": 1}"	4
abunai-oka-no-ie	あぶない丘の家	04	3	"{""09"": 1}"	4
ame-nochi-hare	あめのちはれ	04	7	"{""7577"": 1}"	8
arifureta-nichijou-de-sekai-saikyou	ありふれた日常で世界最強	86554	4	"{""8240"": 1}"	5
aru-hi-kara-tsukaeru-you-ni-natta-teni-mahou-ga-bannou-de-ikiru-no-ga-tanoshiku-narimashita	ある日から使えるようになった転移魔法が万能で生きるのが楽しくなりました	16	3	"{""04"": 1}"	4
aru-nichi-toaru-nichi-totoaru-nichi-no-kuru	ある日とある日ととある日のクル	86495	3	"{""05"": 1}"	4
ara-waga-tono	あーらわが殿!	592	2	"{""253"": 1}"	3
itazura-oumu-no-seikatsu-zakki	いたずらオウムの生活雑記	7580	3	"{""04"": 1}"	4
ichigo-monogatari	いちご物語	257	2	"{""592"": 1}"	3
ito-okashi	いとをかし	8124	2	"{""8019"": 1}"	3
inakappe-taishou	いなかっぺ大将	537	5	"{""7952"": 1}"	6
irasshaimase-sabotendou	いらっしゃいませ!!サボテン堂	7962	2	"{""88275"": 1}"	3
usagi-wa-seigi	うさぎは正義	86657	12	"{""86134"": 1}"	13
ushiro-no-gosenzo-sama	うしろのご先祖さま	8019	2	"{""8124"": 1}"	3
uchi-no-3-neko	うちの3ねこ	8019	5	"{""8124"": 1}"	6
uchi-no-toko-dewa	うちのトコでは	86410	5	"{""87031"": 1}"	6
uchi-no-nee-chan-to-kitara	うちの姉ちゃんときたら!	86675	2	"{""593"": 1}"	3
okame-hachimoku	おかめはちもく	09	8	"{""592"": 1}"	9
oshitone-tenzen	おしとね天繕	08	6	"{""8458"": 1}"	7
oji-sama-to-neko	おじさまと猫	7575	15	"{""301"": 1}"	16
ojojojo	おじょじょじょ	8019	3	"{""8124"": 1}"	4
oto-maho	おと×まほ	7973	3	"{""593"": 1}"	4
otona-no-shikumi	おとなのしくみ	7577	3	"{""7572"": 1}"	4
ohayou-unko-sensei	おはよう!うんこ先生	86651	7	"{""86845"": 1}"	8
omukae-tsukimi-doll	おむかえ月見ドール	7575	2	"{""301"": 1}"	3
oraga-mura	おらが村	88135	2	"{""635"": 1}"	3
oruchuban-ebichuchu	おるちゅばんエビちゅちゅ～	575	3	"{""391"": 1}"	4
oretachi-no-itadaki	おれたちの頂	06	2	"{""635"": 1}"	3
ohitoyoshi-boukensha-tensei-shoujo-o-hiroimashita	お人好し冒険者、転生少女を拾いました	301	2	"{""7575"": 1}"	3
onii-sama-to-chikai-no-bara	お兄様と誓いの薔薇	7767	3	"{""86176"": 1}"	4
osouzaiya-to-ol	お惣菜屋とOL	86657	3	"{""86134"": 1}"	4
okini-mesumama	お気に召すまま	04	3	"{""8211"": 1}"	4
otonari-no-tenshi-sama-ni-itsunomanika-dame-ningen-ni-sareteita-ken	お隣の天使様にいつの間にか駄目人間にされていた件	7575	5	"{""301"": 1}"	6
kasurihhi	かすりっひ	7575	2	"{""301"": 1}"	3
kakkoii-sukiyaki	かっこいいスキヤキ	594	2	"{""7926"": 1}"	3
kanaerareta-negai	かなえられた願い	06	3	"{""8401"": 1}"	4
karamete-de-kudoite	からめ手で口説いて	86252	5	"{""86436"": 1}"	6
gadget	がじぇっと	86127	2	"{""901926"": 1}"	3
gajumaru-family	がじゅまるファミリー	89742	8	"{""86764"": 1}"	9
garakutaya-manta	がらくた屋まん太	7561	4	"{""456"": 1}"	5
kirikiritei-shujin	きりきり亭主人	537	2	"{""344"": 1}"	3
kirihito-sanka	きりひと讃歌	09	6	"{""06"": 1}"	7
gyanbarugyangu	ぎゃんばるGang	06	2	"{""09"": 1}"	3
kujibiki-tokushou-musou-haaremuken	くじ引き特賞:無双ハーレム権	08	11	"{""7973"": 1}"	12
kumamiko	くまみこ	04	19	"{""8401"": 1}"	20
kekkoukamen	けっこう仮面	04	3	"{""8354"": 1}"	4
kettama	けったま!	7973	2	"{""593"": 1}"	3
kotomonashikyouichirou	こともなし凶一郎!!	88275	3	"{""7962"": 1}"	4
kono-naka-1-imouto-ga-iru	この中に1人、妹がいる!	8401	4	"{""04"": 1}"	5
kono-hoshi-no-yoake	この星の夜明け	08	2	"{""8401"": 1}"	3
koharu-hiyori-mizuki-2004	こはるびより	8402	4	"{""04"": 1}"	5
konpane-satou-kirie	こんぱね・佐藤キリエ	86123	2	"{""87919"": 1}"	3
saikoubi	さいこうび	86697	4	"{""909767"": 1}"	5
sakura-no-hanamichi	さくらのはなみち	8148	3	"{""8236"": 1}"	4
sasuga-no-sarutobi	さすがの猿飛	09	10	"{""86468"": 1}"	11
sasori	さそり	09	2	"{""86225"": 1}"	3
sandarabotchi	さんだらぼっち	09	6	"{""19"": 1}"	7
zakoken-maruchou	ざこ検〔○潮〕	09	4	"{""86225"": 1}"	5
shibainuko-san	しばいぬ子さん	8124	3	"{""8019"": 1}"	4
super-kid	すーぱあキッド	04	5	"{""592"": 1}"	6
zurui-hito-ni-hirowaremashita	ずるい男に拾われました	86123	3	"{""86787"": 1}"	4
soshite-boku-wa-tohou-ni-kureru	そして僕は途方に暮れる	8352	2	"{""88271"": 1}"	3
sodomu	そどむ	7966	2	"{""06"": 1}"	3
sono-akujo-ni-ki-o-tsukete-kudasai	その悪女に気をつけてください	8242	2	"{""89199"": 1}"	3
sonna-mainichi	そんな毎日	8124	5	"{""8019"": 1}"	6
sonna-kao-shite-sasotteru	そんな顔して、誘ってる?	86787	2	"{""86123"": 1}"	3
tabata-chan-ha	たばたちゃん派	8019	4	"{""8124"": 1}"	5
tamayura-hitotose	たまゆら hitotose	8000	2	"{""86127"": 1}"	3
dakara-miyoko-desu	だから美代子です	8019	3	"{""8124"": 1}"	4
change-kitamura-2005	ちぇんじ!	06	5	"{""09"": 1}"	6
chittai-ore-no-makikomare-isekai-seikatsu	ちったい俺の巻き込まれ異世界生活	575	5	"{""8156"": 1}"	6
dekisokonai-majo-no-yomeiri	できそこない魔女の嫁入り	596	2	"{""302"": 1}"	3
deki-no-ii-kiss-warui-kiss	できのいいキス悪いキス	575	2	"{""87287"": 1}"	3
toaru-hi-no-kuru	とある日のクル	86495	3	"{""05"": 1}"	4
toaru-kagaku-no-railgun-2025	とある科学の超電磁砲	04	13	"{""8402"": 1}"	14
toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲(レールガン)	04	17	"{""8402"": 1}"	18
toaru-majutsu-no-index	とある魔術の禁書目録	7575	32	"{""301"": 1}"	33
tokimeki-matsu-kun	ときめきまっくん!	8322	3	"{""575"": 1}"	4
tokuni-aru-hibi	とくにある日々	86468	4	"{""86805"": 1}"	5
totsuon	とつおん!	8019	5	"{""8124"": 1}"	6
totoaruhi-no-kuru	ととある日のクル	86495	3	"{""05"": 1}"	4
todoroke-ichiban	とどろけ!一番	7542	2	"{""09"": 1}"	3
tonari-no-erochika-chan	となりのエロチカちゃん	8019	2	"{""8124"": 1}"	3
tonari-no-seki-no-james-kun	となりの席のジェームズくん	301	2	"{""7575"": 1}"	3
toraware-no-eden	とらわれのエデン	89637	2	"{""86716"": 1}"	3
toradora	とらドラ!	04	11	"{""8402"": 1}"	12
tori-no-isoji-san	とりの、いそじさん。	593	3	"{""86675"": 1}"	4
douka-ore-o-houtteoitekure	どうか俺を放っておいてくれ	7575	5	"{""301"": 1}"	6
nanatsuya-genseiroku	ななつ夜幻世録	04	2	"{""7577"": 1}"	3
nandemo-tsurukame	なんでもツルカメ	06	2	"{""344"": 1}"	3
nyan-koi	にゃんこい!	7973	5	"{""593"": 1}"	6
numumo-san-to-nponu-kun	ぬむもさんとんぽぬくん	909646	2	"{""905447"": 1}"	3
nekojiru-udon	ねこぢるうどん	7926	2	"{""16"": 1}"	3
neko-no-massaajiya-san	ねこのマッサージ屋さん	86554	2	"{""8240"": 1}"	3
nobunaga-chan-kouki	のぶながちゃん公記	8124	2	"{""8019"": 1}"	3
barbara	ばるぼら	04	3	"{""06"": 1}"	4
hikikomari-kyuuketsuki-no-monmon	ひきこまり吸血姫の悶々	7575	3	"{""301"": 1}"	4
hitori-de-ikiru-wa-mamanaranu	ひとりで生きるはままならぬ	8240	2	"{""86554"": 1}"	3
hiyo-world	ひよわーるど	8124	3	"{""8019"": 1}"	4
hirugao	ひるがお	87306	4	"{""575"": 1}"	5
pippira-note	ぴっぴら帳	575	4	"{""86720"": 1}"	5
fantasia	ふぁんたじあ	88475	3	"{""8124"": 1}"	4
fukushima-note	ふくしまノート	8019	2	"{""8124"": 1}"	3
fushigi-na-melmo	ふしぎなメルモ	09	2	"{""06"": 1}"	3
