slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
love-drug	ラブドラッグ	standard	[1, 2, 3]	[4, 9]	2	SOURCE_GAP	{}
love-neko	ラブ・ネコ	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
lovers	Lovers	standard	[1]	[2]	1	SOURCE_GAP	{}
mabo-chan-dei-bai-dei	マボちゃんDAY BY DAY	standard	[1, 2, 3, 4]	[5, 6, 7, 8]	1	SOURCE_GAP	{}
machi	街	bunkobon	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61]	[62]	0	SOURCE_GAP	{}
mahiru-no-tsuki	真昼の月	standard	[1]	[2]	1	SOURCE_GAP	{}
majikyuu-4-koma-maji-de-watashi-ni-koishinasai-s	マジキュー4コマ真剣で私に恋しなさい!S	standard	[1, 2, 3, 4]	[5, 6]	1	SOURCE_GAP	{}
majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	standard	[1, 2]	[3, 5, 6]	1	SOURCE_GAP	{}
makai-densetsu	魔界伝説	standard	[1]	[2]	1	SOURCE_GAP	{}
makinonansensu	佐々木マキのナンセンサス世界	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
manga-de-shitashimu-izumo-shinwa	マンガで親しむ出雲神話	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
manga-heiki-saibaa-comics	漫画兵器サイバーコミックス	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
manga-zankoku-nippon-banashi-inagaki	まんが残酷日本むかしばなし	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
mangataimumini	まんがタイムmini	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
manhattan-op	マンハッタン・オプ	bunkobon	[1, 2]	[3]	0	SOURCE_GAP	{}
mansion-neko-no-kyoumi-shinshin	マンションネコの興味シンシン	standard	[1]	[2]	1	SOURCE_GAP	{}
marii-to-ellie-no-atelier-zaaruburugu-no-renkinjutsushi-sekando-season	マリーとエリーのアトリエザールブルグの錬金術士 Second Season	standard	[1, 2, 3]	[4, 5, 6, 7, 8]	2	SOURCE_GAP	{}
matador	マタドール	standard	[1]	[2]	1	SOURCE_GAP	{}
matamoya-daikichi	またもや大吉	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
matatabisou-wa-nekoyashiki	またたび荘は猫屋敷	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
matsuoka-the-incredible	Matsuoka the incredible	standard	[1]	[2]	1	SOURCE_GAP	{}
matte-suki	まって、好き。	standard	[1]	[2]	1	SOURCE_GAP	{}
mayonaka-no-raburetaa	真夜中のラブレター	standard	[1]	[2]	1	SOURCE_GAP	{}
megurikuruharu	めぐりくるはる	standard	[1]	[2]	1	SOURCE_GAP	{}
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[16, 18, 21, 24, 27, 28, 30, 32, 34, 36, 38, 39, 40, 41, 42]	4	SOURCE_GAP	{}
meme	メメ	standard	[1]	[2]	1	SOURCE_GAP	{}
meshi-baka	めしバカ	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
miaki-hitamuki	みあき♥ひたむき	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
miboujin-wa-ogenkijirushi	未亡人はお元気印	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
mikoto-chan-wa-kirawaretakunai	みことちゃんは嫌われたくない!	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
milky-comic	milky comic	standard	[1, 2, 3, 4, 5, 6, 7]	[8, 10, 23, 26, 30]	2	SOURCE_GAP	{}
milky-way	ミルキーウェイ	standard	[1, 2]	[3]	0	SOURCE_GAP	{}
minami-kun-wa-sono-koe-ni-jirasaretai	南くんはその声に焦らされたい	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
mitarai	ミタライ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
miyama-to-nanase-wa-mada-tomodachi	深山と七瀬はまだ友達?	standard	[1]	[2]	1	SOURCE_GAP	{}
mobile-suit-gundam-emuesuvui-aaru	機動戦士ガンダムMSV-R	standard	[1, 2, 3, 4, 5, 6]	[7, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	1	SOURCE_GAP	{}
mobile-suit-zeta-gundam-difain-char-azunaburu-aka-no-bunsuirei	機動戦士ΖガンダムDefineシャア・アズナブル赤の分水嶺	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[13, 14, 15, 16, 17, 18, 19]	2	SOURCE_GAP	{}
mobile-suit-zeta-gundam-difain-char-azunaburu-guripusu-seneki	機動戦士ΖガンダムDefineシャア・アズナブルグリプス戦役	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[20, 21, 22]	1	SOURCE_GAP	{}
moeyo-sensha-gakkou	萌えよ!戦車学校	standard	[1]	[2, 3, 5, 6]	1	SOURCE_GAP	{}
momopan-clover-2012	MOMOPAN	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]	[25]	1	SOURCE_GAP	{}
mondeki	モンでき。	standard	[1]	[2, 3, 4, 5, 6, 7]	1	SOURCE_GAP	{}
monkey-peak-the-rock	Monkey peak the rock	standard	[1, 2, 3]	[4, 5, 6, 7, 8, 9]	1	SOURCE_GAP	{}
morohoshi-daijirou-tanpen-shuusei	諸星大二郎短編集成	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
moto-yakuza-wa-shinshi-de-moujuu	(元) ヤクザは紳士で猛獣	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
moto-yan-ooeru-wa-kojirase-elite-no-iinari-omocha	元ヤンOLはこじらせエリートのいいなりおもちゃ♡	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
mousou-suit	妄想戦士	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
muchashi	無茶四	bunkobon	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
munou-no-akudou-ouji-wa-ikinokoritai	無能の悪童王子は生き残りたい	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
mushi-to-gankyuu-to-tedibea	蟲と眼球とテディベア	standard	[1, 2]	[3, 4, 5, 6]	1	SOURCE_GAP	{}
mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
nakayoshi-orijinaruban-sakuhinshuu	なかよしオリジナル版作品集	bunkobon	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
nanimo-kikazu-ni-dakasetekure	何も聞かずに抱かせてくれ	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
nante-suteki-ni-japanesuku-hitozumahen	なんて素敵にジャパネスク人妻編	bunkobon	[1, 2, 3, 4]	[5, 6]	1	SOURCE_GAP	{}
nefirimu-kusakabe-2008	ネフィリム	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
neko-banashi	ねこばなし	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
neko-punch	ねこぱんち	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 14, 17, 18, 23, 30, 33]	2	SOURCE_GAP	{}
neko-puni	ねこぷに	standard	[1, 2]	[3, 6, 7, 8, 9, 26]	2	SOURCE_GAP	{}
nekokko-club	猫っこ倶楽部	standard	[1, 2]	[3, 4, 5, 6, 7]	1	SOURCE_GAP	{}
nekomata-to-asagohan	ねこまたとあさごはん	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
neongai-comics	ネオン街コミックス	standard	[1]	[2]	1	SOURCE_GAP	{}
nihonnorekishi	日本の歴史	bunkobon	[1, 2, 3, 4, 5, 6]	[7]	1	SOURCE_GAP	{}
ningen-no-jouken	人間の條件	standard	[1]	[2, 4]	2	SOURCE_GAP	{}
ninja-ninbetsuchou	忍者人別帖	standard	[1, 2]	[3]	0	SOURCE_GAP	{}
ninkuu-2nd-stage	忍空2nd stage	standard	[1]	[2]	1	SOURCE_GAP	{}
nippon-jinbutsushi	日本人物史	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
nodarutanyan	風のダルタニヤン	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
non-sutoppu-kyouhei	NON STOP!恭平	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 11]	1	SOURCE_GAP	{}
nonke-joushi-30-nichi-no-kaihatsu-mesoddo	ノンケ上司、30日の開発メソッド	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
nono-chan-zenshuu	ののちゃん 全集	standard	[1, 2, 3, 4, 5]	[6, 7, 8]	1	SOURCE_GAP	{}
nuclear	Nuclear	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
nurse-station-kozan-1990	ナースステーション	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
ohanashi-chouhyakka-pocket-monster	おはなし超ひゃっかポケットモンスター	standard	[1]	[2, 3, 4, 5, 6, 7, 8]	1	SOURCE_GAP	{}
oji-sama-shinshi-wa-kedamono-joushi	オジサマ紳士はケダモノ上司	standard	[1]	[2, 3, 4, 5, 6, 7, 8]	1	SOURCE_GAP	{}
oku-sama-hi-no-youjin	奥様火の用心!	standard	[1]	[2]	1	SOURCE_GAP	{}
omakase-spirits	おまかせ精霊	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
omega-senyou-kareshi	Ω専用カレシ	standard	[1]	[2]	1	SOURCE_GAP	{}
onape	オナぺ	standard	[1]	[2, 5]	2	SOURCE_GAP	{}
onetsu-wa-nando	お熱は何度?	standard	[1, 2, 3]	[4, 5]	1	SOURCE_GAP	{}
onikogi	オニコギ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
ookami-sama-no-ichizu-na-bouai	オオカミ様の一途な暴愛	standard	[1]	[2]	1	SOURCE_GAP	{}
ookisugite-kare-no-are-ga-sakitcho-shika-hairimasen	大きすぎて、 (彼のアレが) 先っちょしか入りません!	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
operation-g-g	オペレーションG.G	standard	[1]	[2, 3, 5]	1	SOURCE_GAP	{}
oppai-no-tatsujin	おっぱいの達人	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
optional-tour	オプショナル・ツアー	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
ore-o-tatasete-miroyo	俺を、たたせてみろよ	standard	[1]	[2, 3, 4, 5, 6]	1	SOURCE_GAP	{}
osaka-geijutsu-daigaku-daigaku-manga	大阪芸術大学 大学漫画	standard	[1, 2]	[3, 5, 6]	1	SOURCE_GAP	{}
osaka-geijutsu-daigaku-kanan-bungei-manga-hen	大阪芸術大学河南文藝 漫画篇	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
osananajimi-no-koukousei-no-aida-ni-nikutai-kankei-wa-seiritsu-suruka	幼なじみの高校生のあいだに肉体関係は成立するか。	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
oshi-kimono	推し着物	standard	[1]	[2]	1	SOURCE_GAP	{}
oshie-danna-sama	教え❤旦那サマ	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
osusume-furiten-kun	おすすめフリテンくん	bunkobon	[1]	[2, 3]	1	SOURCE_GAP	{}
otokoun-ga-ii-rank-nanode-isekai-no-yamiochi-kami-sama-ni-metoraremashita	男運がEランクなので異世界の闇落ち神様に娶られました	standard	[1]	[2, 4, 5]	1	SOURCE_GAP	{}
pachisuro-de-atta-zenbu-umai-hanashi-zetto	パチスロであった全部旨い話Z	standard	[1, 2, 3, 4, 5, 6, 7, 8]	[9, 10]	1	SOURCE_GAP	{}
pairon	白龍	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!	standard	[1]	[2, 3, 4, 5, 6]	2	SOURCE_GAP	{}
palm	パーム	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]	[40, 41, 42, 43, 44, 45]	2	SOURCE_GAP	{}
papa-no-kokoro	パパのココロ	standard	[1]	[2]	1	SOURCE_GAP	{}
peace-mashuko	PEACE	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
perfect-angel-lip	Perfectエンジェルリップ	standard	[1]	[2, 4]	1	SOURCE_GAP	{}
pet-boy-s	Pet-boy's	standard	[1]	[2]	1	SOURCE_GAP	{}
piisu-maker-kurogane	PEACE MAKER鐡	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[12, 13, 14, 15, 16, 17]	2	SOURCE_GAP	{}
pittosporum	ピットスポルム	standard	[1, 2, 3]	[4, 5]	2	SOURCE_GAP	{}
platinum-boys	PLATINUM BOYS	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
pokettomonsutaa-diamond-pearl-ohanashi-series	ポケットモンスターダイヤモンド・パール　おはなしシリーズ	standard	[1, 2, 3]	[4, 5]	1	SOURCE_GAP	{}
pumpkin	パンプキン	standard	[1]	[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	7	SOURCE_GAP	{}
r-3611193	蒼の男	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
r-3966128	Mindy land	standard	[1]	[2]	1	SOURCE_GAP	{}
rakushou-hyper-doll-1996	楽勝!ハイパー★ドール	standard	[1, 2, 3]	[4, 5]	1	SOURCE_GAP	{}
rasubosu-tachi-no-kakushi-go	ラスボスたちの隠し仔	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
re-virgin	リヴァージン	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
rekitan	レキタン!	standard	[1, 2, 3, 4, 5]	[6, 7, 8]	1	SOURCE_GAP	{}
repeat-after-me-fuwa-2010	リピート・アフター・ミー?	standard	[1]	[2]	1	SOURCE_GAP	{}
riot-tsukada-2025	RIOT	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
riutagao	りうたがお	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
romeo	Romeo	standard	[1]	[2, 3, 4, 5]	1	SOURCE_GAP	{}
rouran-mappou-emaki	狼蘭末法絵巻	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
ryuu-to-tora	龍と虎	standard	[1]	[2]	1	SOURCE_GAP	{}
sadistic-sayaka-chan	サディスティックさやかちゃん!	standard	[1]	[2]	1	SOURCE_GAP	{}
sagesumareta-reijou-wa-daini-no-jinsei-de-akogare-no-renkinjutsushi-no-michi-o-erabu	蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
saibaa-comics	サイバーコミックス	standard	[1, 2, 3, 4]	[5, 11]	0	SOURCE_GAP	{}
saibara-rieko-no-jinsei-ichinensei	西原理恵子の人生一年生	standard	[1]	[2]	1	SOURCE_GAP	{}
saigo-no-natsu-o-hitozuma-to	最後の夏を人妻と	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
saishinban-heisei-tensai-bakabon	最新版平成天才バカボン	standard	[1]	[2, 3, 4]	0	SOURCE_GAP	{}
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
saitsuyo-akuyaku-reijou-nikki	さいつよ☆悪役令嬢日記	standard	[1]	[2]	1	SOURCE_GAP	{}
samenyan	サメにゃん	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
samurai-musou	サムライ無双	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
sandoman	サンドマン	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
sange	散華	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[18]	1	SOURCE_GAP	{}
sarasa	Sarasa	standard	[1]	[2]	1	SOURCE_GAP	{}
saurus-no-mini-yonku-super-tekunikku	ザウルスのミニ四駆スーパーテクニック	standard	[1]	[2]	1	SOURCE_GAP	{}
school-zone-2021	School zone	standard	[1, 2, 3]	[4, 5]	1	SOURCE_GAP	{}
seifuku-shinya-2-ji	制服、深夜2時。	standard	[1]	[2]	1	SOURCE_GAP	{}
seishun-porunogurafutei	青春ぽるのぐらふてい	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
sekai-no-meisaku-opera	世界の名作オペラ	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10]	1	SOURCE_GAP	{}
senkou-shoujo	閃光少女	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
senmonogatari	千物語	standard	[1, 2, 3, 4, 5, 6]	[7, 8]	1	SOURCE_GAP	{}
sensei-ga-suki	先生が好き	standard	[1, 2]	[3, 4, 5, 6]	1	SOURCE_GAP	{}
shachiku-joushi-no-koi-to-kairaku	社畜上司の恋と快楽	standard	[1]	[2]	1	SOURCE_GAP	{}
shakaikamanganihonnonbiriryokou	社会科まんが日本のんびり旅行	standard	[1, 2, 3]	[4, 6]	1	SOURCE_GAP	{}
shanai-bitch-chan-wa-kyou-mo-tokimeki-ga-tomerarenai	社内ビッチちゃんは今日もときめきが止められない	standard	[1, 2]	[3, 4, 5]	1	SOURCE_GAP	{}
shiba-inu-pon-chan-kyou-mo-wagamichi-o-yuku	柴犬ぽんちゃん、今日もわが道を行く	standard	[1]	[2]	1	SOURCE_GAP	{}
shigatsu-ni-nareba-kanojo-wa	四月になれば彼女は	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
shiharu-genesis	しはるじぇねしす	standard	[1, 2]	[3, 4, 5, 6]	1	SOURCE_GAP	{}
shima-kousaku-zenshuu	島耕作全集	standard	[1]	[2, 5, 9]	1	SOURCE_GAP	{}
shimaji	嶋二	standard	[1]	[2]	1	SOURCE_GAP	{}
shimogari-hanjirou	下苅り半次郎	bunkobon	[1]	[2, 3]	0	SOURCE_GAP	{}
shin-bikkuriman-omoshiro-land	新・ビックリマンおもしろランド	standard	[1]	[2, 3, 5, 6]	1	SOURCE_GAP	{}
shin-manga-bungaku-zenshuu	新漫画文学全集	standard	[1]	[2]	0	SOURCE_GAP	{}
shin-mimibukuro-kaidan-hyakumonogatari	新耳袋 怪談百物語	standard	[1]	[2, 3, 4]	2	SOURCE_GAP	{}
shina-dark	シャイナ・ダルク	standard	[1, 2]	[3]	0	SOURCE_GAP	{}
shinigami-alice-izumiya-2011	死神アリス	standard	[1]	[2]	1	SOURCE_GAP	{}
shinno-kun-wa-suki-darake-na-kanojo-ga-sukisugiru	神野くんはスキだらけな彼女が好きすぎる	standard	[1]	[2]	1	SOURCE_GAP	{}
shinohara-udou-senshuu	篠原烏童選集	standard	[1, 2, 3, 4, 5]	[6, 7]	1	SOURCE_GAP	{}
shinseiki-evangelion-koutetsu-no-girlfriend-2nd-4-koma-manga-gekijou	新世紀エヴァンゲリオン鋼鉄のガールフレンド2nd4コママンガ劇場	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
shinshi-na-kare-wa-tondemonai-mashou-no-kyo-pii-deshita	紳士な彼はとんでもない魔性の巨●(ピー)でした	standard	[1]	[2]	1	SOURCE_GAP	{}
shinshin-agatte-nanbo-taichi-yo-nakuna-2006	新々上がってなンボ!!太一よ泣くな	standard	[1, 2, 3]	[4]	1	SOURCE_GAP	{}
shinuhodo-kisu-shite	死ぬほどKISSして	standard	[1]	[2]	1	SOURCE_GAP	{}
shio-taiou-na-watashi-no-danna-sama-wa-haisupekku-na-osananajimi	塩対応な私の旦那様はハイスペックな幼馴染!?	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
shisaku-nansensu-senshuu	思索ナンセンス選集	standard	[1]	[2, 4, 5, 7, 8]	5	SOURCE_GAP	{}
shitsuji-emu	執事M	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
shoki-sakuhin-shuu	レフトアンドライト	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[28]	1	SOURCE_GAP	{}
shounan-bousouzoku	湘南暴走族	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
shounangurafutei	湘南グラフティ	standard	[1]	[2]	1	SOURCE_GAP	{}
shounen-shoujo-jinbutsu-nippon-no-rekishi	少年少女人物日本の歴史	standard	[1, 2, 3]	[4, 5, 7, 8, 15, 18, 20, 25]	3	SOURCE_GAP	{}
shousetsu-ace-o-nerae	小説エースをねらえ!	bunkobon	[1, 2]	[3]	1	SOURCE_GAP	{}
shousetsu-fajji	小説FUDGE	standard	[1, 2, 3]	[4, 8, 11]	2	SOURCE_GAP	{}
shuuen-no-majo-to-sekai-no-tabi	終焉の魔女と世界の旅	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
sidekick-fighting-rule	サイドキック☆ファイティングルール	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
skip-kiss	SKIP-KISS	standard	[1]	[2]	1	SOURCE_GAP	{}
sora-made-itchau	空までイっちゃう	standard	[1]	[2, 3, 4, 5, 6, 7]	1	SOURCE_GAP	{}
sora-no-ue-no-aren	空の上のアレン	standard	[1]	[2, 4]	1	SOURCE_GAP	{}
souteigai-no-sweet-marriage	想定外のスウィートマリッジ	standard	[1]	[2]	1	SOURCE_GAP	{}
star-ocean-second-story	スターオーシャン セカンドストーリー	standard	[1]	[2, 4, 6]	3	SOURCE_GAP	{}
star-ocean-sekando-story	スターオーシャン セカンドストーリー	standard	[1, 2]	[3, 5, 6, 7]	4	SOURCE_GAP	{}
suki-dayo-good-boy	好きだよグッドボーイ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
super-mario-land	スーパーマリオランド	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
supooshon-kid	スポーションKID	standard	[1]	[2]	1	SOURCE_GAP	{}
sushi-damashii-shouwa-44-nen-special	寿司魂昭和44年スペシャル	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[11]	1	SOURCE_GAP	{}
suteki-na-kekkon	すてきな結婚	bunkobon	[1, 2]	[3, 4]	2	SOURCE_GAP	{}
suteki-na-shufutachi	すてきな主婦たち	bunkobon	[1]	[2]	1	SOURCE_GAP	{}
taishou-gakusei-aisaika	大正學生愛妻家	standard	[1]	[2, 3, 4]	1	SOURCE_GAP	{}
tajuu-jinkaku-tantei-psycho	多重人格探偵サイコ	aizoban	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10, 11, 12]	0	SOURCE_GAP	{}
takahashi-meijin-monogatari	高橋名人物語	standard	[1, 2, 3, 4, 5]	[6]	1	SOURCE_GAP	{}
takamari-shisuu-esukareeshon	たかまり指数エスカレーション	standard	[1]	[2]	1	SOURCE_GAP	{}
takeru-1997-2	タケル	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10]	5	SOURCE_GAP	{}
tales-of-symphonia-4-koma-kings	テイルズオブシンフォニア4コマkings	standard	[1, 2]	[3, 4, 5]	2	SOURCE_GAP	{}
tange-sazen	丹下左膳	standard	[1, 2, 3]	[4]	0	SOURCE_GAP	{}
tanimura-hitoshi-no-bakuretsu-tabiuchi-special	谷村ひとしの爆裂旅打ちスペシャル	standard	[1]	[2]	1	SOURCE_GAP	{}
tecchannotsubasa	てっちゃんのつばさ	standard	[1]	[2]	1	SOURCE_GAP	{}
teiaazu-tou-tiara	ティアーズ・トゥ・ティアラ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
tenka-musou	天下無双	standard	[1, 2, 3, 4, 5]	[6]	0	SOURCE_GAP	{}
tensei-idol-to-doruota-no-kishi	転生アイドルとドルオタの騎士	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
tensei-ouji-wa-daraketai	転生王子はダラけたい	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
tetsusabi-to-1000-karatto	鉄錆と1000カラット	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
toaru-majutsu-no-baacharon	とある魔術の電脳戦機(バーチャロン)	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
toaru-mei-tantei-to-joshu-no-rabukome-teki-nichijou-tantei-wa-mou-shinde-iru	とある名探偵と助手のラブコメ的日常@探偵はもう、死んでいる。	standard	[1]	[2]	1	SOURCE_GAP	{}
tokubetsu-ja-nai-hi	特別じゃない日	standard	[1]	[2, 3, 4, 5, 6]	1	SOURCE_GAP	{}
tokumorikobo-chan	特盛!コボちゃん	standard	[1, 2, 3]	[4, 5, 8, 9, 12, 13, 14, 15, 16]	1	SOURCE_GAP	{}
tokusen-otoboke-kachou	特選おとぼけ課長	standard	[1, 2, 3]	[4, 5, 6, 7, 8]	1	SOURCE_GAP	{}
tokyo-babylon	東京BABYLON	standard	[1, 2]	[3, 4]	1	SOURCE_GAP	{}
tokyo-debut	東京デビュー	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
tomodachi-wa-kiss-shinai	友達はキスしない!	standard	[1]	[2]	1	SOURCE_GAP	{}
tonotatakai	豊臣秀吉と天下統一のたたかい	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
toshizou	歳三	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
touhou-tetsuwan-komachi-dokidoki-locomotion	東方鉄腕小町ドキドキ♡ロコモーション	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
tousei-gensou-hakubutsushi	当世幻想博物誌	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
transformers-classics	トランスフォーマークラシックス	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10, 11]	3	SOURCE_GAP	{}
transistor-teaset-denki-gairozu	トランジスタティーセット	standard	[1, 2, 3, 4]	[5]	1	SOURCE_GAP	{}
tsuburaya-age	円谷英二	standard	[1]	[2]	1	SOURCE_GAP	{}
tsugi-no-kuuhaku-o-umeyo	次の空白を埋めよ。	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka	つまりそういうコト。	standard	[1]	[2, 3]	2	SOURCE_GAP	{}
tv-animation-major-characters-handbook-heroes	TV ANIMATION MAJOR キャラクターズハンドブック HEROES	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
uchira-wa-mabudachi	うちらはマブダチ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
ultra-q-2011	ウルトラQ	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-xx-saretai	裏アカ男子は抱かれたい攻め様No.1にXXされたい	standard	[1, 2]	[3]	1	SOURCE_GAP	{}
usagi-1994	うさぎ	standard	[1]	[2, 3]	1	SOURCE_GAP	{}
valkyrie	ワルキューレ	standard	[1]	[2]	1	SOURCE_GAP	{}
