slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
heiwa-no-kane-series	平和の鐘シリーズ	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	[20]	1	RECOVERABLE	{"1": "9784593897018", "2": "9784593897025", "3": "9784593897032", "4": "9784593897049", "5": "9784593897056", "6": "9784593897063", "7": "9784593897070", "8": "9784593897087", "9": "9784593897094", "10": "9784593897100", "11": "9784593897117", "12": "9784593897124", "13": "9784593897131", "14": "9784593897148", "15": "9784593897155", "16": "9784593897162", "17": "9784593897179", "18": "9784593897186", "19": "9784593897193"}
hi-hi-hi	Hi Hi Hi!	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784785927059"}
high	High	standard	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784088654041"}
hitsukurikaetsuta-omochiyabako	ひっくりかえったおもちゃ箱	aizoban	[1]	[2]	1	RECOVERABLE	{"1": "9784088550237"}
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[16, 17, 18, 19]	2	RECOVERABLE	{"6": "9784088711164", "7": "9784088711171", "8": "9784088711188", "9": "9784088711195", "12": "9784088711225", "13": "9784088711232", "14": "9784088711249", "15": "9784088711256"}
hotel-ishimori-1998	HOTEL	standard	[1]	[2, 37]	2	RECOVERABLE	{"1": "9784091094933"}
houkago-hokenshitsu	放課後保健室	bunkobon	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784253180924"}
inakappe-taishou	いなかっぺ大将	bunkobon	[1, 2]	[3, 4, 5]	1	RECOVERABLE	{"1": "9784537073003", "2": "9784537073010"}
joker	JOKER	standard	[1, 2, 3, 4, 5]	[6, 7, 8, 9, 10]	1	RECOVERABLE	{"3": "9784403622793", "4": "9784403623097", "5": "9784403623202"}
joker-2000-2	ジョーカー	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063189520", "2": "9784063189674"}
jun-1997	純	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784063281538"}
k-shitsuki-1988	K	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784575721133"}
kaiki-shinsatsushitsu	怪奇診察室	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784845815678"}
kaishain-no-merodii	かいしゃいんのメロディー	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784812437834"}
kakushigoto	かくしごと	standard	[1, 2, 3, 4]	[5, 6, 7, 8, 9, 10, 11, 12]	1	RECOVERABLE	{"1": "9784063774856", "2": "9784063930290", "3": "9784063931488", "4": "9784063932096"}
kamui-den	カムイ伝	aizoban	[1]	[2, 4]	1	RECOVERABLE	{"1": "9784091920317"}
kanon	Kanon	standard	[1]	[2, 8]	1	RECOVERABLE	{"1": "9784840216784"}
kantai-collection-kancolle-comic-arakaruto	艦隊これくしょん-艦これ-コミックアラカルト	standard	[1, 2]	[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	5	RECOVERABLE	{"1": "9784041209714"}
karen-osakabe-2011	花恋	standard	[1, 2, 3, 4, 5]	[6, 7]	1	RECOVERABLE	{"1": "9784091337849", "2": "9784091340986", "3": "9784091341051", "4": "9784091345486", "5": "9784091348364"}
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	standard	[1, 2, 3, 4, 5]	[6, 7, 8, 9]	1	RECOVERABLE	{"1": "9784344816183", "2": "9784344816190", "3": "9784344817197", "4": "9784344817203", "5": "9784789783262"}
kishibe-no-uta	岸辺の唄	bunkobon	[1]	[2, 3]	1	RECOVERABLE	{"1": "9784834261622"}
kochira-tsubaki-sanfujinka	こちら椿産婦人科	bunkobon	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[13]	1	RECOVERABLE	{"1": "9784088621630", "2": "9784087850147", "3": "9784087850154", "4": "9784087850161", "5": "9784087850178", "6": "9784087850208", "7": "9784087850376", "8": "9784087850468", "9": "9784087850611", "10": "9784087850703", "11": "9784087850840", "12": "9784087852035"}
kootaroo-makaritooru	コータローまかりとおる!	bunkobon	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	1	RECOVERABLE	{"1": "9784061728745"}
kyou-kara-ore-wa	今日から俺は!!	wideban	[1]	[2, 4, 5, 11, 12, 13, 14, 15, 16, 17, 18, 19]	1	RECOVERABLE	{"1": "9784091095312"}
