slug	title	type	number	kind	current	proposed	dom_pub	pubclass
hitsuji-no-uta	羊のうた	standard	3	PUB_SWAP	9784796297509	9784344803619	9784344	multi
hitsuji-no-uta	羊のうた	standard	4	PUB_SWAP	9784789782159	9784344803725	9784344	multi
hitsuji-no-uta	羊のうた	standard	5	PUB_SWAP	9784789783231	9784344803732	9784344	multi
hone-made-aishite-takaguchi-2011	骨まで愛して	standard	1	PUB_SWAP	9784088484006	9784199604713	978419	multi
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	standard	1	PUB_SWAP	9784884758233	9784812453995	97848124	multi
honzuki-no-gekokujou	本好きの下剋上	standard	6	PUB_SWAP	9784864726641	9784866990835	978486699	multi
honzuki-no-gekokujou	本好きの下剋上	standard	3	PUB_SWAP	9784864727846	9784866992204	978486699	multi
honzuki-no-gekokujou	本好きの下剋上	standard	2	PUB_SWAP	9784864728010	9784866992037	978486699	multi
honzuki-no-gekokujou	本好きの下剋上	standard	4	PUB_SWAP	9784864729345	9784866992495	978486699	multi
hoshi-furu-mori-no-little-majo	星降る森のリトル魔女	standard	1	PUB_SWAP	9784895943000	9784039695109	978403	multi
hoshi-o-tsugu-mono	星を継ぐもの	standard	1	PUB_SWAP	9784049245738	9784091838889	978409	multi
hospital	ホスピタル	standard	1	PUB_SWAP	9784592131410	9784757712881	97847577	multi
hot-shot	Hot Shot	standard	1	PUB_SWAP	9784088488479	9784063129311	978406	multi
hyakki-yagyou-show	百鬼夜行抄	standard	1	PUB_SWAP	9784257902492	9784022130358	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	2	PUB_SWAP	9784257902836	9784022130365	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	3	PUB_SWAP	9784257902959	9784022130372	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	4	PUB_SWAP	9784257903284	9784022130389	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	5	PUB_SWAP	9784257903550	9784022130396	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	6	PUB_SWAP	9784257903826	9784022130402	978402	multi
hyakki-yagyou-show	百鬼夜行抄	standard	7	PUB_SWAP	9784257904038	9784022130419	978402	multi
