巻状態	種2	tier	信号	一致	残差	疑	slug	頁題	頁著者	頁最大巻	頁巻数	isbn	楽天題	楽天副題	抽出親題	抽出巻	楽天著者	出版社	レーベル	発売日	種2sid	種2題	種2巻	除外seed
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	召喚勇者だけど下級認定されたのでメイドハーレムを作ります		astro-king	アストロキング	GEN・竜庭ケンジ	3	3	9784799221242	アストロキング 召喚勇者だけど下級認定されたのでメイドハーレムを作ります！ 5		アストロキング 召喚勇者だけど下級認定されたのでメイドハーレムを作ります!	5	GEN/竜庭ケンジ	キルタイムコミュニケーション	ヴァルキリーコミックス　417	2026年01月08日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	awabi-no-namida	あわびの涙	岩谷テンホー	2	2	9784812451694	あわびの涙（3）		あわびの涙	3	岩谷テンホー	竹書房	バンブーコミックス	1997年12月13日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	伝説の単車廣島最強の証しz		bad-boys	BAD BOYS	田中宏	22	22	9784785932428	BAD　BOYS（伝説の単車廣島最強の証しZ40）		BAD BOYS(伝説の単車廣島最強の証しZ	40	田中宏（漫画家）	少年画報社	ＹＫ　ｂｅｓｔ　ｗｉｄｅ	2009年10月				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	bakudan-kisha-fudoumaru	爆弾記者不動丸	土山しげる	1	1	9784845816187	爆弾記者不動丸（2）		爆弾記者不動丸	2	土山しげる	リイド社	SPコミックス	1998年03月13日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	bakudan-kisha-fudoumaru	爆弾記者不動丸	土山しげる	1	1	9784845816194	爆弾記者不動丸（3）		爆弾記者不動丸	3	土山しげる	リイド社	SPコミックス	1998年07月04日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	辺境の地で新薬作りに励んでいるのであなたたちを相手にする暇などありません		bannou-yakushi-wa-zamaa-o-kuwadatenai	万能薬師はざまぁを企てない	沙夜・山本まと	2	2	9784046604057	万能薬師はざまぁを企てない 〜辺境の地で新薬作りに励んでいるので、あなたたちを相手にする暇などありません！〜　3		万能薬師はざまぁを企てない 〜辺境の地で新薬作りに励んでいるので、あなたたちを相手にする暇などありません!	3	山本　まと/沙夜/仁藤　あかね	KADOKAWA	フロース　コミック	2026年07月17日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	女子率90%の聖職者学園に入学してしまった僕		battle-healer-wa-shugyouchuu	異世界看護師は修行中!!	中村卯月	4	4	9784801984455	異世界看護師は修行中!!女子率90％の聖職者学園に入学してしまった僕（5）		異世界看護師は修行中!!女子率90%の聖職者学園に入学してしまった僕	5	中村卯月	竹書房	バンブーコミックス	2024年10月07日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	beeshitsu-kun	べーしっ君	荒井清和	1	1	9784756106506	べーしっ君（2）		べーしっ君	2	荒井清和	アスキー・メディアワークス	アスキーコミックス	1992年09月24日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	beeshitsu-kun	べーしっ君	荒井清和	1	1	9784756106513	べーしっ君（3）		べーしっ君	3	荒井清和	アスキー・メディアワークス	アスキーコミックス	1992年09月24日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		PUBMISMATCH	beeshitsu-kun	べーしっ君	荒井清和	1	1	9784756111623	べーしっ君（4）		べーしっ君	4	荒井清和	アスキー・メディアワークス	アスキーコミックス	1995年06月22日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT			benimaru-bo-tan	紅丸ぼたん	たかの宗美	1	1	9784821181148	紅丸ぼたん（2）		紅丸ぼたん	2	たかの宗美	ぶんか社	ぶんか社コミックス	2004年10月28日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	EXACT		YEARLIKE	boku-no-tsuma-wa-kanjou-ga-nai	僕の妻は感情がない	杉浦次郎	7	7	9784046837660	僕の妻は感情がない　08		僕の妻は感情がない	8	杉浦　次郎	KADOKAWA	MFコミックス フラッパーシリーズ	2024年09月21日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	ぼく地球次世代編ii		boku-wa-chikyuu-toutau	ぼくは地球と歌う	日渡早紀	9	9	9784592222934	ぼくは地球と歌う 「ぼく地球」次世代編II 10		ぼくは地球と歌う 「ぼく地球」次世代編II	10	日渡 早紀	白泉社	花とゆめコミックス	2025年11月05日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	女風セラピストの日常		boku-wa-haru-o-hisagu	僕は春をひさぐ	水谷緑	2	2	9784065375907	僕は春をひさぐ〜女風セラピストの日常〜（3）		僕は春をひさぐ〜女風セラピストの日常	3	水谷 緑	講談社	KCデラックス	2024年11月13日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	pod	PUBMISMATCH	bokutachi-no-ikita-wake	僕たちの生きた理由	渡辺和幸	2	2	2300000043013	【POD】僕たちの生きた理由 (4)		【POD】僕たちの生きた理由	4	渡辺和幸	DeNA		2017年12月11日頃				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	PREFIX	おまけに彼女の様子が何やらおかしくて		boukensha-party-o-tsuihousareta-sareta-kaifukushi-no-shoujo-o-hirotte-ikusei-shitara-masaka-no	冒険者パーティーを追放された回復士の少女を拾って育成したら、まさかの最強職業に転職!?	清露・星くずし	4	4	9784758099530	冒険者パーティーを追放された回復士の少女を拾って育成したら、まさかの最強職業に転職!? おまけに彼女の様子が何やらおかしくて… (5)		冒険者パーティーを追放された回復士の少女を拾って育成したら、まさかの最強職業に転職!? おまけに彼女の様子が何やらおかしくて...	5	清露/星くずし/えーる	一迅社	REXコミックス	2026年08月27日				
MISSING_TAIL	ABSENT	A	TITLE_TAIL	SUFFIX	pod	PUBMISMATCH	break-cafe	ブレイク☆カフェ	森ゆきえ	5	5	2300000105339	【POD】ブレイク☆カフェ(6)		【POD】ブレイク☆カフェ	6	森ゆきえ	ナンバーナイン		2022年09月02日頃				
