seed	special_isbn	special_title	normal_isbn	normal_title
special-edition-fix.yml	9784344845084	転生したら剣でした　6　小冊子つき特装版 棚架ユウ/丸山朝ヲ/るろお	9784344845077	転生したら剣でした　（6） 棚架ユウ/丸山朝ヲ/るろお
special-edition-fix.yml	9784403690051	百姓貴族（7）手ぬぐい付き特装版 荒川弘	9784403671838	百姓貴族（7） 荒川弘
special-edition-fix.yml	9784575380859	腐男子召喚〜異世界で神獣にハメられました〜　ドラマCD付き特装版（3） 藤咲もえ	9784575380842	腐男子召喚〜異世界で神獣にハメられました〜（3） 藤咲もえ
special-edition-fix.yml	9784575381016	腐男子召喚〜異世界で神獣にハメられました〜　アクリルスタンドカレンダー付き特装版（4） 藤咲もえ	9784575380965	腐男子召喚〜異世界で神獣にハメられました〜（4） 藤咲もえ
special-edition-fix.yml	9784575381023	べな　ドラマCD付き特装版（3） こふで	9784575380989	べな（3） こふで
special-edition-fix.yml	9784592105213	信長の忍び TVアニメDVDつき初回限定版 14 重野なおき	9784592161141	信長の忍び 14 重野なおき
special-edition-fix.yml	9784592105237	信長の忍び TVアニメDVDつき初回限定版 15 重野なおき	9784592161158	信長の忍び 15 重野なおき
special-edition-fix.yml	9784592105251	信長の忍び TVアニメDVDつき初回限定版 16 重野なおき	9784592161165	信長の忍び 16 重野なおき
special-edition-fix.yml	9784592105602	ラストゲーム（8）ドラマCD付き特 天乃忍	9784592195153	ラストゲーム 8 天乃忍
special-edition-fix.yml	9784592105640	天使1／2方程式（7）ドラマCD付き限 日高万里	9784592213475	天使1／2方程式（7） 日高万里
special-edition-fix.yml	9784592105671	狼陛下の花嫁 ドラマCD付き特装版 16 可歌まと	9784592195511	狼陛下の花嫁 16 可歌まと
special-edition-fix.yml	9784592105725	暁のヨナ イラスト集付き限定版 23 草凪みずほ	9784592215134	暁のヨナ 23 草凪みずほ
special-edition-fix.yml	9784592105749	俺様ティーチャー ドラマCD付初回限定版 24 椿いづみ	9784592215349	俺様ティーチャー 24 椿いづみ
special-edition-fix.yml	9784592105770	女子小学生はじめました P! ドラマCDつき初回限定版 6 牛乳のみお	9784592148661	女子小学生はじめました P! 6 牛乳のみお
special-edition-fix.yml	9784592105794	なまいきざかり。 ドラマCD付き限定版 10 ミユキ蜜蜂	9784592213406	なまいきざかり。 10 ミユキ蜜蜂
special-edition-fix.yml	9784592105817	変女〜変な女子高生 甘栗千子〜 ドラマCD付き限定版 7 此ノ木よしる	9784592141990	変女〜変な女子高生 甘栗千子〜 7 此ノ木よしる
special-edition-fix.yml	9784592105824	覆面系ノイズ ドラマCD付き限定版 14 福山リョウコ	9784592216148	覆面系ノイズ 14 福山リョウコ
special-edition-fix.yml	9784592105848	大奥 ドラマCD付き特装版 15 よしながふみ	9784592145493	大奥 15 よしながふみ
special-edition-fix.yml	9784592105930	コレットは死ぬことにした ドラマCD付き限定版 10 幸村アルト	9784592213901	コレットは死ぬことにした 10 幸村アルト
special-edition-fix.yml	9784592105954	狼陛下の花嫁 ドラマCD付き特装版 19 可歌まと	9784592195542	狼陛下の花嫁 19 可歌まと
special-edition-fix.yml	9784592105961	会長はメイド様!マリアージュ ドラマCD付き特装版 藤原ヒロ	9784592211105	会長はメイド様!マリアージュ 藤原ヒロ
special-edition-fix.yml	9784592106098	砂漠のハレム ミニ画集付き特装版 9 夢木みつる	9784592196495	砂漠のハレム 9 夢木みつる
special-edition-fix.yml	9784592106111	高嶺と花 ドラマCD付き限定版 13 師走ゆき	9784592216032	高嶺と花 13 師走ゆき
special-edition-fix.yml	9784592106135	暁のヨナ 30Arts Collection 限定版 30 草凪みずほ	9784592215202	暁のヨナ 30 草凪みずほ
special-edition-fix.yml	9784592106203	夏目友人帳 フィギュアストラップ付き特装版 25 緑川 ゆき	9784592193753	夏目友人帳 25 緑川 ゆき
special-edition-fix.yml	9784592106241	コレットは死ぬことにした カラー画集付き特装版 18 幸村 アルト	9784592223382	コレットは死ぬことにした 18 幸村 アルト
special-edition-fix.yml	9784592106258	天堂家物語 描き下ろしマンガ+ミニ画集付き特装版 10 斎藤 けん	9784592212461	天堂家物語 10 斎藤 けん
special-edition-fix.yml	9784592106296	ベルセルク キャンバスアート&ドラマCD付き特装版 41 三浦 建太郎	9784592166917	ベルセルク 41 三浦 建太郎
special-edition-fix.yml	9784592106319	スキップ・ビート! 48 連載20周年記念イラスト集つき特装版 48 仲村 佳樹	9784592216483	スキップ・ビート! 48 仲村 佳樹
special-edition-fix.yml	9784592145073	新職業・殺し屋。斬（1） 西川秀明	9784592145066	新 職業・殺し屋。斬 ZAN（1） 西川秀明
special-edition-fix.yml	9784592146865	海の御先（6）初回限定版 文月晃	9784592144861	海の御先（6） 文月晃
special-edition-fix.yml	9784592147787	3月のライオン 西尾維新コラボ小説付き特装版 12 羽海野チカ	9784592145226	3月のライオン 12 羽海野チカ
special-edition-fix.yml	9784592212508	天堂家物語 描き下ろしマンガ小冊子付き特装版 13 斎藤 けん	9784592212492	天堂家物語 13 斎藤 けん
special-edition-fix.yml	9784592217909	墜落JKと廃人教師 ミニカラー画集付き特装版 5 sora	9784592216568	墜落JKと廃人教師 5 sora
special-edition-fix.yml	9784592218449	うそカノ 小冊子付き特装版 9 林みかせ	9784592210795	うそカノ 9 林みかせ
special-edition-fix.yml	9784592218494	うそカノ 描き下ろし後日談コミック付き特装版 11 林みかせ	9784592211730	うそカノ 11 林みかせ
special-edition-fix.yml	9784592218777	水玉ハニーボーイ 小冊子付き特装版 10 池ジュン子	9784592210504	水玉ハニーボーイ 10 池ジュン子
