tier	author_ok	stem	title	etype	number	isbn	date	publisher	rakuten_title	rakuten_author	page_authors	series_name	main_prefix	cand_prefix	n_cands
STRICT	OK	boukyaku-no-sachiko	忘却のサチコ	standard	23	9784098630585	2024-10	小学館	忘却のサチコ(23)	阿部 潤	阿部潤	ビッグ コミックス	9784098	9784098	2
STRICT	OK	bounce-back	バウンスバック	standard	12	9784065367414	2024-08	講談社	バウンスバック(12)	こしの りょう	こしのりょう	KCデラックス	9784065	9784065	4
STRICT	OK	bubble-samurai	バブル・ザムライ	standard	3	9784098630745	2024-10	小学館	バブル・ザムライ(3)	細野 不二彦	細野不二彦	ビッグ コミックス	9784098	9784098	2
STRICT	OK	buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	standard	8	9784867781289	2024-12	秋水社	部長の夜テクが凄すぎて腰が浮きます疼きます(8)	大塚あきら	大塚あきら	秋水デジタルコミックス　TLシリーズ	9784867	9784867	4
STRICT	OK	busu-nante-iwanaide	ブスなんて言わないで	standard	5	9784065371695	2024-11	講談社	ブスなんて言わないで(5)	とある アラ子	とあるアラ子	アフタヌーンKC	9784065	9784065	2
STRICT	OK	cake-bomb	Cake×Bomb	standard	2	9784098727766	2024-10	小学館	Cake×Bomb(2)	佐野 愛莉	佐野愛莉	フラワーコミックス	9784098	9784098	2
STRICT	OK	cardfight-vanguard-youthquake	カードファイト!!ヴァンガードYouthQuake	standard	7	9784048997898	2025-12	ブシロードワークス	カードファイト!! ヴァンガード YouthQuake(7)	Quily/伊藤　彰	Quily	ブシロードコミックス	9784048	9784048	2
STRICT	OK	chainsaw-man	チェンソーマン	standard	19	9784088843131	2024-12	集英社	チェンソーマン 19	藤本 タツキ	藤本タツキ	ジャンプコミックス	9784088	9784088	2
STRICT	OK	cheat-yakushi-no-slow-life	チート薬師のスローライフ	standard	12	9784801984905	2024-11	竹書房	チート薬師のスローライフ(12)	ケンノジ/春乃えり	春乃えり	バンブーコミックス	9784801	9784801	3
STRICT	OK	chibi-to-boku	ちびとぼく	standard	4	9784812459935	2004-07	竹書房	ちびとぼく(4)	私屋カヲル	私屋カヲル	バンブーコミックス	9784812	9784812	3
STRICT	OK	chittai-ore-no-makikomare-isekai-seikatsu	ちったい俺の巻き込まれ異世界生活	standard	3	9784575419993	2024-10	双葉社	ちったい俺の巻き込まれ異世界生活(3)	小埜聖華/ぬー（ツギクル）	小埜聖華	モンスターコミックスf	9784575	9784575	2
STRICT	OK	chrome-kidoutai-za-human-algorithm	攻殻機動隊THE HUMAN ALGORITHM	standard	7	9784065376058	2024-11	講談社	攻殻機動隊 THE HUMAN ALGORITHM(7)	藤咲 淳一/吉本 祐樹	吉本祐樹	KCデラックス	9784065	9784065	3
STRICT	OK	class-no-daikirai-na-joshi-to-kekkon-suru-koto-ni-natta	クラスの大嫌いな女子と結婚することになった。	standard	6	9784041153871	2024-09	KADOKAWA	クラスの大嫌いな女子と結婚することになった。 (6)	もすこんぶ/天乃　聖樹	もすこんぶ	角川コミックス・エース	9784041	9784041	3
STRICT	OK	colorful-gray	カラフルグレー	standard	4	9784823607745	2024-11	ジーオーティー	カラフルグレー(4)	躯咲マドロミ	躯咲マドロミ	MeDu COMICS	9784823	9784823	2
