slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
akai-tsurugi	緋色い剣	あずみ椋	deluxe	KCデラックス	講談社	7	10	0.70	圧縮(豪華本)	2002-11	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6497/9784063346497.jpg?_ex=200x200	7	OK	7/7
alice-ni-omakase	アリスにおまかせ!	あらいきよこ	deluxe	Flower comics deluxe	小学館	5	10	0.50	圧縮(豪華本)	2001-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7014/9784091357014.gif?_ex=200x200	5	OK	5/5
alpen-rose	アルペンローゼ	赤石路代	deluxe	Flower comics deluxe	小学館	4	9	0.44	圧縮(豪華本)	2000-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8912/9784091358912.gif?_ex=200x200	4	OK	4/4
ami-nonstop	亜未!ノンストップ	北川みゆき	deluxe	Flower comics deluxe	小学館	6	12	0.50	圧縮(豪華本)	2001-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7011/9784091387011.gif?_ex=200x200	6	OK	6/6
anoko-ni-1000-paasento	あのこに1000％	北川みゆき	deluxe	Flower comics deluxe	小学館	2	5	0.40	圧縮(豪華本)	2000-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8770/9784091318770.gif?_ex=200x200	2	OK	2/2
aoi-tori-shoukougun	青い鳥症候群	河野やす子	deluxe	Flower comics deluxe	小学館	4	10	0.40	圧縮(豪華本)	1999-11-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7114/9784091347114.gif?_ex=200x200	4	OK	2/4
aozora-shoujo-tai	青空少女隊	清水としみつ	deluxe	YKコミックス・デラックス	少年画報社	2	3	0.67	圧縮(豪華本)	2008-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7859/78592895.jpg?_ex=200x200	2	OK	2/2
battle-girl-ai	バトルガール藍	飯坂友佳子	deluxe	Flower comics deluxe	小学館	4	8	0.50	圧縮(豪華本)	2001-11-26	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7110/9784091387110.gif?_ex=200x200	4	OK	4/4
beck	BECK	ハロルド作石	deluxe	講談社コミックスデラックス. 月刊少年マガジン	講談社	17	34	0.50	圧縮(豪華本)	2024-12-27	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1946/9784065381946_1_50.jpg?_ex=200x200	17	OK	17/17
bem-hunter-sword	ベムハンター・ソード	星野之宣	deluxe	アフタヌーンKCデラックス	講談社	1	2	0.50	圧縮(豪華本)	2002-10-23	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6176/9784063346176.jpg?_ex=200x200	1	OK	1/1
bishoujo-suit-sailor-moon	美少女戦士セーラームーン	武内直子	deluxe	KCデラックス	講談社	12	18	0.67	圧縮(豪華本)	1994-11-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5484/9784063195484.jpg?_ex=200x200	12	OK	12/12
buraiden-gai	無頼伝涯	福本伸行	deluxe	講談社コミックスデラックス	講談社	4	5	0.80	圧縮(豪華本)	2011-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1344/9784063761344.jpg?_ex=200x200	4	OK	4/4
chrome-kidoutai	攻殻機動隊	士郎正宗	deluxe	KCデラックス	講談社	1	2	0.50	圧縮(豪華本)	2008-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4537/9784063754537_1_3.jpg?_ex=300x300	1	OK	1/1
clover-1997	Clover	CLAMP	deluxe	KCデラックス	講談社	2	4	0.50	圧縮(豪華本)	2008-07-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5084/9784063755084_1_3.jpg?_ex=200x200	2	OK	2/2
clover-1997	Clover	CLAMP	deluxe	KCデラックス	講談社	2	4	0.50	圧縮(豪華本)	2008-07-17	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5084/9784063755084_1_3.jpg?_ex=200x200	2	OK	2/2
