verdict	signals	series_key	title	vols	first_date	last_date	imprints	authors	isbn
著者は本番に在る(作品は別)		name:SHIFT UP|name:勝利の女神:NIKKEすいーとえんかうんと	勝利の女神:NIKKEすいーとえんかうんと	1	2026-06-15	2026-06-15	コロコロコミックススペシャル	SHIFT UP / 雨住キオ	9784091542700
著者は本番に在る(作品は別)		name:別府マコト|name:令嬢ランキング	令嬢ランキング	1	2026-06-15	2026-06-15	IDコミックス. Zero-sum comics	西尾潤 / 黒コマリ	9784758099202
著者は本番に在る(作品は別)		name:東雲pub.|name:バニーナイト・トリートメント	バニーナイト・トリートメント	2	2026-03-16	2026-06-15	ビッグコミックス	熊雪ふる	9784098637768
本番に完全に無い		name:ヒビキさん|name:わたしにプールは狭すぎた!	わたしにプールは狭すぎた!	1	2026-06-15	2026-06-15	Manga time KR comics. Kirara menu		9784832297258
著者は本番に在る(作品は別)		qid:Q11563265|name:やってはいけない	やってはいけない	1	2026-06-15	2026-06-15		湖西晶	9784537223828
著者は本番に在る(作品は別)		name:永田礼路|name:まどいのいきもの	まどいのいきもの	1	2026-06-15	2026-06-15	ビッグコミックス	永田礼路	9784098638246
著者は本番に在る(作品は別)		qid:Q30930791|name:魔老紳士ビーティー	魔老紳士ビーティー	1	2026-06-13	2026-06-13	ジャンプコミックス	出水ぽすか / 西尾維新	9784088851150
著者は本番に在る(作品は別)		name:衣吹まいな|name:騎士団長! 私は不審者ではありません!	騎士団長! 私は不審者ではありません!	1	2026-06-13	2026-06-13	MGC. Avarus series	頼爾	9784800017734
本番に完全に無い		name:越谷美咲|name:香港ネクロポリス	香港ネクロポリス	2	2025-11-22	2026-06-13	HARTA COMIX	越谷美咲	9784045001123
著者は本番に在る(作品は別)		name:マチバリ|name:追放令嬢からの手紙	追放令嬢からの手紙	1	2026-06-13	2026-06-13	フラワーコミックスα	マチバリ	9784098734559
著者は本番に在る(作品は別)		qid:Q28688158|name:転生格ゲーマー	転生格ゲーマー	1	2026-06-13	2026-06-13	ヤングジャンプコミックス	オギノユーヘイ / 山口ミコト	9784088941394
著者は本番に在る(作品は別)		name:ましろ雪|name:藤堂秘書は今日も塩対応	藤堂秘書は今日も塩対応	2	2026-02-02	2026-06-13	プチコミックフラワーコミックスα	ましろ雪	9784098733484
著者は本番に在る(作品は別)		name:桃缶|name:花見小路北日記	花見小路北日記	2	2025-06-14	2026-06-13	マーガレットコミックス	西海ミナト	9784088431499
著者は本番に在る(作品は別)		name:宮之みやこ|name:聖女が来るから「君を愛することはない」と言われたのでお飾り王妃に徹していたら、聖女が5歳だったので全力で愛します!!	聖女が来るから「君を愛することはない」と言われたのでお飾り王妃に徹していたら、聖女が5歳だったので全力で愛します!!	2	2025-05-30	2026-06-13	MGC. Web comic beat's series	宮之みやこ / 桛深ビスホ	9784800015976
本番に完全に無い		name:にしき秋湖|name:異能の姫は後宮の妖を祓う	異能の姫は後宮の妖を祓う	1	2026-06-13	2026-06-13	MGC. Avarus series		9784800017741
著者は本番に在る(作品は別)		name:ねこまき|name:深夜3時のくろねこ喫茶	深夜3時のくろねこ喫茶	2	2025-10-03	2026-06-13	OZ comics	ねこまき	9784813795155
著者は本番に在る(作品は別)		name:三ツ矢彰|name:法の番人は守る世界を選べない	法の番人は守る世界を選べない	2	2025-03-19	2026-06-13	モーニングKC	師走トオル / 三ツ矢彰	9784065387948
本番に完全に無い		name:君塚祥|name:殿下、ちょっと一言よろしいですか?	殿下、ちょっと一言よろしいですか?	1	2026-06-13	2026-06-13	ヤングジャンプコミックス	斧名田マニマニ	9784088942988
著者は本番に在る(作品は別)		name:奏舞音|name:最恐辺境伯に拾われました、小鳥〈=悪女?〉です	最恐辺境伯に拾われました、小鳥〈=悪女?〉です	1	2026-06-13	2026-06-13	フロースコミック	奏舞音 / 小豆夜桃のん	9784046601490
著者は本番に在る(作品は別)		name:北駒生|name:書くなる我ら	書くなる我ら	2	2025-11-15	2026-06-13	モーニングKC	北駒生	9784065414378
著者は本番に在る(作品は別)		name:JordanPenny|name:愛はひそやかに	愛はひそやかに	1	2026-06-13	2026-06-13	HQ comics★kirara = ハーレクインコミックス★キララ. 永遠のハッピーエンド・ロマンス	英洋子 / JordanPenny	9784302120482
著者は本番に在る(作品は別)		name:梅星あやめ|name:悪役令嬢はスローライフをエンジョイしたい!	悪役令嬢はスローライフをエンジョイしたい!	2	2025-11-08	2026-06-13	isekai f	夕薙 / 雨宮れん	9784838733620
本番に完全に無い		name:雪魚|name:息子の彼女	息子の彼女	1	2026-06-13	2026-06-13	ヤンマガKC	雪魚	9784065433676
著者は本番に在る(作品は別)		name:無機質|name:怪しいおまわりさん	怪しいおまわりさん	2	2025-04-12	2026-06-13	ヤングジャンプコミックス	無機質	9784088936369
著者は本番に在る(作品は別)		name:影茸|name:忌み子として捨てられた召喚士、実は世界最強	忌み子として捨てられた召喚士、実は世界最強	1	2026-06-13	2026-06-13	モンスターコミックス	電柱棒	9784575424478
著者は本番に在る(作品は別)		name:あずまたま|name:左遷された第三王女は『辺境改革』を始めます!!	左遷された第三王女は『辺境改革』を始めます!!	2	2025-06-14	2026-06-13	ヤングジャンプコミックス	日之影ソラ / あずまたま	9784088937298
著者は本番に在る(作品は別)		name:ビビリキウイ|name:大商家の愛娘 (幼女) ですが、毎日元気いっぱいに暮らしていたら攻略対象の過去トラウマを一掃しちゃってたみたいです	大商家の愛娘 (幼女) ですが、毎日元気いっぱいに暮らしていたら攻略対象の過去トラウマを一掃しちゃってたみたいです	1	2026-06-13	2026-06-13	MGC. Web comic beat's series	西園フミコ	9784800017703
