class	slug	title	n_series	n_editions	cluster_dump
B_REPRINT_MIX	bakushou-suit-sd-gundam	爆笑戦士!SDガンダム	1	2	sid40063(佐藤元): standard[] 4冊 2026-01-09〜2026-04-04 ISBN4 ; standard[講談社コミックスボンボン] 6冊 1989-06-17〜1992-01-09 ISBN1
B_REPRINT_MIX	bibabareebooru	ビバ!バレーボール	1	2	sid9162(井出智香恵): standard[] 3冊 2003-08〜2003-09 ISBN3 ; standard[りぼんマスコットコミックス] 6冊 1970-07〜1971-04-10 ISBN0
B_REPRINT_MIX	big-x	ビッグX	1	7	sid35016(手塚治虫): bunkobon[手塚治虫文庫全集] 2冊 2011-01〜2011-01 ISBN2 ; bunkobon[秋田文庫] 3冊 2004-11〜2005-05 ISBN3 ; standard[] 5冊 2023-03〜2023-11 ISBN5 ; standard[SUNDAY COMICS] 2冊 1972-09-15〜1972-10-20 ISBN0 ; standard[サンデーコミックス] 2冊 1972-11-15〜1972-11-30 ISBN2 ; standard[手塚治虫全集] 1冊 2008-01〜2008-01 ISBN1 ; standard[手塚治虫漫画全集] 4冊 1981-07-20〜1981-10-20 ISBN4
B_REPRINT_MIX	bonbon	ボンボン	1	4	sid45257(石ノ森章太郎): standard[Shotaro world] 2冊 1999-11-01〜1999-11-01 ISBN2 ; standard[サンデーコミックス] 4冊 1966-12〜1971-04-10 ISBN0 ; standard[石ノ森章太郎萬画大全集] 4冊 〜 ISBN0 ; standard[青林堂オンデマンド] 1冊 〜 ISBN0
B_REPRINT_MIX	captain-ken	キャプテンKen	1	7	sid34961(手塚治虫): bunkobon[小学館文庫] 1冊 1997-11〜1997-11 ISBN1 ; bunkobon[秋田文庫] 1冊 2006-08〜2006-08 ISBN1 ; standard[] 1冊 2012-02〜2012-02 ISBN1 ; standard[TEZUKA OSAMU THE COMPLETE WORKS] 1冊 2011-11〜2011-11 ISBN1 ; standard[手塚治虫漫画全集] 2冊 1978-01〜1978-05 ISBN2 ; standard[手塚治虫漫画選集] 3冊 1962-06〜1962-10 ISBN0 ; standard[虫コミックス] 2冊 1968-06-25〜1968-10-25 ISBN0
B_REPRINT_MIX	chiisana-ochakai	小さなお茶会	1	4	sid22988(猫十字社): bunkobon[白泉社文庫] 2冊 2000-06〜2000-12 ISBN2 ; standard[] 7冊 1980-05〜2013-02 ISBN6 ; standard[このマンガがすごい!comics] 3冊 2025-10-13〜2025-11-17 ISBN3 ; standard[花とゆめコミックス] 7冊 1981-02-25〜1988-08-25 ISBN5
B_REPRINT_MIX	chikai-no-makyuu	ちかいの魔球	3	9	sid37087(ちばてつや/福本和也): standard[ちばてつや全集] 4冊 1995-01-18〜1995-03-22 ISBN4 ; standard[虫コミックス] 8冊 1971-05〜1971-05 ISBN0 ; standard[講談社コミックス] 1冊 1971-08-20〜1971-08-20 ISBN0 | sid67724(ちばてつや/福本和也): bunkobon[ちばてつや漫画文庫] 7冊 1977-02〜1977-05 ISBN0 ; bunkobon[講談社漫画文庫] 4冊 2003-03〜2003-04 ISBN4 ; standard[] 10冊 1961-05〜1963-05 ISBN0 ; standard[SUNDAY COMICS] 7冊 1973-11〜1974-10 ISBN0 ; standard[ちばてつや全集] 1冊 1995-0
B_REPRINT_MIX	chokkin	チョッキン	1	2	sid9596(吾妻ひでお): standard[] 3冊 2014-10〜2014-12 ISBN3 ; standard[少年チャンピオン・コミックス] 13冊 1977-10-10〜1978-07-25 ISBN0
B_REPRINT_MIX	death-hunter	デスハンター	2	4	sid19886(桑田二郎/平井和正): standard[MANGA Shop Series] 2冊 2005-01-25〜2005-01-25 ISBN2 | sid80162(桑田二郎/平井和正): standard[] 1冊 1971-06-22〜1971-06-22 ISBN0 ; standard[SUNWIDE COMICS] 2冊 1985-12-25〜1986-01-25 ISBN2 ; standard[サンコミックス] 3冊 1971-04-05〜1974-03-10 ISBN0
B_REPRINT_MIX	denjin-arrow	電人アロー	1	3	sid7807(一峰大二): standard[] 4冊 1965-04〜1999-06 ISBN3 ; standard[SUN COMICS] 3冊 1968-04-27〜1968-07 ISBN0 ; standard[サン・コミックス] 2冊 〜 ISBN0
