slug	title	authors	year	publisher	total_volumes
tokyo-babylon	東京BABYLON	CLAMP	1991	shinshokan	22
intron-depot	INTRON DEPOT	士郎正宗	1992	(unknown)	6
oshigoto	おしごと	しりあがり寿	1992	magazine-house	2
oruchuban-ebichu	おるちゅばんエビちゅ	伊藤理佐	1992	futabasha	8
heba-hello-chan	へば!Helloちゃん	小林まこと	1992	kodansha	6
virgin-mama	バージン★ママ	村生ミオ	1992	futabasha	10
fire-emblem-watanabe-1992	ファイアーエムブレム	佐野まさき・わたなべ京	1992	kadokawa	5
pose-file	ポーズ・ファイル	(unknown)	1992	(unknown)	7
oretachi-no-field	俺たちのフィールド	村枝賢一	1992	shogakukan	70
zenkan-shutsugeki	全艦出撃!!	ふくやまけいこ・道原かつみ・碧也ぴんく・らいとすたっふ	1992	tokuma	2
nangoku-shounen-papuwa-kun	南国少年パプワくん	柴田亜美	1992	square-enix	9
yume-maboroshi-no-gotoku	夢幻の如く	本宮ひろ志	1992	shueisha	25
gakken-manga-sekai-no-rekishi	学研まんが 世界の歴史	ムロタニツネ象	1992	gakken	2
shouta-no-sushi	将太の寿司	寺沢大介	1992	kodansha	42
chou-puroresu-fun-rendetsu	最狂超プロレスファン烈伝	徳光康之	1992	(unknown)	6
sora-no-ue-no-aren	空の上のアレン	筒井百々子	1992	tokyo-sanseisha	2
hashire-merosu	走れメロス	太宰治・おおすみ正秋	1992	shinchosha	2
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	かわぐちかいじ	1992	futabasha	5
umanari-1-haron-theater	馬なり1ハロン劇場	よしだみほ	1992	futabasha	37
1-yamamoto-1993	1	山本英夫	1993	kodansha	3
kuooto-ando-half	1/4×1/2	篠原烏童	1993	asahi-shimbun	8
golden-boy-1993	Golden boy	江川達也	1993	shueisha	13
joker	JOKER	道原かつみ	1993	shinshokan	11
sleeping-beauty-clinic	Sleeping beauty clinic	江ノ本瞳	1993	byakuya-shobo	2
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	戸川視友	1993	tousuisha	9
alice-no-ochakai	アリスのお茶会	和田エリカ	1993	cosmic-shuppan	5
super-mario-kun	スーパーマリオくん	嵩瀬ひろし	1993	shogakukan	10
takeru-1997-2	タケル	葉月京	1993	shobunkan	8
pink-chan-v	ピンクちゃんV	蒔野靖弘	1993	daitosha	3
fire-emblem-1993	ファイアーエムブレム	島田ひろかず	1993	scola	3
platonic	プラトニック	東宮千子	1993	tousuisha	7
yadamon	ヤダモン	SUEZEN	1993	tokuma	2
kyougeki-burai-ryouran	京劇的無頼繚乱	西魚リツコ	1993	shufu-to-seikatsu	11
urayasu-tekkin-kazoku	浦安鉄筋家族	浜岡賢次	1993	akita	45
hana	花	さそうあきら	1993	shogakukan	10
chou-diienuei-suit-furogguman	超DNA戦士フロッグマン	遊人	1993	schubert-shuppan	5
ryoushuu	領袖	さいとう・たかを	1993	(unknown)	12
cobra-1995	Cobra	寺沢武一	1994	kadokawa	24
crew-1994	Crew 1994	御茶漬海苔	1994	tokyo-sanseisha	3
omega-7	Omega 7	小林源文	1994	softbank-creative	6
x-men-1994-3	X-MEN	中原れい	1994	takeshobo	10
x-men-1994-5	X-MEN	児嶋都・萩原玲二	1994	takeshobo	11
x-men-1994	X-MEN	ヒグチヒロシ・やすえこーじ	1994	takeshobo	10
x-men	X-MEN	レイニル・フランシス・ユー	1994	(unknown)	7
chotto-dake-kaettekita-dokutaa-slump	ちょっとだけかえってきたDr.SLUMP	中鶴勝祥	1994	shueisha	3
x-men-1994-4	エックスメン	児嶋都・萩原玲二	1994	takeshobo	2
chaos-damonne	カオスだもんね!	水口幸広	1994	ascii-media-works	19
bird	バード	かざま鋭二	1994	futabasha	7
piasu-club	ピアスクラブ	しのざき嶺	1994	tokyo-sanseisha	5
fire-emblem-4-koma-manga-gekijou	ファイアーエムブレム4コママンガ劇場	魔神ぐり子	1994	square-enix	3
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	G・G・C	1994	futabasha	3
yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	企画	1994	koei	3
hanamori-no-kitsune	花守の狐	西澤暁	1994	asahi-sonorama	2
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	伊東岳彦	1994	shueisha	3
onmyouji	陰陽師	岡野玲子	1994	hakusensha	20
bon	Bon	工藤かずや・鈴木岳生	1995	leed	2
canon-1995	CANON	潮見知佳	1995	akita	7
sprite-arimura-1995	SPRITE	有村しのぶ	1995	shonen-gahosha	8
yakuyaku-supootsu-land	やくやくスポーツらんど	やくみつる	1995	takeshobo	2
rinta-no-momoiro-comic	りん太のももいろコミック	(unknown)	1995	(unknown)	19
atagoul	アタゴオル	ますむらひろし	1995	scola	15
doragonkuesuto-1p-comic-gekijou	ドラゴンクエスト1Pコミック劇場	ゲームドラゴンクエストシリーズ	1995	square-enix	9
b-t-x	ビート・エックス	車田正美	1995	kadokawa	13
macross-7-trash-2009	マクロス7trash	美樹本晴彦	1995	kadokawa	6
megami	女神	早稲田ちえ	1995	kodansha	5
shousetsu-fajji	小説FUDGE	原田やよい	1995	oto-shobo	3
gensou-tairiku	幻想大陸	夜麻みゆき	1995	square-enix	3
ai-1995	愛	高見まこ	1995	futabasha	2
shin-mobile-senki-gundam-daburyuu	新機動戦記ガンダムW	細雪純・氷栗優	1995	kodansha	5
shin-mobile-senki-gundam-wing-1996-2	新機動戦記ガンダムW	むっちりむうにい	1995	kodansha	5
gekki	月姫	穂実あゆこ	1995	gakken	5
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	松浦まさふみ	1995	shufu-no-tomo	2
takeki-ryuusei	猛き竜星	原哲夫	1995	shueisha	2
goseidouji-ran	護星童子ラン	真鍋譲治	1995	kobunsha	2
kinpeibai-watanabe-1995	金瓶梅	わたなべまさこ	1995	futabasha	17
dr-typhoon-1996	Dr.Typhoon	かざま鋭二	1996	futabasha	5
kiss-de-goukaku	Kissで合格	粕谷紀子	1996	shueisha	2
mobile-suit-gundam-the-movies	Mobile suit Gundam the movies	サンライズ (1987年)	1996	(unknown)	5
perfect-angel-lip	Perfectエンジェルリップ	雨宮淳	1996	scola	2
zero-site-muhou-chitai	Xero site（無法恥帯）	ツインテール	1996	futami-shobo	5
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	坂辺周一	1996	leed	4
yatteranneeze	やってらんねェぜ!	こいでみえこ	1996	tokuma	3
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	むっちりむうにい	1996	movic	2
charenjaazu	チャレンジャーズ	高永ひなこ	1996	hakusensha	3
purodeyuusaa-ni-naritai	プロデューサーになりたい	磯山晶	1996	kodansha	3
ring-1996	リング	永井幸二郎	1996	kodansha	3
goukaku-kigan	合格祈願	高永ひなこ	1996	hakusensha	3
shitsurakuen-1996	失楽園	ジェームスほたて・森下要・TARGO良明・つのだサブロー・清水大武・漣一人・六百年仙人・鱶山僚一・荒木瑛	1996	fusion-product	5
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	田島みるく	1996	takeshobo	10
ruriko-joou-no-kareinaru-hibi	瑠璃子女王の華麗なる日々	巻来功士	1996	shueisha	6
shinpi-no-sekai-eruhazaado-tsubura-1996	神秘の世界エルハザード	つぶらひでとも	1996	tokuma	2
hana-1996	花	松野美鳥	1996	shogakukan	9
yasei-densetsu	野性伝説	矢口高雄	1996	shogakukan	13
12-no-kekkon-monogatari	12の結婚物語	神奈幸子	1997	kodansha	5
arms	ARMS	皆川亮二・七月鏡一	1997	shogakukan	45
botsu-chan-no-jidai	『坊っちゃん』の時代	谷口ジロー・関川夏央	1997	futabasha	4
hajime-ningen-gon	はじめ人間ゴン	しのだひでお	1997	gakken	6
anata-ni-mo-angel	アナタにもAngel	石原浩平	1997	mediax	2
condor-king	コンドル・キング	武内つなよし	1997	pan-rolling	6
hamster-club	ハムスター倶楽部	めで鯛	1997	mediafactory	5
manga-houritsu-no-nukeana	マンガ法律の抜け穴	飯野たから	1997	(unknown)	4
seikimatsu-leader-den-takeshi	世紀末リーダー伝たけし!	島袋光年	1997	shueisha	36
jinjuu-houretsuden	仁獣芳烈伝	森本秀	1997	tousuisha	13
ganso-doku-typhoon	元祖Dr.タイフーン	かざま鋭二・かざま鋭二＆堀井ひろし	1997	futabasha	11
meitantei-conan-2005	名探偵コナン特別編	阿部ゆたか・丸伝次郎	1997	shogakukan	38
komatta-toki-niwa-hoshi-ni-kike	困った時には星に聞け!	あべ美幸	1997	tousuisha	41
houshin-kenbunroku	封神見聞録	高橋果甫	1997	(unknown)	8
