season	anime_title	kind	detail
1997-FALL	VIRUS ‐VIRUS BUSTER SERGE‐	NO_PAGE	NO_PAGE:196668 ウイルス -ウイルスバスター・サージ-
1996-FALL	セイバーマリオネットJ	NO_PAGE	NO_PAGE:30506 セイバーマリオネットＪ
1994-SPRING	カラオケ戦士 マイク次郎	NO_PAGE	NO_PAGE:140268 カラオケ戦士マイク次郎
1993-WINTER	無責任艦長タイラー	NO_CAND	
1988-SPRING	キテレツ大百科	NO_PAGE	NO_PAGE:69589 キテレツ大百科
1987-FALL	のらくろクン	NO_PAGE	NO_PAGE:57251 のらくろ漫画集
1984-SPRING	チックン タックン	NO_PAGE	NO_PAGE:113048 チックンタックン
1982-WINTER	フクちゃん (1982)	NO_PAGE	NO_PAGE:151105 フクちゃん
1982-FALL	超時空要塞マクロス	NO_CAND	
1979-FALL	闘士ゴーディアン	NO_PAGE	NO_PAGE:213688 闘士ゴーディアン
1978-SPRING	魔女っ子チックル	NO_PAGE	NO_PAGE:136077 魔女っ子チックル
1977-SUMMER	超電磁マシーン ボルテスV	NO_PAGE	NO_PAGE:136399 超電磁マシーン ボルテスV / NO_PAGE:193860 超電磁マシーン ボルテスV
1976-SPRING	ポールのミラクル大作戦	NO_PAGE	NO_PAGE:209084 ポールのミラクル大作戦
1976-FALL	リトル・ルルとちっちゃい仲間	NO_PAGE	NO_PAGE:190236 リトル・ルルとちっちゃい仲間
1976-FALL	マグネロボ・ガ・キーン	NO_PAGE	NO_PAGE:193852 マグネロボ ガ・キーン
1975-SUMMER	宇宙の騎士テッカマン	NO_PAGE	NO_PAGE:209083 宇宙の騎士テッカマン
1971-SPRING	さすらいの太陽	NO_PAGE	NO_PAGE:108317 さすらいの太陽
1971-FALL	アパッチ野球軍	NO_PAGE	NO_PAGE:138906 アパッチ野球軍
1970-SPRING	昆虫物語みなしごハッチ	NO_PAGE	NO_PAGE:209354 昆虫物語みなしごハッチ
1970-FALL	のらくろ	NO_PAGE	NO_PAGE:57251 のらくろ漫画集
1967-SUMMER	ピュンピュン丸	NO_PAGE	NO_PAGE:170757 忍者あわて丸
1963-FALL	仙人部落	NO_PAGE	NO_PAGE:109840 仙人部落
