slug	title	authors	year	publisher	total_volumes
ee-no-gekijou	Aの劇場	中村明日美子	2012	(unknown)	1
genga-otomo-katsuhiro-original-pictures	GENGA OTOMO KATSUHIRO ORIGINAL PICTURES	大友克洋	2012	(unknown)	1
tabun-tantei-purikoro-no-fushin	May探偵プリコロの不信	魔夜峰央	2012	(unknown)	1
minna-atsumare-falcom-gakuen	みんな集まれ!ファルコム学園	新久保だいすけ	2012	(unknown)	6
reeve-monogatari	レーヴェ物語	楽時たらひ	2012	(unknown)	3
bii-no-gekijou	Bの劇場	中村明日美子	2013	(unknown)	1
rockomanga	ROCKOMANGA!	喜国雅彦	2013	(unknown)	2
obake-apaato	おばけアパート	山野一	2013	(unknown)	1
yorinuki-hina-chan-no-nichijou	よりぬきひなちゃんの日常	南ひろこ	2013	(unknown)	1
onnanoko-no-atama-no-naka-wa-okashi-ga-ippai-tsumatte-imasu	女の子の頭の中はお菓子がいっぱい詰まっています	駕籠真太郎	2013	(unknown)	1
violinist-of-hameln-shchelkunchik	続ハーメルンのバイオリン弾き	渡辺道明	2013	(unknown)	22
100-manengoe-no-koukyuu-tokei-o-kau-otoko-tte-baka-nano	100万円超えの高級時計を買う男ってバカなの?	マキヒロチ	2014	(unknown)	2
king-abyss	キングアビス	なかむらたかし	2014	(unknown)	2
amakakeru-doushin	天翔ける童心	矢口高雄	2014	(unknown)	1
panna-cotta	PANNA COTTA	駕籠真太郎	2015	(unknown)	1
shugaaroofu-no-tatakai	シュガーローフの戦い	新里堅進	2015	(unknown)	3
magical-dream-kirapichi-5	マジカル★ドリームキラピチ5	水沢めぐみ	2015	(unknown)	4
jintai-meikyuu-o-chousa-seyo	人体迷宮を調査せよ!	きむらひろき	2015	(unknown)	1
otto-ikumenka-keikaku-funtou-nikki	夫イクメン化計画奮闘日記	関根尚	2015	(unknown)	1
uchuu-no-naka-ni-aru	宇宙の中にある	かみひと	2015	(unknown)	3
tokumei-kakarichou-tadano-hitoshi-final	特命係長只野仁ファイナル	柳沢きみお	2015	(unknown)	4
sanada-yukimura-2015	真田幸村	山田圭子	2015	(unknown)	1
eiyuu-densetsu-sen-no-kiseki	英雄伝説閃の軌跡	さがら梨々	2015	(unknown)	6
