type	subtype	severity	slug	title	status	year_started	year_ended	publisher_key	n_vols	n_eds	detail	evidence
YE_EARLY	solo_reprint	20	uchuu-keibitai	宇宙警備隊	completed	1991	1991	shogakukan-creative	1	1	year_ended=1991 < 最大巻#1の初版年=2011 (20年後に新刊)	#1=2011-12-20 :: [standard]通常版/小学館クリエイティブ 2011-2011 n=1
YE_EARLY	solo_reprint	20	yatsuhakamura	八つ墓村	completed	1976	1976	kodansha	1	1	year_ended=1976 < 最大巻#1の初版年=1996 (20年後に新刊)	#1=1996-09-01 :: [standard]講談社漫画文庫/コミックス 1996-1996 n=1
YE_EARLY	solo_reprint	19	anta-ga-waruitsu	あんたが悪いっ	completed	1983	1983	jitsugyo-no-nihon	1	1	year_ended=1983 < 最大巻#1の初版年=2002 (19年後に新刊)	#1=2002-12-01 :: [standard]マンサンコミックス/実業之日本社 2002-2002 n=1
YE_EARLY	solo_reprint	19	chijou-saikyou-no-otoko-ryuu	地上最強の男・竜	completed	1977	1977	kadokawa	1	1	year_ended=1977 < 最大巻#1の初版年=1996 (19年後に新刊)	#1=1996-08-01 :: [standard]サンコミックス/角川書店 1996-1996 n=1
YE_EARLY	solo_reprint	19	kimagure-gokuu	きまぐれ悟空	completed	1977	1977	asahi-sonorama	1	1	year_ended=1977 < 最大巻#1の初版年=1996 (19年後に新刊)	#1=1996-02-01 :: [standard]サンコミックス/扶桑社 1996-1996 n=1
YE_EARLY	solo_reprint	19	natsu-eno-tobira	夏への扉	completed	1981	1981	kodansha	1	1	year_ended=1981 < 最大巻#1の初版年=2000 (19年後に新刊)	#1=2000-02-10 :: [standard]花とゆめCOMICS/講談社 2000-2000 n=1
YE_EARLY	solo_reprint	19	tetsu-no-samuson	鉄のサムソン	completed	1991	1991	shogakukan-creative	1	1	year_ended=1991 < 最大巻#1の初版年=2010 (19年後に新刊)	#1=2010-05-01 :: [standard]横山光輝名作集/小学館クリエイティブ 2010-2010 n=1
YE_EARLY	solo_reprint	19	yuuhi-yo-nobore	夕陽よ昇れ!!	completed	1980	1980	shogakukan	1	1	year_ended=1980 < 最大巻#1の初版年=1999 (19年後に新刊)	#1=1999-02-01 :: [standard]フラワーコミックス/小学館 1999-1999 n=1
YE_EARLY	solo_reprint	18	chikyu-number-v-7	地球ナンバーV-7	completed	1984	1984	kodansha	1	1	year_ended=1984 < 最大巻#1の初版年=2002 (18年後に新刊)	#1=2002-12-01 :: [standard]Star comics/講談社 2002-2002 n=1
YE_EARLY	solo_reprint	18	ganso-onsen-gappa-donba	元祖温泉ガッパドンバ	completed	1991	1991	bukkingu	1	1	year_ended=1991 < 最大巻#1の初版年=2009 (18年後に新刊)	#1=2009-09-01 :: [standard]講談社コミックスボンボン/ブッキング 2009-2009 n=1
YE_EARLY	solo_reprint	18	henjin-club	変人クラブ	completed	1977	1977	shueisha	1	1	year_ended=1977 < 最大巻#1の初版年=1995 (18年後に新刊)	#1=1995-11-02 :: [standard]マーガレット・コミックス/集英社 1995-1995 n=1
YE_EARLY	solo_reprint	18	kakutou-family	格闘ファミリー	completed	1980	1980	magazine-house	1	1	year_ended=1980 < 最大巻#1の初版年=1998 (18年後に新刊)	#1=1998-10-01 :: [standard]吾妻ひでお作品集/マガジンハウス 1998-1998 n=1
YE_EARLY	serial_1ed	18	kissxxxx	Kissxxxx	completed	2009	1991	shueisha	3	1	year_ended=1991 < 最大巻#3の初版年=2009 (18年後に新刊)	#3=2009-03-01 :: [bunkobon]集英社文庫/集英社 2009-2009 n=3
YE_EARLY	solo_reprint	18	koushi-ankoku-den	孔子暗黒伝	completed	1978	1978	shueisha	1	1	year_ended=1978 < 最大巻#1の初版年=1996 (18年後に新刊)	#1=1996-11-15 :: [standard]JUMP SUPER COMICS/集英社 1996-1996 n=1
YE_EARLY	solo_reprint	18	mechiru-metafijiiku	メチル・メタフィジーク	completed	1980	1980	magazine-house	1	1	year_ended=1980 < 最大巻#1の初版年=1998 (18年後に新刊)	#1=1998-08-01 :: [standard]吾妻ひでお作品集/マガジンハウス 1998-1998 n=1
YE_EARLY	solo_reprint	18	senpuu-z	旋風Z	completed	1960	1960	kokushokankoukai	2	2	year_ended=1960 < 最大巻#1の初版年=1978 (18年後に新刊)	#1=1978-11-20 :: [bunkobon]手塚治虫文庫全集/講談社 2011-2011 n=1 | [standard]手塚治虫漫画全集/講談社 1978-1978 n=1
YE_EARLY	solo_reprint	18	wadachi	ワダチ	completed	1975	1975	shogakukan	1	1	year_ended=1975 < 最大巻#1の初版年=1993 (18年後に新刊)	#1=1993-10-01 :: [standard]講談社コミックス/小学館 1993-1993 n=1
YE_EARLY	solo_reprint	17	denkou-shounen-supaaku-dan	電光少年スパーク・ダン	completed	1991	1991	pan-rolling	1	1	year_ended=1991 < 最大巻#1の初版年=2008 (17年後に新刊)	#1=2008-08-01 :: [standard]通常版/パンローリング 2008-2008 n=1
YE_EARLY	serial_1ed	17	shadow-shoukai-henkirou	シャドウ商会変奇郎	completed	1994	1977	akita	3	1	year_ended=1977 < 最大巻#3の初版年=1994 (17年後に新刊)	#3=1994-11-30 :: [bunkobon]秋田文庫/秋田書店 1994-1994 n=3
