slug	title_id	カテゴリ	商品題
kimi-ni-koi-o-suru-nante-arienai-hazu-datta	662670	小説・文芸/小説	国内小説	君に恋をするなんて、ありえないはずだった
kimi-no-na-wa-another-side-earthbound	388906	ライトノベル/男性向けライトノベル	君の名は。　Another Side:Earthbound
kirawaremono-no-ore-wa-yarinaoshi-no-sekai-de-gitei-tachi-ni-goma-o-suru	1168329	BL/BL小説	嫌われ者の俺はやり直しの世界で義弟達にごまをする
kochira-shuumatsu-teitai-iinkai	20091840	ライトノベル/男性向けライトノベル	こちら、終末停滞委員会。
kohakuiro-no-kishi-wa-seijo-no-hidarite-ni-ai-o-chikau	20114405	小説・文芸/小説	国内小説	琥珀色の騎士は聖女の左手に愛を誓う
kokugai-tsuihousareta-sareta-joou-wa-tekikoku-no-koori-no-ou-ni-dekiai-dekiaisareru	20075106	小説・文芸/小説	国内小説	国外追放された王女は、敵国の氷の王に溺愛される
kokuhoukyuu-reisoku-no-kyuukon	1585841	ライトノベル/女性向けライトノベル	国宝級令息の求婚【電子版特典付】
konyaku-haki-sareta-gakeppuchi-reijou-wa-teikoku-no-koutei-denka-to-musubareru	1118618	ライトノベル/女性向けライトノベル	婚約破棄された崖っぷち令嬢は、帝国の皇弟殿下と結ばれる 1
koori-no-reijou-no-tokashikata	20027624	ライトノベル/男性向けライトノベル	氷の令嬢の溶かし方 ： 1
kore-wa-keihi-de-ochimasen	385226	小説・文芸/小説	国内小説	これは経費で落ちません！　～経理部の森若さん～
kou2-2-time-leap-shita-ore-ga-touji-sukidatta-sensei-ni-kokutta-kekka	491072	ライトノベル/男性向けライトノベル	高２にタイムリープした俺が、当時好きだった先生に告った結果
koukyuu-no-hanamusubi-shi	20065852	ライトノベル/女性向けライトノベル	後宮の花結師
koukyuu-shakuhi-den	20045600	ライトノベル/女性向けライトノベル	後宮灼姫伝　～妹の身代わりをしていたら、いつの間にか皇帝や将軍に寵愛されています～
koushaku-sama-akusai-no-watashi-wa-mou-houtte-oite-kudasai	20122994	TL/TL小説	公爵様、悪妻の私はもう放っておいてください
kuma-kuma-kuma-bear	316095	ライトノベル/男性向けライトノベル	くま　クマ　熊　ベアー
kurasugoto-shuudan-teni-shimashita-ga-ichiban-tsuyoi-ore-wa-saijaku-no-shounin-ni-gisouchuu-desu	530141	ライトノベル/男性向けライトノベル	クラスごと集団転移しましたが、一番強い俺は最弱の商人に偽装中です。 ： 1
kuzuless-oblige	20071098	ライトノベル/男性向けライトノベル	クズレス・オブリージュ　18禁ゲー世界のクズ悪役に転生してしまった俺は、原作知識の力でどうしてもモブ人生をつかみ取りたい【電子特別版】
kyoto-teramachi-sanjou-no-holmes	368398	小説・文芸/小説	国内小説	京都寺町三条のホームズ ： 1
kyoto-umezaki-ayame-no-totsugisaki	1353661	小説・文芸/小説	国内小説	京都 梅咲菖蒲の嫁ぎ先
kyounen-82-sai-no-isekai-tensei	20098544	ライトノベル/女性向けライトノベル	享年82歳の異世界転生!?～ハズレ属性でも気にしない、スキルだけで無双します～【電子版限定書き下ろしSS付】
late-no-yuruui-tensei-seikatsu	20087349	ライトノベル/男性向けライトノベル	レイトのゆるーい転生生活
lemon-umumon	394306	小説・文芸/エッセイ・紀行	エッセイ	れもん、うむもん！――そして、ママになる――
level-reset	958569	ライトノベル/男性向けライトノベル	レベルリセット ～ゴミスキルだと勘違いしたけれど実はとんでもないチートスキルだった～
lost-universe-yoshinaka1998	145261	ライトノベル/男性向けライトノベル	ロスト・ユニバース－1　幻夢 目覚める
mameneko	311385	小説・文芸/エッセイ・紀行	エッセイ	まめねこ　あずきとだいず
manga-afurika-shounen-ga-nippon-de-sodatta-kekka	542973	小説・文芸/エッセイ・紀行	エッセイ	まんが　アフリカ少年が日本で育った結果
mangaka-shinagara-tsuaa-nurse-shite-imasu	645543	小説・文芸/エッセイ・紀行	エッセイ	漫画家しながらツアーナースしています。　１
maou-gakuin-no-futekigousha	511796	ライトノベル/男性向けライトノベル	魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～
maou-reijou-no-shikkousha	20065656	ライトノベル/男性向けライトノベル	魔王令嬢の執行者　～魔王国に追放された無能勇者、隠された天与スキルで無双する～
maoujou-no-nisemono-hime	1532864	ライトノベル/女性向けライトノベル	魔王城のニセモノ姫　～主人の身代わりに嫁いだ給仕係が処刑回避を目指して必死になったら魔王様に勘違いされて溺愛される件～
maryoku-cheat-na-majo-ni-narimashita	690276	ライトノベル/男性向けライトノベル	魔力チートな魔女になりました～創造魔法で気ままな異世界生活～ 1
me-ga-samemashita-ubawareta-konyakusha-wa-kippari-to-sutemashita	1850897	ライトノベル/女性向けライトノベル	目が覚めました　～奪われた婚約者はきっぱりと捨てました～
meikyuu-kyousoukyoku	1367556	ライトノベル/男性向けライトノベル	迷宮狂走曲 1　～エロゲ世界なのにエロそっちのけでひたすら最強を目指すモブ転生者～
meikyuu-shokudou-maoukutsu-e-youkoso	1106375	ライトノベル/男性向けライトノベル	【電子版限定特典付き】迷宮食堂『魔王窟』へようこそ１　～転生してから300年も寝ていたので、飲食店経営で魔王を目指そうと思います～
meriba-darake-no-otomege-de-oshi-o-shiawase-ni-shiyou-to-shitara-shuuchaku-sarete-kindan-no-kankei	1550589	TL/TL小説	メリバだらけの乙女ゲーで推しを幸せにしようとしたら、執着されて禁断の関係に堕ちました
metsubou-kokka-no-yarinaoshi-kyou-kara-hajimeru-gunshi-seikatsu	20081966	ライトノベル/男性向けライトノベル	滅亡国家のやり直し 今日から始める軍師生活 1巻
