slug	title	remaining_gaps
kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	(1巻が無い):[1]
comic-image-special	コミックイマージュ・スペシャル	(1巻が無い):[1]
comic-bii-tarou	コミックビー太郎	(1巻が無い):[1]
zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	(1巻が無い):[1, 2, 3, 4]
batsutsu	バツッ!!	(1巻が無い):[1]
piasu-club	ピアスクラブ	standard:[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 17, 18, 19, 20, 21, 22, 23]
yume-ha-taafu-o-kakemeguru	夢はターフを駆けめぐる	(1巻が無い):[1]
shousetsu-fajji	小説FUDGE	standard:[6, 7, 9, 10]
dotou-no-saikyou-suit-suima-kun	怒涛の最強戦士睡魔くん	(1巻が無い):[1]
optional-tour	オプショナル・ツアー	(1巻が無い):[1]
megami	女神	standard:[2, 4]
gensou-tairiku	幻想大陸	standard:[3, 4, 5]
ai-1995	愛	(1巻が無い):[1]
mobile-suit-gundam-moon-crisis	機動戦士ガンダムムーンライトクライシス	standard:[2]
kinpeibai-watanabe-1995	金瓶梅	standard:[4, 9, 10, 11]
koukoukyoushimonogatari	高校教師物語	(1巻が無い):[1]
makai-densetsu	魔界伝説	(1巻が無い):[1]
comic-cue	Comic cue	(1巻が無い):[1]
double-call	Double call	standard:[2, 3]
holy-maruo-1996	Holy	(1巻が無い):[1]
perfect-angel-lip	Perfectエンジェルリップ	standard:[3]
premium	Premium	(1巻が無い):[1, 2]
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	standard:[2, 4]
evangelion-anthology-comic	エヴァンゲリオン・アンソロジィコミック	(1巻が無い):[1]
saurus-no-mini-yonku-super-tekunikku	ザウルスのミニ四駆スーパーテクニック	(1巻が無い):[1]
choco-banana	チョコバナナ	(1巻が無い):[1, 2]
premier	プレミア	standard:[3, 4]
noroi-no-shoutaijou	呪いの招待状	standard:[4, 5, 6, 7, 8]
shitsurakuen-1996	失楽園	standard:[3, 4]
oku-sama-hi-no-youjin	奥様火の用心!	(1巻が無い):[1]
miboujin-wa-ogenkijirushi	未亡人はお元気印	(1巻が無い):[1]
nekokko-club	猫っこ倶楽部	(1巻が無い):[1]
12-no-kekkon-monogatari	12の結婚物語	(1巻が無い):[1]
l-gion	LÉGION	(1巻が無い):[1, 2]
pet-boy-s	Pet-boy's	(1巻が無い):[1]
kaishain-no-merodii	かいしゃいんのメロディー	standard:[3, 4]
hajime-ningen-gon	はじめ人間ゴン	standard:[6]
manga-houritsu-no-nukeana	マンガ法律の抜け穴	standard:[4, 9, 10, 11]
jinjuu-houretsuden	仁獣芳烈伝	standard:[11]
houshin-kenbunroku	封神見聞録	(1巻が無い):[1]
keishichou-0-ka-no-onna	警視庁0課の女	(1巻が無い):[1, 2, 3, 4, 5]
chuchu-hunter	Chu❤chuハンター	(1巻が無い):[1]
crash-junky-spirit	Crash junky × spirit	(1巻が無い):[1]
generous-kiss	GENEROUS KISS	standard:[3, 5]
kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	standard:[3, 4, 5]
saakitto-no-ookami-2	サーキットの狼Ⅱ	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
papa-no-kokoro	パパのココロ	(1巻が無い):[1]
bolt-and-nut	ボルト＆ナット	standard:[2, 3]
la-vie-en-rose-1998	ラヴィアンローズ	(1巻が無い):[1]
kandouou-rendetsu	感動王列伝	(1巻が無い):[1]
gokuraku-houshinden	極楽封神伝	(1巻が無い):[1, 2]
inukko-club	犬っこ倶楽部	(1巻が無い):[1, 2, 3, 4, 5]
shiro-no-fiorenteiina	白のフィオレンティーナ	bunkobon:[3, 4, 5, 6, 7, 8]
zettai-reido	絶対麗奴	(1巻が無い):[1]
nanoda-tensai-bakabon-no-oyaji	なのだ!?天才バカボンのおやじ	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8]
megurikuruharu	めぐりくるはる	(1巻が無い):[1]
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	(1巻が無い):[1, 2]
hyper-restaurant	ハイパーレストラン	(1巻が無い):[1, 2]
hamster-no-kyuukyuubako	ハムスターの救急箱	(1巻が無い):[1]
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	standard:[2, 4, 5, 6]
kaikyaku-sengen	海客宣言	(1巻が無い):[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
zoku-kanaike-no-hitobito	続 金井家の人々	(1巻が無い):[1]
81-bunch-no-inu	81番地の犬	shinsoban:[3, 4, 5]
etchi-ni-kisu-shite	Hにキスして!	standard:[4]
skip-kiss	SKIP-KISS	(1巻が無い):[1]
manga-zankoku-nippon-banashi-inagaki	まんが残酷日本むかしばなし	(1巻が無い):[1, 2]
kamunagara	カムナガラ	standard:[5, 6]
star-ocean-second-story	スターオーシャン セカンドストーリー	standard:[2, 3]
star-ocean-sekando-story	スターオーシャン セカンドストーリー	(1巻が無い):[1, 2, 3, 4]
supooshon-kid	スポーションKID	(1巻が無い):[1]
football-taka-amerikan-football-comics	フットボール鷹―American football comics	(1巻が無い):[1, 2, 3]
buya-jitsuroku-andou-gumi	ブヤ 実録・安藤組	(1巻が無い):[1, 2]
osaka-geijutsu-daigaku-kanan-bungei-manga-hen	大阪芸術大学河南文藝 漫画篇	(1巻が無い):[1, 2, 3, 4]
