series_key	title	class	subtitle	vols	first_date	last_date	imprints	authors	isbn	既存頁slug	類似頁	材料	著者既掲載
name:夜木新|name:龍玄の方術士	龍玄の方術士	未掲載		2	2025-09-10	2026-03-18	MANGAバルCOMICS	彭傑 / 夜木新 / 義眞堂	9784048116381			紹介文+書影	済
name:葵はづき|name:華燭演舞シュシュ	華燭演舞シュシュ	未掲載		2	2025-03-03	2026-03-18	あすかコミックスDX	葵はづき	9784041159460			紹介文+書影	済
name:上地優歩|name:神仙桃娘宮廷の贄	神仙桃娘宮廷の贄	未掲載		2	2025-05-07	2026-03-18	あすかコミックスDX	上地優歩	9784041159446			紹介文+書影	済
name:いずも甘茶|name:生贄乙女の婚礼	生贄乙女の婚礼	未掲載		2	2025-06-04	2026-03-18	フロースコミック	唐澤和希 / いずも甘茶	9784046847430			紹介文+書影	済
name:千代多みく郎|name:極めて傲慢たる悪役貴族の所業	極めて傲慢たる悪役貴族の所業	未掲載		2	2025-04-09	2026-03-18	MFC	黒雪ゆきは	9784046851338			紹介文+書影	
name:でんでらりゅうば|name:捨てられた冤罪令息、麗しき奔放皇女に拾われる。	捨てられた冤罪令息、麗しき奔放皇女に拾われる。	未掲載		2	2025-09-27	2026-03-18	モーニングKC	でんでらりゅうば	9784065406212			紹介文+書影	
name:山夜みい|name:悪役聖女のやり直し	悪役聖女のやり直し	未掲載		2	2025-05-16	2026-03-18	KCx	比良純香 / 山夜みい	9784065387481			紹介文+書影	済
name:綾瀬|name:悪役令嬢なので、溺愛なんていりません!	悪役令嬢なので、溺愛なんていりません!	未掲載		2	2025-09-27	2026-03-18	KCx	綾瀬 / 美依	9784065407813			紹介文+書影	済
name:水山めろ|name:恋色の境界	恋色の境界	未掲載		2	2025-10-01	2026-03-18	Dengeki Comics EX	水山めろ	9784049167542			紹介文+書影	
name:TAKApub. 2025|name:女キャラで異世界転移してチートっぽいけど雑魚キャラなので目立たず平和な庶民を目指します!	女キャラで異世界転移してチートっぽいけど雑魚キャラなので目立たず平和な庶民を目指します!	未掲載		2	2025-05-30	2026-03-18	Bamboo comics. 異世界BC	TAKApub. 2025	9784801986398			紹介文+書影	
name:車王|name:人妻メデュサさんとのNTR生活	人妻メデュサさんとのNTR生活	未掲載		2	2025-01-10	2026-03-18	Bamboo comics / Bamboo comics. 異世界BC	車王	9784801985179			紹介文+書影	済
name:こおりあめ|name:レディローズは平民になりたい悪役令嬢リリアナの場合	レディローズは平民になりたい悪役令嬢リリアナの場合	未掲載		2	2025-03-03	2026-03-18	フロースコミック	こおりあめ / 木与瀬ゆら	9784046833570		lady-rose-wa-heimin-ni-naritai	未取得	済
name:うし|name:ダンジョンで成り上がれ!	ダンジョンで成り上がれ!	未掲載		2	2025-02-28	2026-03-18	Bamboo comics / Bamboo comics. 異世界BC	山珠彩貴 / うし	9784801985834			紹介文+書影	済
name:ユービーアイソフト株式会社|name:アサシンクリードシャドウズ伊賀の物語	アサシンクリードシャドウズ伊賀の物語	未掲載		2	2025-08-15	2026-03-18	ヤンマガKC	DabbAndrew / 武桐千	9784065389959			紹介文+書影	
name:7zu7|name:ぶいある!	ぶいある!	未掲載		2	2025-05-07	2026-03-18	MFC	7zu7	9784046847409			紹介文+書影	済
name:司馬漬け|name:ふたり暮らしのおとりよせ日和	ふたり暮らしのおとりよせ日和	未掲載		2	2024-12-03	2026-03-18	角川コミックス・エース	柚子桃 / 司馬漬け	9784041157022			紹介文+書影	
name:来須眠|name:おっさん異世界で最強になる	おっさん異世界で最強になる	未掲載		2	2025-11-22	2026-03-18	MFC	来須眠 / 次佐駆人	9784046850195			紹介文+書影	済
name:星掛そら|name:騎士団の金庫番	騎士団の金庫番	未掲載		2	2025-03-12	2026-03-11	フロースコミック	そろそろ谷川 / 星掛そら	9784046820730			紹介文+書影	
