分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
RECOLLECT	ijiiji-mojimoji	イジイジ×モジモジ	遊知やよみ	1	1	福家堂本舗(18巻) / 雲雀町1丁目の事情(13巻)	9784086191128	イジイジ×モジモジ	遊知やよみ読切り傑作選	集英社文庫	5
RECOLLECT	ikuemi-ryou-za-best	いくえみ綾the best	いくえみ綾	2	2	潔く柔く(20巻) / バラ色の明日(16巻)	9784088650739	いくえみ綾the　best（1）	Premium！長編セレクション	クイーンズコミックス	48
RECOLLECT	ikuemi-ryou-za-best	いくえみ綾the best	いくえみ綾	2	2	潔く柔く(20巻) / バラ色の明日(16巻)	9784088652276	いくえみ綾the　best（2）	Fantastic長編セレクション	クイーンズコミックス	48
RECOLLECT	inochi-no-wake	いのちの理由	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784812482094	手塚治虫からのメッセージいのちの理由	手塚治虫傑作選	バンブーコミックス	330
VERSION_MIX	itadakimasu-uekan-2015	いただきます	くりた陸	3	1		9784253159906	いただきます〜給食のおじさん・三五十一〜	くりた陸傑作集　4	秋田レディースコミックスDX	34
RECOLLECT	itteru-kamone	イってるかもね!?	今井康絵	1	1	シンデレラコレクション(6巻) / はじけてB.B.(5巻)	9784091361929	イってるかもね！？	今井康絵傑作集 2	フラワーコミックス	26
RECOLLECT	izayoi	十六夜	名香智子	1	1	PARTNER(33巻) / マダム・ジョーカー(30巻)	9784575724837	十六夜	ミステリ-名作選集２	双葉文庫	67
RECOLLECT	jinmen-sou	人面草	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784257960386	人面草	水木しげる短編傑作集「恐怖編」	Sun　wide　comics	197
RECOLLECT	jinrui-metsubougo-no-sekai-choujin-taikei	人類滅亡後の世界 鳥人大系	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779628986	手塚治虫が描いた人類滅亡後の世界鳥人大系	手塚治虫セレクション	サンエイムック	330
RECOLLECT	jooji-akiyama-world	ジョージ秋山world	ジョージ秋山	1	1	浮浪雲(120巻) / 恋子の毎日(32巻)	9784777110339	ジョージ秋山world	タブーを畏れぬ愛と自由の漫画家・傑作選！		37
RECOLLECT	junai-tenshi	JUN-AI天使	すぎ恵美子	1	1	♂と♀の方程式(15巻) / げっちゅー(13巻)	9784091320957	JUN-AI（じゅんあい）天使	すぎ恵美子傑作集 5	フラワーコミックス	35
RECOLLECT	juudai-no-seiten	十代の性典	山田参助	1	1	あれよ星屑(7巻)	9784778322748	十代の性典	山田参助青春傑作選		5
RECOLLECT	kaa-chan-ha-itsudatte-soko-ni-ita	母ちゃんは、いつだってそこにいた。	赤塚不二夫	1	1	おそ松くん(63巻) / 天才バカボン(52巻)	9784866215297	母ちゃんは、いつだってそこにいた。	赤塚不二夫が描いたママたちの名作集		177
RECOLLECT	kageo	影男	佐藤まさあき	3	3	堕靡泥の星(19巻) / 新・堕靡泥の星(10巻)	9784944154302	影男　1	貸本劇画傑作選　1		8
RECOLLECT	kageo	影男	佐藤まさあき	3	3	堕靡泥の星(19巻) / 新・堕靡泥の星(10巻)	9784944154319	影男　2	貸本劇画傑作選　2		8
RECOLLECT	kageo	影男	佐藤まさあき	3	3	堕靡泥の星(19巻) / 新・堕靡泥の星(10巻)	9784944154326	影男　3	貸本劇画傑作選　3		8
RECOLLECT	kaii-tan	怪異譚	高港基資	1	1	恐之本(10巻)	9784785938802	怪異譚（魑之巻）	夏季限定高港基輔ホラー作品総集編	ＹＫベスト	10
RECOLLECT	kaiki-shininchou	怪奇死人帳	水木しげる	1	1	水木しげる漫画大全集(103巻) / ゲゲゲの鬼太郎(41巻)	9784257960263	怪奇死人帳	水木しげる短編傑作集「怪異編」	Sun　wide　comics	197
RECOLLECT	kaisei-gaigaa	怪星ガイガー・八百八狸	杉浦茂	1	1	杉浦茂マンガ館(5巻) / 杉浦茂オンデマンド選集(5巻)	9784883792283	怪星ガイガ-／八百八狸	杉浦茂傑作選集		18
RECOLLECT	kaitou-shinshi-no-satsujin	怪盗紳士の殺人	さとうふみや・天樹征丸	1	1	金田一少年の事件簿(61巻) / 金田一少年の事件簿(61巻)	9784063343410	怪盗紳士の殺人	「金田一少年の事件簿」ベストセレクション	KCデラックス	21
RECOLLECT	kandoutensaitachi-no-kiseki	感動!天才たちの奇跡	手塚治虫	1	1	ブラック・ジャック(76巻) / 鉄腕アトム(67巻)	9784779626852	感動！天才たちの奇跡	手塚治虫セレクション	サンエイムック	330
RECOLLECT	kangaeru-samurai-yaa	考える侍・やぁ!	山田芳裕	1	1	へうげもの(37巻) / デカスロン(36巻)	9784091933225	考える侍・やぁ！	山田芳裕傑作集 2	コミック文庫（青年）	10
REVIEW	kanra-karabee	カンラ・カラ兵衛	原一司	1	1		9784944017683	カンラ・カラ兵衛	『漫画少年』傑作選		0
VERSION_MIX	kasei-no-hatsu-chan	火星の八ちゃん	前谷惟光	4	3		9784775913437	火星の八ちゃん（上）	前谷惟光傑作集２３	マンガショップシリ-ズ	14
VERSION_MIX	kasei-no-hatsu-chan	火星の八ちゃん	前谷惟光	4	3		9784775913444	火星の八ちゃん（中）	前谷惟光傑作集２３	マンガショップシリ-ズ	14
VERSION_MIX	kasei-no-hatsu-chan	火星の八ちゃん	前谷惟光	4	3		9784775913451	火星の八ちゃん（下）	前谷惟光傑作集２３	マンガショップシリ-ズ	14
RECOLLECT	katabira-no-mai	帷子の舞	河村恵利	1	1	明日香の王女(9巻)	9784253195430	帷子の舞ー信長の時代ー	時代ロマン・セレクション　3	プリンセス・コミックスα／時代ロマン・セレクション	38
RECOLLECT	keikoku-takahashi-1991	警告	高橋美由紀	1	1	悪魔の黙示録(49巻) / 9番目のムサシ(31巻)	9784063132304	警告ー悪魔の復活	高橋美由紀ミステリーファンタジーセレクション	KCデラックス	22
RECOLLECT	kenzan	剣山	平田弘史	1	1	黒田・三十六計(8巻) / 薩摩義士伝(6巻)	9784091877819	剣山	平田弘史傑作集	ビッグコミックススペシャル	28
