title	kana	authors	vols	lacking
異世界迷宮の最深部を目指そう = Aim the Deepest Part of the Different World Labyrinth.	イセカイメイキュウノサイシンブオメザソウ	割内タリサ/左藤圭右	[7]	巻不連続[7];v1書影無(楽天)
異世界もふもふカフェ.	イセカイモフモフカフェ	高岡ゆう/ぷにちゃん	[6]	巻不連続[6];v1書影無(楽天)
いたずらごころ	イタズラゴコロ	えーすけ	[1]	v1書影無(楽天)
一瞬で治療していたのに役立たずと追放された天才治癒師、闇ヒーラーとして楽しく生きる : コミック.	イッシュンデチリョウシテイタノニヤクタタズトツイホウサレタテンサイチユシヤミヒー	十乃壱天/菱川さかく	[4]	巻不連続[4];v1書影無(楽天)
一緒に剣の修行をした幼馴染が奴隷になっていたので、Sランク冒険者の僕は彼女を買って守ることにした.	イッショニケンノシュギョウオシタオサナナジミガドレイニナッテイタノデエスランクボ	笹塔五郎/湊良弘	[3]	巻不連続[3];v1書影無(楽天)
イツやめ : イッても、イッても...止めないよ?この男、猛獣。.	イツヤメ:イッテモイッテモヤメナイヨコノオトコモウジュウ	こしあん	[5]	巻不連続[5];v1書影無(楽天)
偽りの巫女は帝王の手に堕ちる : エロティクス・エンペラー.	イツワリノミコワテイオウノテニオチル:エロティクスエンペラー	乙黒ゆう/水戸泉	[2]	巻不連続[2];v1書影無(楽天)
田舎のホームセンター男の自由な異世界生活.	イナカノホームセンターオトコノジユウナイセカイセイカツ	うさぴょん/古来歩	[13]	巻不連続[13];v1書影無(楽天)
犬神は祈らない.	イヌガミワイノラナイ	白石純	[3]	巻不連続[3];v1書影無(楽天)
イノセントにくちづけ .	イノセントニクチズケ	さきしたせんむ	[2]	巻不連続[2];v1書影無(楽天)
イマドキのサバサバ冒険者.	イマドキノサバサバボウケンシャ	清水俊/埴輪庭	[2]	巻不連続[2];v1書影無(楽天)
イメ★プレ : 悩める官能小説家と濡れ場実演	イメプレ:ナヤメルカンノウショウセツカトヌレバジツエン	nぽぽ	[1]	題不一致(NDL/楽天):イメ★プレ 〜悩める官能小説
妹はカノジョにできないのに.	イモウトワカノジョニデキナイノニ	鏡遊/ちくわ。	[3]	巻不連続[3];v1書影無(楽天)
人外姫様、始めました : Free Life Fantasy Online.	イモータルプリンセスハジメマシタ:フリーライフファンタジーオンライン	園原アオ/子日あきすず	[13]	巻不連続[13];v1書影無(楽天)
芋くさ令嬢ですが悪役令息を助けたら気に入られました.	イモクサレイジョウデスガアクヤクレイソクオタスケタラキニイラレマシタ	桜あげは/七浦なりな	[6]	巻不連続[6];v1書影無(楽天)
イリオス = IΛIOΣ.	イリオス	円城寺真己	[9]	巻不連続[9];v1書影無(楽天)
イレギュラーズ = IRREGULARS.	イレギュラーズ	松本直記	[14]	巻不連続[14];v1書影無(楽天)
引退賢者はのんびり開拓生活をおくりたい.	インタイケンジャワノンビリカイタクセイカツオオクリタイ	鈴木竜一/箸糸シュウスケ	[2]	巻不連続[2];v1書影無(楽天)
淫蕩神楽 : 穢れなき乙女が快楽に沈むまで	イントウカグラ:ケガレナキオトメガカイラクニシズムマデ	BRLL	[1]	v1書影無(楽天)
インフォーマ-INFORMA-.	インフォーマ	沖田臥竜/鯛噛	[2]	巻不連続[2];v1書影無(楽天)
ウィッチウォッチ = WITCHWATCH.	ウィッチウォッチ	篠原健太	[19]	巻不連続[19];v1書影無(楽天)
ウィッチクラフトワークスEXTRA = Witch Craft Works EXTRA.	ウィッチクラフトワークスエクストラ	水薙竜	[3]	巻不連続[3];v1書影無(楽天)
ウェルベルム = verbellum : 言葉の戦争.	ウェルベルム	花林ソラ/伏見航介	[8]	巻不連続[8];v1書影無(楽天)
写らナイんです = The ghost doesn't show up.	ウツラナインデス	コノシマルカ	[2]	巻不連続[2];v1書影無(楽天)
奪う者奪われる者 = Bereave or Bereaved.	ウバウモノウバワレルモノ	mino/オキウミレイ 漫画・キャラクター原案	[2]	巻不連続[2];v1書影無(楽天)
生まれ変わってもよろしく = See You in My 19th Life.	ウマレカワッテモヨロシク	LEEHYE	[2]	巻不連続[2];v1書影無(楽天)
売られた辺境伯令嬢は隣国の王太子に溺愛される.	ウラレタヘンキョウハクレイジョウワリンゴクノオウタイシニデキアイサレル	小椋あん, COMIC ROOM	[9]	巻不連続[9];v1書影無(楽天)
エースくんとヨバンさん : 犬とアヒルの友情物語	エースクントヨバンサン:イヌトアヒルノユウジョウモノガタリ	石川真衣	[1]	題不一致(NDL/楽天):エースくんとヨバンさん 犬と
S級パーティーから追放された狩人、実は世界最強 : 射程9999の男、帝国の狙撃手として無双する.	エスキュウパーティーカラツイホウサレタカリウドジツワセカイサイキョウ:シャテイキ	カズミヤアキラ/茨木野	[2]	巻不連続[2];v1書影無(楽天)
Sランク冒険者である俺の娘たちは重度のファザコンでした.	エスランクボウケンシャデアルオレノムスメタチワジュウドノファザコンデシタ	友橋かめつ/しゅにち	[9]	巻不連続[9];v1書影無(楽天)
エネ夫デスゲーム : 奈落の底の夫婦たち.	エネオデスゲーム:ナラクノソコノフウフタチ	六反りょう/最上蛍	[3]	巻不連続[3];v1書影無(楽天)
エリート外交官の狡猾な求婚 : 仮面夫婦のはずが、予想外の激情で堕とされました.	エリートガイコウカンノコウカツナキュウコン:カメンフウフノハズガヨソウガイノゲキ	汐宮ゆき/伊月ジュイ	[1]	題不一致(NDL/楽天):エリート外交官の狡猾な求婚〜
エリスの聖杯.	エリスノセイハイ	常磐くじら/桃山ひなせ	[11]	巻不連続[11];v1書影無(楽天)
えろいろまん	エロイロマン	エロ井ロエ	[1]	v1書影無(楽天)
厭談夜話.	エンダンヨバナシ	夜馬裕 怪談/外本ケンセイ	[5]	巻不連続[5];v1書影無(楽天)
美味しんぼ : 名品集. たっぷり栄養を蓄えた海のミルク!牡蠣編	オイシンボ:メイヒンシュウ	雁屋哲/花咲アキラ	[1]	題不一致(NDL/楽天):美味しんぼ名品集 たっぷり栄
追い出された万能職に新しい人生が始まりました.	オイダサレタバンノウショクニアタラシイジンセイガハジマリマシタ	東堂大稀/宇崎鷹丸	[9]	巻不連続[9];v1書影無(楽天)
老いぼれ勇者の異世介護.	オイボレユウシャノイセカイゴ	森田和彦	[2]	巻不連続[2];v1書影無(楽天)
王子様に溺愛されて困ってます : 転生ヒロイン、乙女ゲーム奮闘記.	オウジサマニデキアイサレテコマッテマス:テンセイヒロイン、オトメゲームフントウキ	三浦ひらく コミック/月神サキ	[6]	巻不連続[6];v1書影無(楽天)
オーイ!とんぼ.	オーイトンボ	かわさき健/古沢優	[53]	巻不連続[53];v1書影無(楽天)
狼王弟と白のお嫁さん.	オオカミオウテイトシロノオヨメサン	金田正太郎	[2]	巻不連続[2];v1書影無(楽天)
オオカミ陛下の躾け方 : 悪役令嬢は破滅フラグと一夜を共にしてしまったけど、溺愛させます!	オオカミヘイカノシツケカタ:アクヤクレイジョウワハメツフラグトイチヤオトモニシテ	みずき春/枢呂紅	[1]	題不一致(NDL/楽天):オオカミ陛下の躾け方 悪役令
