tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	src	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
REJECT_EDITION	shitsuji-emu	執事M	seed4	0	standard	通常版	IDコミックス	1	LEAD	9784758059299	2014-06-25	rakuten-live	執事M(1)	佐倉牡丹	一迅社	o	x	o	o	o	9784758				3	9784758030304	2015-04	一迅社	1	ISBN連番の外(別レーベル/別年代版の可能性)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9299/9784758059299.jpg
REJECT_EDITION	shitsuji-emu	執事M	seed4	0	standard	通常版	IDコミックス	2	LEAD	9784758059626	2014-10-25	rakuten-live	執事M(2)	佐倉牡丹	一迅社	o	x	o	o	o	9784758				3	9784758030304	2015-04	一迅社	1	ISBN連番の外(別レーベル/別年代版の可能性)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9626/9784758059626.jpg
REJECT_EDITION	umi-no-ouji-2009	海の王子	seed4	0	standard	通常版	藤子・F・不二雄大全集	1	LEAD	9784062850759	2009-02	rakuten-live	海の王子	三田誠広/佐竹美保	講談社	x	o	o	x	x	9784091				2	9784091434210	2010-03-02	小学館	1	版元prefix不一致(既存候補1件も有)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0759/9784062850759.jpg
REJECT_EDITION	x-men-1994-4	エックスメン	seed4	0	standard	通常版	バンブーコミックス	1	LEAD	9784073022503	1995-01	rakuten-live	エックスメン(1)	吉岡跳	アスキー・メディアワークス	x	o	x	x	o	9784884				2	9784884757106	1994-07	竹書房	1	版元prefix不一致	
REJECT_EDITION	zeruda-no-densetsu-4-koma-manga-gekijou	ゼルダの伝説 4コママンガ劇場	seed4	0	standard	通常版	ゲーム4コママンガシリーズ	1	LEAD	9784900527942	1992-06	rakuten-live	ゼルダの伝説4コママンガ劇場		スクウェア・エニックス	x	x	o	?	x	9784870				2	9784870257078	1993-02	エニックス	1	版元prefix不一致	
EXISTS	adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	seed4	0	standard	通常版	BONITA COMICS	1	LEAD	9784253092166	1998-02	ndl	アドニスの憂鬱な日々. 1	高階, 良子	秋田書店						9784253				3	9784253092180	1999-03-20	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	seed4	0	standard	通常版	BONITA COMICS	2	LEAD	9784253092173	1998-08	ndl	アドニスの憂鬱な日々. 2	高階, 良子	秋田書店						9784253				3	9784253092180	1999-03-20	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	bikkuriman-omoshiro-land	ビックリマンおもしろランド	seed4	0	standard	通常版	Movieコミックス	1	LEAD	9784253099295	1988-03-10	rakuten-live	ビックリマンおもしろランド(1)	菅野誠一	秋田書店						9784253				4	9784253099325	1988-06-20	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	bikkuriman-omoshiro-land	ビックリマンおもしろランド	seed4	0	standard	通常版	Movieコミックス	2	LEAD	9784253099301	1988-03-10	rakuten-live	ビックリマンおもしろランド(2)	菅野誠一	秋田書店						9784253				4	9784253099325	1988-06-20	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
EXISTS	bikkuriman-omoshiro-land	ビックリマンおもしろランド	seed4	0	standard	通常版	Movieコミックス	3	LEAD	9784253099318	1988-04-16	rakuten-live	ビックリマンおもしろランド(3)	菅野誠一	秋田書店						9784253				4	9784253099325	1988-06-20	秋田書店	1	候補ISBNが既に本番/種2に在る=取込もれでない(under-merge)	
