class	severity	slug	title	ed_idx	ed_label	ed_imprint	ed_publisher	n_vols	numbers	date	verdict	detail	extra
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	5	1978-12-15		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087057
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	6	1979-06-30		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087064
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	7	1980-03		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087071
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	8	1980-05-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087088
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	9	1980-07-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087095
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	10	1980-09-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087101
PRE_ISBN_ERA	情報	mitsumegatooru	三つ目がとおる	6	手塚治虫漫画全集(1977–1981)	手塚治虫漫画全集	講談社	1	11	1980-11-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087118
PRE_ISBN_ERA	情報	mittsu-no-buranko-no-monogatari	三つのブランコの物語	0	通常版	講談社コミックスなかよし	講談社	1	1	1978-02-04		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061082946
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	5	1976-12-20		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901750
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	9	1977-06		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901798
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	10	1977-10-20		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901804
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	11	1978-02		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901811
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	12	1978-04		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901828
PRE_ISBN_ERA	情報	muyounosuke	無用ノ介	5	文庫版(小学館文庫)	小学館文庫	小学館	1	13	1978-06		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091901835
PRE_ISBN_ERA	情報	mw	MW	0	通常版	ビッグコミックス	小学館	1	1	1978-04-01		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091801517
PRE_ISBN_ERA	情報	mw	MW	0	通常版	ビッグコミックス	小学館	1	2	1978-05		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091801524
PRE_ISBN_ERA	情報	mw	MW	0	通常版	ビッグコミックス	小学館	1	3	1978-06-01		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784091801531
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	1	1976-01		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253171953
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	3	1976-07		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253171977
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	5	1976-12		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253171991
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	6	1977-03		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253172004
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	7	1977-05		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253172011
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	8	1977-07		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253172028
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	9	1977-10		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253172035
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	10	1978-02		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253172042
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	11	1978-04		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033220
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	12	1978-07		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033237
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	13	1978-10-30		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033244
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	14	1978-12		ISBN有なのに1978年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033251
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	15	1979-03		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033268
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	16	1979-06		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033275
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	17	1979-07		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033282
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	18	1979-09		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033299
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	19	1979-11		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033305
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	20	1980-01-15		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033312
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	21	1980-03-25		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033329
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	22	1980-05-25		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033336
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	23	1980-07-25		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033343
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	24	1980-09		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033350
PRE_ISBN_ERA	情報	nanahan-rider	750ライダー	0	通常版	Akita Bunko	秋田書店	1	25	1980-12		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253033367
PRE_ISBN_ERA	情報	nanbaa-7	ナンバー7	3	手塚治虫漫画全集(1980–1981)	手塚治虫漫画全集	講談社	1	1	1980-06-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087934
PRE_ISBN_ERA	情報	nanbaa-7	ナンバー7	3	手塚治虫漫画全集(1980–1981)	手塚治虫漫画全集	講談社	1	2	1980-08-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087941
PRE_ISBN_ERA	情報	nanbaa-7	ナンバー7	3	手塚治虫漫画全集(1980–1981)	手塚治虫漫画全集	講談社	1	3	1980-11-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061087958
PRE_ISBN_ERA	情報	nesshou-hanazawa-koukou	熱笑!!花沢高校	0	通常版	少年チャンピオン・コミックス	秋田書店	1	1	1980-05		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253036832
PRE_ISBN_ERA	情報	nesshou-hanazawa-koukou	熱笑!!花沢高校	0	通常版	少年チャンピオン・コミックス	秋田書店	1	2	1980-07-10		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253036849
PRE_ISBN_ERA	情報	nesshou-hanazawa-koukou	熱笑!!花沢高校	0	通常版	少年チャンピオン・コミックス	秋田書店	1	3	1980-09-05		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253036856
PRE_ISBN_ERA	情報	nesshou-hanazawa-koukou	熱笑!!花沢高校	0	通常版	少年チャンピオン・コミックス	秋田書店	1	4	1980-12-01		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784253036863
PRE_ISBN_ERA	情報	nidome-no-propose-1979	二度めのプロポーズ	0	デラックス版	ヤングレディKCデラックス	講談社	1	1	1979-06-20		ISBN有なのに1979年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061720374
PRE_ISBN_ERA	情報	nii-sama-donata	にいさまどなた?	0	通常版	講談社コミックスフレンド	講談社	1	1	1977-09-15		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061097506
PRE_ISBN_ERA	情報	niji-no-hotori-de	虹のとりで	1	手塚治虫漫画全集(1980)	手塚治虫漫画全集	講談社	1	1	1980-07-20		ISBN有なのに1980年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061086302
PRE_ISBN_ERA	情報	niji-no-kouro	虹の航路	0	通常版	講談社コミックスフレンド	講談社	1	1	1976-05-15		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061097087
PRE_ISBN_ERA	情報	niji-no-kouro	虹の航路	0	通常版	講談社コミックスフレンド	講談社	1	2	1976-07-15		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061097094
PRE_ISBN_ERA	情報	niji-no-kouro	虹の航路	0	通常版	講談社コミックスフレンド	講談社	1	3	1976-11-15		ISBN有なのに1976年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061097100
PRE_ISBN_ERA	情報	niji-no-kouro	虹の航路	0	通常版	講談社コミックスフレンド	講談社	1	4	1977-02-15		ISBN有なのに1977年(ISBN導入=1981-01)。★検証済=日付は正・ISBNが後刷り由来	9784061097117
