tier	file	slug	title	kana	rakuten_kana	madb_kana	flags
2	okazusutaanibokuhanaru	reizouko-no-tsukenosuke	れいぞうこのつけのすけ!	レイゾウコノツケノスケ	レイゾウコノツケノスケ	おかずスターにボクはなる!!!	KANA_DIFF_MADB
2	rekishi-gekiga-daisaishou	rekishi-gekiga-daisaishou	歴史劇画大宰相	ヨシダシゲルノトウソウ	レキシ ゲキガ ダイサイショウ		KANA_DIFF_RAKUTEN
2	rekishi-o-ugokashita-joteitachi	rekishi-o-ugokashita-joteitachi	歴史を動かした女帝たち	レキシオウゴカシタジョテイタチ	マンガ グリム ドウワ	レキシ オ ウゴカシタ ジョテイタチ	KANA_DIFF_RAKUTEN
2	remunanto	remunanto	レムナント	レムナント		レムナント	NOHYPHEN_UNVERIFIED
2	renaifudoki	renaifudoki	恋愛風土記	レンアイフドキ			NOHYPHEN_UNVERIFIED
2	renkashou	renkashou	恋華抄	レンカショウ			NOHYPHEN_UNVERIFIED
2	renmeijutsu	renmeijutsu	錬命術	レンメイジュツ		レンメイジュツ	NOHYPHEN_UNVERIFIED
2	rental-magica-from-solomon	rental-magica-from-solomon	レンタルマギカfrom Solomon	レンタルマギカfromSolomon	レンタルマギカ フロム ソロモン	レンタルマギカ from Solomon	KANA_DIFF_RAKUTEN
2	reo-shingo-2002	reo-shingo-2002	零王!	レオ		レオ	SLUG_TOKEN_MISMATCH:shingo
2	restart-hidaka-2006	restart-hidaka-2006	リスタート	リスタート		リスタート	SLUG_TOKEN_MISMATCH:hidaka
2	retasu-tengoku	retasu-tengoku	レタス天国	レタステンゴク	レタスパラダイス	レタス テンゴク	KANA_DIFF_RAKUTEN
2	return-2007	return-2007	Return	Return	プルートウゴウカバン		KANA_DIFF_RAKUTEN
2	reversal	reversal	: REverSAL	リバーサル	：REverSAL	リバーサル	KANA_DIFF_RAKUTEN
2	reverse-mishima-2005	reverse-mishima-2005	リバース!	リバース	リバース	リバース	SLUG_TOKEN_MISMATCH:mishima
2	revive	revive	Revive!	Revive!	リバイブ		KANA_DIFF_RAKUTEN
2	ri-aru-geemu-h	ri-aru-geemu-h	りある≠げえむ√{H}	リアル≠ゲエム√{H}	リアル ノット イコール ゲエム ルート エッチ	リ アル ≠ ゲエム √{H}	KANA_DIFF_RAKUTEN
2	ribbon	ribbon	Ribbon	ヤングユーコミックス.コーラスシリーズ	リボン		KANA_DIFF_RAKUTEN
2	ribenjirabu	ribenjirabu	リベンジ・ラブ	リベンジラブ		Revenge・LOVE	NOHYPHEN_UNVERIFIED;KANA_DIFF_MADB
