tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
NOHIT	keishichou-0-ka-no-onna	警視庁0課の女	seed4	0	standard	通常版	SPコミックス	1	LEAD										o	9784845				6	9784845809950	1997-04	リイド社	0	NDLにも該当巻なし	
NOHIT	keishichou-0-ka-no-onna	警視庁0課の女	seed4	0	standard	通常版	SPコミックス	2	LEAD										o	9784845				6	9784845809950	1997-04	リイド社	0	NDLにも該当巻なし	
NOHIT	keishichou-0-ka-no-onna	警視庁0課の女	seed4	0	standard	通常版	SPコミックス	3	LEAD										o	9784845				6	9784845809950	1997-04	リイド社	0	NDLにも該当巻なし	
NOHIT	keishichou-0-ka-no-onna	警視庁0課の女	seed4	0	standard	通常版	SPコミックス	4	LEAD										o	9784845				6	9784845809950	1997-04	リイド社	0	NDLにも該当巻なし	
NOHIT	keishichou-0-ka-no-onna	警視庁0課の女	seed4	0	standard	通常版	SPコミックス	5	LEAD										o	9784845				6	9784845809950	1997-04	リイド社	0	NDLにも該当巻なし	
NOHIT	kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	seed4	0	standard	通常版	角川コミックス・エース	1	LEAD										o	9784041				3	9784041065006	2018-12-25	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kemono-friends-comic-arakaruto	けものフレンズコミックアラカルト	seed4	0	standard	通常版	角川コミックス・エース	2	LEAD										o	9784041				3	9784041065006	2018-12-25	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	seed4	0	standard	通常版	Daito comics TL シリーズ	1	LEAD										o	9784864				3	9784864950930	2015-05-12	大都社	0	NDLにも該当巻なし	
NOHIT	kemono-otoko-to-yuutousei-joshi	ケモノ男子と優等生女子	seed4	0	standard	通常版	Daito comics TL シリーズ	2	LEAD										o	9784864				3	9784864950930	2015-05-12	大都社	0	NDLにも該当巻なし	
NOHIT	kibaken	牙拳	seed4	0	standard	通常版	芳文社コミックス	9	MID										o	9784821	8	9784821191024	1984-12	10	9784821191109	1985-02	日本文華社	0	NDLにも該当巻なし	
NOHIT	kiken-na-chouai	危険な寵愛	seed4	0	standard	通常版	Missy comics	1	LEAD										o	9784776				2	9784776754237	2023-03	宙出版	0	NDLにも該当巻なし	
NOHIT	kikou-kiden-hiwou-senki	機巧奇伝ヒヲウ戦記	seed4	0	standard	通常版	マガジンZKC	1	LEAD										o	9784063				2	9784063490329	2000-10-23	講談社	0	NDLにも該当巻なし	
NOHIT	kiraware-reijou-wa-gin-no-ouji-ni-amayakasareru	嫌われ令嬢は銀の王子に甘やかされる	seed4	0	standard	通常版	Missy comics. YLC DX collection	1	LEAD										o	9784776				2	9784776755586	2025-12-08	宙出版	0	NDLにも該当巻なし	
NOHIT	kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	overrides	0	standard	通常版	バーズコミックス	3	MID										o	9784344	2	9784796297479	1998-11-16	6	9784344800304	2002-02-23	幻冬舎	0	NDLにも該当巻なし	
NOHIT	kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	overrides	0	standard	通常版	バーズコミックス	4	MID										o	9784344	2	9784796297479	1998-11-16	6	9784344800304	2002-02-23	幻冬舎	0	NDLにも該当巻なし	
NOHIT	kirikiritei-no-buraun-sensei	きりきり亭のぶら雲先生	overrides	0	standard	通常版	バーズコミックス	5	MID										o	9784344	2	9784796297479	1998-11-16	6	9784344800304	2002-02-23	幻冬舎	0	NDLにも該当巻なし	
NOHIT	kizuato	痕	seed4	0	standard	通常版	電撃コミックス	1	LEAD										o	9784048				2	9784048864886	2012-03-27	KADOKAWA	0	NDLにも該当巻なし	
NOHIT	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	seed4	0	standard	通常版		3	MID										o	9784171	2	9784171964019	2000-12-25	8	9784171964040	2007-03-30	大蔵省印刷局	0	NDLにも該当巻なし	
NOHIT	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	seed4	0	standard	通常版		4	MID										o	9784171	2	9784171964019	2000-12-25	8	9784171964040	2007-03-30	大蔵省印刷局	0	NDLにも該当巻なし	
NOHIT	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	seed4	0	standard	通常版		5	MID										o	9784171	2	9784171964019	2000-12-25	8	9784171964040	2007-03-30	大蔵省印刷局	0	NDLにも該当巻なし	
NOHIT	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	seed4	0	standard	通常版		6	MID										o	9784171	2	9784171964019	2000-12-25	8	9784171964040	2007-03-30	大蔵省印刷局	0	NDLにも該当巻なし	
NOHIT	kodomo-kagaku-gijutsu-hakusho	子ども科学技術白書	seed4	0	standard	通常版		7	MID										o	9784171	2	9784171964019	2000-12-25	8	9784171964040	2007-03-30	大蔵省印刷局	0	NDLにも該当巻なし	
NOHIT	koukoukyoushimonogatari	高校教師物語	seed4	0	standard	通常版	TSUKASA-COMICS	1	LEAD										o	9784887				2	9784887250727	1995-12-25	司書房	0	NDLにも該当巻なし	
NOHIT	kounai-shasei-sutoresu-furiiku	校内写生＆ストレスフリーク	seed4	0	standard	通常版		1	LEAD										o	9784915				3	9784915858260		シュベール出版	0	NDLにも該当巻なし	
NOHIT	kounai-shasei-sutoresu-furiiku	校内写生＆ストレスフリーク	seed4	0	standard	通常版		2	LEAD										o	9784915				3	9784915858260		シュベール出版	0	NDLにも該当巻なし	
NOHIT	koyoi-omae-to	今宵おまえと	seed4	0	standard	通常版	Hertz series	1	LEAD										o	9784813				2	9784813053439	2012-01	大洋図書	0	NDLにも該当巻なし	
NOHIT	kuooto-ando-half	1/4×1/2	seed4	0	standard	通常版	眠れぬ夜の奇妙な話コミックス	3	MID										o	9784022	2	9784257902904	1997-03	5	9784022131751	2012-06	朝日新聞出版	0	NDLにも該当巻なし	
NOHIT	kuooto-ando-half	1/4×1/2	seed4	0	standard	通常版	眠れぬ夜の奇妙な話コミックス	4	MID										o	9784022	2	9784257902904	1997-03	5	9784022131751	2012-06	朝日新聞出版	0	NDLにも該当巻なし	
NOHIT	kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	seed4	0	standard	通常版	コミックゲームブック	1	LEAD										o	9784575				2	9784575283297	1994-04	双葉社	0	NDLにも該当巻なし	
NOHIT	kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	seed4	0	standard	通常版	マイコミックスパートナー	1	LEAD										o	9784885				8	9784885702174	1988-02	東京三世社	0	NDLにも該当巻なし	
NOHIT	kuusou-kagaku-dai-bouken-katsugeki-kyousaku-dai-zenshuu	空想科学大冒険活劇競作大全集	seed4	0	standard	通常版	マイコミックスパートナー	2	LEAD										o	9784885				8	9784885702174	1988-02	東京三世社	0	NDLにも該当巻なし	
