vols	base	brand	pub	first_date	last_date	isbns
10	艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	ファミ通クリアコミックス	KADOKAWA	2014-09	2018-05	9784047349513,9784047351226,9784047299023,9784047308657,9784047340794,9784047341937,9784047342934,9784047343566
10	漫画大激闘	RKムック	楽楽出版	2019-09	2021-03	9784867040058,9784867040126,9784867040157,9784867040249,9784867040270,9784867040324,9784867040331,9784867040416
10	Bloomin'		東京漫画社	2010-02	2013-10	9784864420259,9784864420372,9784864420525,9784864420785,9784864420051,9784864421140,9784904101964,9784904101834
10	真・恋姫・無双 外史祭典	マジキューコミックス	角川グループパブリッシング	2013-01	2015-03	9784047285859,9784047287112,9784047287754,9784047290402,9784047291355,9784047293342,9784047295469,9784047297425
10	b-boy honey		リブレ出版	2009-11	2011-05	9784862639028,9784862639271,9784862639547,9784862638649,9784862638427,9784862637932,9784862637734,9784862637406
10	CRAFT	H ＆ C comics	大洋図書	2014-02	2017-08	9784813030416,9784813030461,9784813030669,9784813030751,9784813030867,9784813030959,9784813031222,9784813031321
10	中国の歴史	集英社版・学習漫画	集英社	2006-10-29	2006-10-29	9784082482015,9784082482022,9784082482039,9784082482046,9784082482053,9784082482060,9784082482077,9784082482084
10	BGM	MARBLE COMICS	東京漫画社	2007-05	2009-02	9784904101049,9784902671162,9784904101094,9784904101155,9784904101193,9784904101254,9784904101315,9784904101377
10	フェアリーダスト		創映新社	1987-04	1989-01	9784915621062,9784915621109,9784915621116,9784915621123,9784915621147,9784915621154,9784915621079,9784915621086
10	H×H	エーピーセレクション	ハイランド	1999-06	2002-03	9784894861831,9784894860209,9784894860360,9784894860476,9784894860599,9784894860766,9784894860902,9784894861145
10	Robot		ワニマガジン社	2004-11	2008-03	9784862690081,9784898294932,9784898297773,9784898297858,9784898297971,9784898299807,9784898299876,9784862690111
10	Coo		オークラ出版	1996-12	1998-05	9784872782844,9784872782318,9784872782172,9784872781984,9784872781847,9784872781601,9784872781595,9784872781465
10	三国演義		学研マーケティング	2010-02	2010-02	9784055007245,9784055007252,9784055007269,9784055007276,9784055007283,9784055007290,9784055007306,9784055007313
