slug	title	ours	rakuten	year	isbn
nakanai-shukure-to-amai-kiss	泣かないシュクレと甘いキス	高渕アスミ	南華 つくる	2025	9784065395110
negattemo-nai-tsuihougo-kara-no-surooraifu	願ってもない追放後からのスローライフ?	風緒 / 石ト悠良	ヤミーゴ / シュガースプーン。 / なたーしゃ	2025	9784048115056
nidome-no-jinsei-to-omottara-jitsuwa-sandome-datta-rekishi-chishiki-to-naisei-doryoku-de-fukou-na	2度目の人生、と思ったら、実は3度目だった。～歴史知識と内政努力で不幸な歴史の改変に挑みます～@COMIC	take4 / 則本シゲ	麦こうちゃ	2025	9784867943861
nito-no-joreishi	二兎の除霊師	無機質	市川 ヒロミ	2025	9784088936253
nokemono-tomo-ni-shukufuku-o	のけもの共に祝福を	あまねかむらぎ	冬房承	2025	9784832292901
nuance-tone	ニュアンス・トーン	ミヤコヒト	西尾 メシ	2025	9784088552514
oda-chan-to-akechi-kun	織田ちゃんと明智くん	常盤魚	常盤 ギヨ	2025	9784065383438
oedo-oekaki-oji-san-utakuni	大江戸お絵描きおじさんウタクニ	斉藤ロクロ	目黒川うな	2025	9784867207246
okibi-no-takibi	オキビのタキビ	園太デイ	植杉光	2025	9784253291705
oribaa-no-shinzou	オリバーの心臓	いなた	丸田ザール	2025	9784434358234
osananajimi-no-koukousei-no-aida-ni-nikutai-kankei-wa-seiritsu-suruka	幼なじみの高校生のあいだに肉体関係は成立するか。	白松	紺矢　ユキオ	2025	9784049162455
oshi-kimono	推し着物	森長あやみ	岡野く仔	2025	9784801943810
oshikyara-ouji-to-kojirase-etchi	推しキャラ王子とこじらせエッチ	浅葱洋	堂森　あじ	2025	9784048114387
otonari-kun-wa-kyou-mo-watashi-o-komaraseru	おとなりくんは今日もわたしを困らせる	はやさかめばゑ	鹿乃 おこと	2025	9784065381182
otonari-no-onee-san-wa-shitai	お隣のおねぇさんは×××したい	小萩紀歩	照玉　ぽてこら	2025	9784041161302
ouji-na-hime-to-hime-na-boku	王子な姫とヒメな僕	中村朝	三雲　ジョージ	2025	9784040758367
penguin-kissa-wa-kyou-mo-seiten	ペンギン喫茶は今日も青天	世禕	世い	2025	9784046835161
perfect-glitter	パーフェクトグリッター	高成利季	をの ひなお	2025	9784098633760
peste-ga-aketara-asobimashou	ペストが明けたら遊びましょう!	中島こうき	hoihoi	2025	9784046843777
riot-tsukada-2025	RIOT	松浦ショウゴ	塚田 ゆうた	2025	9784098634101
road59-shinjidai-ninkyou-tokku-shoujo-to-chi-no-sakazuki	ROAD59-新時代任侠特区-少女と血のサカズキ	西尾和観	西尾 カズミ / ブシロード / ぎどら	2025	9784065371886
ryuu-to-itsuki	龍と樹	かすみりょう / 銀麦	吉上　亮 / ku-ba	2025	9784048115735
saigo-no-natsu-o-hitozuma-to	最後の夏を人妻と	I-Ⅳ	永谷えんがわ	2025	9784757597686
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	片山誠 / 森野どんぐり	かたやままこと / 風の吹くまま気の向くまま	2025	9784838733163
saneka-no-yomeiri	サネカの嫁入り	百瀬渡	百世 渡	2025	9784088844695
satsujin-gaiki-wa-kuuhaku-o-omou	殺人外鬼は空白を想う	反転邪郎	反転 シャロウ	2025	9784098540587
seito-to-koi-wa-dekimasen	生徒と恋はできません!	らむ屋	尾崎 海老太郎	2025	9784065384374
sekai-de-ichiban-ani-shiteru	世界でいちばん兄してる	ことぶきりー	黒月 悠	2025	9784065404386
shanai-bitch-chan-wa-kyou-mo-tokimeki-ga-tomerarenai	社内ビッチちゃんは今日もときめきが止められない	妹尾圭祐	秋 ひろな	2025	9784098730094
shiba-inu-pon-chan-kyou-mo-wagamichi-o-yuku	柴犬ぽんちゃん、今日もわが道を行く	猫麦	犬山　スケッチ	2025	9784046853394
shigo-hitotsu-yane-no-shita	死後ひとつ屋根の下	イテカ	パち子	2025	9784911437049
shikoku-ohenro-mankitsu-surechigai-tabi	四国お遍路まんきつすれちがい旅	國津武士	しまたけひと	2025	9784801947511
shinitagari-no-eteruno	死にたがりのエテルノ	ぽこた	綾幡 フイヱ	2025	9784065383162
shiokaze-to-ryuu-no-sumika	汐風と竜のすみか	キアチマチ	縞 あさと	2025	9784592230656
shiromajo-san-tono-henkyou-gurashi	白魔女さんとの辺境ぐらし	青柳朔 / Fuyusora	門司柿家 / 冬空 / syow	2025	9784048996624
shuuen-no-majo-to-sekai-no-tabi	終焉の魔女と世界の旅	つきぼしりょう	片岡 とんち	2025	9784065390429
solo-dan	ソロダン	青葉	早神あたか	2025	9784434352041
soratobu-baiorin	宙飛ぶバイオリン	中馬孝博	三原 和人	2025	9784065400487
soushitsu-mahoutsukai-no-saikyou-kenja	喪失魔法使いの最強賢者	紅木春 / 藤沢里菜	近藤笑真 / どまどま	2025	9784813764816
suiheisen-wa-yagate-matataku	水平線はやがて瞬く	茜田千	文乃　ゆき	2025	9784829687307
suruga-meteor	スルガメテオ	戦記暗転	田中 ドリル	2025	9784065387894
tabi-wa-all-pasu	旅はオールパス	ほなみ彩	少年FLY / 高橋　美鈴 / iimAn	2025	9784048116176
