display	base	volumes	authors	publisher	latest	title_cands
[カラー版]初恋ヌード〜あたしを狙う四角関係	初恋ヌード〜あたしを狙う四角関係	8	とり鳥子,九里もなか	パルソラ	2021年02月05日	
【フルカラー版】僕と王子のゼロから始める女装ライフ	僕と王子のゼロから始める女装ライフ	8	花川シュガ	シガリロ	2018年04月06日	
家庭教師ヒットマンREBORN! カラー版 黒曜・ヴァリアー編	家庭教師ヒットマンREBORN!黒曜・ヴァリアー編	8	天野明	集英社	2012年11月19日	
DRAGON BALL カラー版 ピッコロ大魔王編	DRAGON BALLピッコロ大魔王編	7	鳥山明	集英社	2013年02月04日	
DRAGON BALL カラー版 フリーザ編	DRAGON BALLフリーザ編	7	鳥山明	集英社	2013年04月04日	
DRAGON BALL カラー版 魔人ブウ編	DRAGON BALL魔人ブウ編	7	鳥山明	集英社	2013年10月04日	
ジョジョの奇妙な冒険 第2部 戦闘潮流 カラー版	ジョジョの奇妙な冒険 第2部 戦闘潮流	7	荒木飛呂彦	集英社	2012年07月13日	
ジョジョの奇妙な冒険 第9部 ザ・ジョジョランズ カラー版	ジョジョの奇妙な冒険 第9部 ザ・ジョジョランズ	7	荒木飛呂彦	集英社	2026年03月19日	
家庭教師ヒットマンREBORN! カラー版 日常編	家庭教師ヒットマンREBORN!日常編	7	天野明	集英社	2012年11月19日	
左廻しのオデット【フルカラー版】	左廻しのオデット	7	perico	LINE Digital Frontier	2017年01月16日	
欲情(C)MAX カラー版	欲情(C)MAX	7	右京あやね	集英社	2012年06月15日	
異世界支配のスキルテイカー　ゼロから始める奴隷ハーレム　セクシーブーストカラー版（７）	異世界支配のスキルテイカー　ゼロから始める奴隷ハーレム　セクシーブースト（７）	7	柑橘ゆすら,笠原巴,蔓木鋼音	講談社	2019年06月07日	
ぬらりひょんの孫 カラー版 魑魅魍魎の主編	ぬらりひょんの孫魑魅魍魎の主編	6	椎橋寛	集英社	2012年11月16日	
[カラー版]S系上司の甘い調教〜とろける果実	S系上司の甘い調教〜とろける果実	6	たちばな雪乃,みれい綾音	パルソラ	2016年07月29日	
[カラー版]一夜も千夜も初夜のキミ。	一夜も千夜も初夜のキミ。	6	こりすキョコ,花緒みゆ	パルソラ	2020年07月17日	
[カラー版]先生といっしょ　ヒミツの準備室	先生といっしょ　ヒミツの準備室	6	とり鳥子,栗山なつき	パルソラ	2017年02月17日	
[カラー版]快楽の館〜調教×エロス×執事さま	快楽の館〜調教×エロス×執事さま	6	たちばな雪乃,藤宮緑	パルソラ	2016年08月26日	
[カラー版]恋するマハラジャ〜砂漠の囚われ姫	恋するマハラジャ〜砂漠の囚われ姫	6	にせ英知,九里もなか	パルソラ	2018年04月17日	
[カラー版]純情エロカレ〜そこまでシテくれるの!?	純情エロカレ〜そこまでシテくれるの!?	6	こりすキョコ,花緒みゆ	パルソラ	2016年08月26日	
[カラー版]鳥籠メイド〜鳴かされる肉体	鳥籠メイド〜鳴かされる肉体	6	九里もなか,黒蜜きなこ	パルソラ	2019年10月18日	
僕は今夜、妹と【フルカラー版】	僕は今夜、妹と	6	小岩井ゆば	アムコミ	2020年07月24日	
新・エルフさんは痩せられない。【秋田書店フルカラー版】	新・エルフさんは痩せられない。【秋田書店	6	シネクドキ	秋田書店	2026年06月26日	
義妹がどうやらヤンデレだった話(カラー版)	義妹がどうやらヤンデレだった話	6	じ	ナンバーナイン	2026年06月19日	
週に何回ヤりたいですか？ 〜アラサー女子のレス事情〜【フルカラー版】	週に何回ヤりたいですか？ 〜アラサー女子のレス事情〜	6	佐々木りん	アムコミ	2020年07月24日	
31歳、初カレ。【フルカラー版】	31歳、初カレ。	5	中間淳生	アムコミ	2020年07月24日	
DRAGON BALL カラー版 レッドリボン軍編	DRAGON BALLレッドリボン軍編	5	鳥山明	集英社	2013年02月04日	
GANTZ カラー版 OSAKA編	GANTZOSAKA編	5	奥浩哉	集英社	2016年10月14日	
Love Silky　私達××しました【ＡＩカラー版】	Love Silky　私達××しました【ＡＩ	5	空あすか	白泉社	2018年01月26日	
Love Silky　結婚×レンアイ。【ＡＩカラー版】	Love Silky　結婚×レンアイ。【ＡＩ	5	萩尾彬	白泉社	2018年01月26日	
ねことじいちゃん	ねことじいちゃん	5	ねこまきミュズワク	KADOKAWA	2019年01月25日	neko-to-jii-chan
めだかボックス カラー版 PART4 黒神めだかの後継者編	めだかボックスPART4 黒神めだかの後継者編	5	暁月あきら,西尾維新	集英社	2016年06月03日	
［カラー版］アマガミ precious diary	アマガミ precious diary	5	東雲太郎,株式会社kadokawaエンタブレイン	白泉社	2013年04月26日	
[カラー版]マジ恋！オタ女子〜オトナの三次元交際	マジ恋！オタ女子〜オトナの三次元交際	5	とり鳥子,立花ヒカリ	パルソラ	2018年04月20日	
ジョジョの奇妙な冒険 第1部 ファントムブラッド カラー版	ジョジョの奇妙な冒険 第1部 ファントムブラッド	5	荒木飛呂彦	集英社	2012年07月13日	
僕にオトナの恋を教えて【フルカラー版】	僕にオトナの恋を教えて	5	アキラ	アムコミ	2020年07月24日	
多重人格探偵サイコ　フルカラー版	多重人格探偵サイコ	5	田島昭宇×大塚英志	KADOKAWA	2017年09月04日	tajuu-jinkaku-tantei-psycho
姉×弟〜秘密の関係〜【フルカラー版】	姉×弟〜秘密の関係〜	5	小豆夜桃のん	OrangeVox	2015年07月17日	
財閥復讐〜兄嫁になった元嫁へ〜【フルカラー版ヨコ読み】	財閥復讐〜兄嫁になった元嫁へ〜ヨコ読み】	5	mangamuse,テレビ東京,可々,国井桂,安田瞼,泉梨香	双葉社	2025年06月03日	
DRAGON BALL カラー版 サイヤ人編	DRAGON BALLサイヤ人編	4	鳥山明	集英社	2013年02月04日	
DRAGON BALL カラー版 孫悟空修業編	DRAGON BALL孫悟空修業編	4	鳥山明	集英社	2013年02月04日	
GANTZ カラー版 かっぺ星人編	GANTZかっぺ星人編	4	奥浩哉	集英社	2013年08月19日	
GANTZ カラー版 オニ星人編	GANTZオニ星人編	4	奥浩哉	集英社	2016年11月16日	
めだかボックス カラー版 PART2 十三組の十三人編	めだかボックスPART2 十三組の十三人編	4	暁月あきら,西尾維新	集英社	2012年12月04日	
めだかボックス カラー版 PART3 球磨川事件編	めだかボックスPART3 球磨川事件編	4	暁月あきら,西尾維新	集英社	2016年06月03日	
アダマスの魔女たち　選りぬきＳＥＸＹカラー版	アダマスの魔女たち　選りぬきＳＥＸＹ	4	今井ユウ	講談社	2020年08月05日	
[カラー版]Ｓ系兄弟〜欲情えろ包囲網	Ｓ系兄弟〜欲情えろ包囲網	4	猫口さほ,立花ヒカリ	パルソラ	2016年11月11日	
