tier	slug	title	publishers	year	cover_missing
T3	feroumerou	フェロウメロウ	コアマガジン	2023	0/1
T3	flag-no-joe	フラグのジョー	白夜書房	1999	1/1
T3	flounders	flounders	コアマガジン	2024	0/1
T3	fraction	フラクション	コアマガジン	2009	0/1
T3	furue-tsumore-shiawase-no-hana	ふるえつもれ幸せの花	コアマガジン	2010	0/1
T3	fushou-no-bokura	不肖の僕ら	オークラ出版	2002	0/2
T3	gakkou-e-ikou	学校へ行こう!	白夜書房	1994	2/2
T3	gakuen-shoujo-sao	学園少女/砂緒	白夜書房	1985	1/1
T3	gallop	ギャロップ	司書房	1989	1/1
T3	ganjisugawa-de-hiraoyogi	ガンジス河で平泳ぎ	オークラ出版	2009	0/1
T3	gedou-gakuen	外道学園	司書房	1988	1/1
T3	genocyber	GENOCYBER	白夜書房	1993	1/1
T3	gin-no-jeek	銀のジーク	白夜書房	1993	0/8
T3	gindama-inochi-ginjirou	銀玉命!銀次郎	白夜書房	1992	3/3
T3	going-to-hell	Going to hell	オークラ出版	1995	5/5
T3	gokudou-caf	極道Cafe	オークラ出版	2010	0/3
T3	gokujou-no-koibito	極上の恋人	オークラ出版	2007	0/4
T3	golden-gals	ゴールデン・ギャルズ	白夜書房	1989	1/1
T3	gotoshi-kabushiki-kaisha	ゴト師株式会社	白夜書房	1991	10/10
T3	gurasanshishou-no-hyakumankai-kaiten	グラサン師匠の百万回転日記	白夜書房	2004	1/2
T3	hakkai-no-daibouken	八戒の大冒険	白夜書房	1991	1/1
T3	hanayome-wa-juunanasai	花嫁は十七歳	オークラ出版	2014	0/2
T3	hanayome-wa-namida-ni-nureru	花嫁は涙に濡れる	オークラ出版	2011	0/2
T3	hanazono-no-senya-ichiya	花園の千夜一夜	茜新社	1996	1/1
T3	harem-end	ハーレムエンド	コアマガジン	2012	0/1
T3	harem-resort	ハーレムリゾート?	コアマガジン	2019	0/1
T3	haru-no-shinzou	はるのしんぞう	茜新社	2016	0/1
T3	heartfull-pink	Heartfull pink	コアマガジン	1999	1/1
T3	heika-kokoro-no-koe-ga-urusasugimasu	陛下、心の声がうるさすぎます。	フランス書院	2025	0/3
T3	henkyou-jikeitai	辺境自警隊	フランス書院	1993	1/1
T3	hidamari-ga-kikoeru	ひだまりが聴こえる	フランス書院	2014	0/3
T3	hidamari-ga-kikoeru-koufukuron	ひだまりが聴こえる-幸福論-	フランス書院	2016	0/1
T3	hidamari-ga-kikoeru-limit	ひだまりが聴こえる リミット	フランス書院	2017	0/1
T3	hidamari-ga-kikoeru-shunka-shuutou	ひだまりが聴こえる-春夏秋冬-	フランス書院	2022	0/4
T3	hikoi	秘恋	コアマガジン	2018	0/1
T3	himei-wa-oshizukani	悲鳴はお静かに	ワニマガジン社	1989	1/1
T3	himitsu-no-shanai-love-ga-haran-nandesu-kedo	ヒミツの社内恋愛が波乱なんですけど?	コアマガジン	2024	0/2
T3	hinagiku	ひな菊	オークラ出版	1999	0/1
