kind	popularity	season	anime_title	gensaku(animatetimes)
AT無し(2010以前/表記差)	258	2009-FALL	ご姉弟物語	
AT無し(2010以前/表記差)	250	2024-SUMMER	あたしンちNEXT	
AT無し(2010以前/表記差)	243	2023-SPRING	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 5th	
AT無し(2010以前/表記差)	231	2025-SUMMER	追放白魔導師 ミニアニメ	
AT無し(2010以前/表記差)	212	2020-WINTER	まるまるマヌル	
AT無し(2010以前/表記差)	210	2016-WINTER	なぜなに!?アスタリスク	
AT無し(2010以前/表記差)	201	2023-FALL	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 6th	
AT無し(2010以前/表記差)	198	1998-FALL	Only You ビバ! キャバクラ	
AT無し(2010以前/表記差)	196	2020-FALL	カオルの大切なモノ	
AT無し(2010以前/表記差)	195	2022-FALL	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 4th	
AT無し(2010以前/表記差)	187	2007-FALL	ぷるるんっ! しずくちゃんあはっ☆	
AT無し(2010以前/表記差)	186	2024-FALL	直江くんは痩せさせたい。	
AT無し(2010以前/表記差)	185	2024-WINTER	エリーゼ's カルテ	
AT無し(2010以前/表記差)	174	2019-WINTER	今日もツノがある	
AT無し(2010以前/表記差)	173	2016-FALL	アッカァくんのACCA講座	
AT無し(2010以前/表記差)	173	2026-WINTER	ブラックジャックやねん	
AT無し(2010以前/表記差)	171	1990-SPRING	ガタピシ	
AT無し(2010以前/表記差)	166	2010-SPRING	ケツ犬	
AT無し(2010以前/表記差)	159	2009-WINTER	夢をかなえるゾウ	
AT無し(2010以前/表記差)	159	2025-SPRING	ちびぜんじ先生 居残り講義録	
AT無し(2010以前/表記差)	136	2021-WINTER	【腐男子召喚〜異世界で神獣にハメられました〜】ミニアニメ 特別編	
AT無し(2010以前/表記差)	136	2023-FALL	全力ウサギ (2023)	
AT無し(2010以前/表記差)	126	1982-FALL	忍者マン一平	
AT無し(2010以前/表記差)	125	2007-FALL	エレキング The Animation	
AT無し(2010以前/表記差)	116	1998-WINTER	春庭家の3人目	
AT無し(2010以前/表記差)	110	2017-SUMMER	ヒノマル!	
AT無し(2010以前/表記差)	105	2024-WINTER	ど根性ガエルやねん	
AT無し(2010以前/表記差)	102	2004-SPRING	がんばれ！！タブチくん！！(ONA)	
AT無し(2010以前/表記差)	97	2021-WINTER	生きぬけ！爆走！クソハムちゃん	
AT無し(2010以前/表記差)	67	2023-WINTER	ハートカクテル カラフル 春編	
AT無し(2010以前/表記差)	66	2023-FALL	ハートカクテル カラフル 冬編	
AT無し(2010以前/表記差)	60	2023-SUMMER	ハートカクテル カラフル 夏編	
AT無し(2010以前/表記差)	12	1970-FALL	われらサラリーマン党	
MANGA?	54467	2020-SUMMER	僕のヒーローアカデミア 生き残れ！決死のサバイバル訓練	堀越耕平（集英社「 週刊少年ジャンプ 」連載）
MANGA?	27200	2021-SPRING	小林さんちのメイドラゴンＳミニドラ	クール教信者 (双葉社「月刊アクション」連載中)
MANGA?	24610	2017-SPRING	亜人ちゃんは語りたい 亜人ちゃんの夏休み	ペトス（講談社「ヤングマガジンサード」連載）
MANGA?	20446	2022-SUMMER	僕のヒーローアカデミア 5 (ONA)	堀越耕平（集英社「 週刊少年ジャンプ 」連載）
MANGA?	12597	2023-WINTER	ヴィンランド・サガ SEASON2 Drowning in the Shadow	幸村誠「 ヴィンランド・サガ 」（講談社「アフタヌーン」連載）
MANGA?	10375	2023-FALL	葬送のフリーレン ～●●の魔法～	山田鐘人 ・ アベツカサ (小学館「 週刊少年サンデー 」連載中)
MANGA?	8748	2023-SPRING	ヴィンランド・サガ SEASON2 Same old story	幸村誠「 ヴィンランド・サガ 」（講談社「アフタヌーン」連載）
MANGA?	7978	2022-WINTER	転生したらスライムだった件 救われるラミリス	川上泰樹・伏瀬・みっつばー『 転生したらスライムだった件 』（講談社「月刊少年シリウス」連載）
MANGA?	7195	2020-SUMMER	彼女、お借りします ぷち	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	6977	2019-SUMMER	むぎゅっと！ブラッククローバー	『 ブラッククローバー 』 田畠裕基 （集英社ジャンプコミックス刊）
MANGA?	4730	2016-SPRING	ふらいんぐうぃっち ぷち	石塚千尋（講談社「別冊少年マガジン」連載）
MANGA?	4625	2022-SUMMER	彼女、お借りします 第2期 デートムービー	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	3595	2014-SUMMER	真　ストレンジ・プラス	美川べるの「 ストレンジ・プラス 」（掲載：「COMIC ZERO-SUM」／発行：一迅社） 監督・キャラクターデザイン：古川博之
MANGA?	2963	2022-SPRING	よふかしのうた ミニ	コトヤマ （小学館「 週刊少年サンデー 」連載中）
MANGA?	2205	2017-WINTER	ちるらん にぶんの壱	「 ちるらん にぶんの壱 」 (漫画：橋本エイジ 原作：梅村真也)
MANGA?	2023	2021-WINTER	新テニスの王子様 氷帝vs立海 Game of Future	許斐剛 （集英社「ジャンプSQ.」連載）
MANGA?	1928	2023-WINTER	イジらないで、長瀞さん 2nd Attack ミニアニメ	ナナシ（講談社『マガジンポケット』連載）
MANGA?	1908	2023-FALL	シャングリラ・フロンティア ミニアニメ	硬梨菜 不二涼介 （講談社「週刊少年マガジン」連載）
MANGA?	1755	2022-SUMMER	彼女、お借りします 第2期 ぷち	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	1621	2020-SUMMER	彼女、お借りします デートムービー	宮島礼吏 （講談社「週刊少年マガジン」連載）
MANGA?	1606	2020-SUMMER	彼女、お借りします コラボミニアニメーション	宮島礼吏 （講談社「週刊少年マガジン」連載）
