class	title	sid	edition	imprint	isbn0	date0	min_numbered	numbered	頁
HIDDEN_HASV1	ペットの声が聞こえたら	144718	standard	HONKOWAコミックス	9784022758095	2014-08	2018-07	1	pet-no-koe-ga-kikoetara
HIDDEN_HASV1	ペットの声が聞こえたら	144718	standard	HONKOWAコミックス	9784022758200	2015-09	2018-07	1	pet-no-koe-ga-kikoetara
HIDDEN_HASV1	ペットの声が聞こえたら	144718	standard	HONKOWAコミックス	9784022758293	2016-07	2018-07	1	pet-no-koe-ga-kikoetara
HIDDEN_HASV1	ペットの声が聞こえたら	144718	standard	HONKOWAコミックス	9784022758354	2017-07	2018-07	1	pet-no-koe-ga-kikoetara
HIDDEN_HASV1	マンガ古事記	85131	standard		9784309014890	2002-08-20	2011-12	1	manga-kojiki
HIDDEN_HASV1	マンガ古事記	85131	standard		9784309014906	2002-08-20	2011-12	1	manga-kojiki
HIDDEN_HASV1	ミカセ	32607	standard		9784883791644	2004-08-31	2014-08	1	mikase
HIDDEN_HASV1	リンちゃんなう	86852	standard	IDコミックス	9784758063692	2013-04	2014-03	1,2,3	rin-chan-now
HIDDEN_HASV1	ロトの紋章	48851	standard	Young gangan comics remix	9784757523760	2008-09	2016-05	1	roto-no-monshou
HIDDEN_HASV1	三つの呪縛	120651	standard	ほんとにあった怖い話コミックス	9784257986171	1997-05-20	2007-10	1	mittsu-no-jubaku
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960382	2007-10	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960375	2007-10	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960368	2007-10	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960351	2007-10	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960344	2006-01	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960337	2006-01	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960320	2005-12	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	三丁目の夕日	49639	bunkobon	小学館文庫	9784091960313	2005-12	2019-04	1,2,3,4,5,6,7,8	sanchoume-no-yuuhi
HIDDEN_HASV1	乱れそめにし	44952	bunkobon	Hug文庫	9784870318229	2007-08	2011-12	1	midare-somenishi
HIDDEN_HASV1	亡霊は夜歩く	4916	standard	名探偵夢水清志郎事件ノート	9784063695038	2012-07-10	2015-07-23	1	ghost-wa-yoru-aruku
HIDDEN_HASV1	供養の報酬	120653	standard	ほんとにあった怖い話コミックス	9784257986164	1997-05-20	2007-10	1	kuyou-no-houshuu
HIDDEN_HASV1	偽書ゲッターロボダークネス	27117	standard	Jets comics	9784592145004	2009-09	2010-05	1,2,3,4	gisho-getter-robo-darkness
HIDDEN_HASV1	傷だらけの愛羅武勇	90320	standard	MARBLE COMICS	9784904101117	2008-05	2015-05	1	kizudarake-no-i-love-you
HIDDEN_HASV1	前略、お兄ちゃんは聖女になりました。	149179	standard	Glanz BLcomics	9784434305009	2022-09	2023-06	2,3,4	zenryaku-onii-chan-wa-seijo-ni-narimashita
HIDDEN_HASV1	勇午	91991	standard	イブニングKCDX	9784063720136	2005-05	2006-03	1,2,3	yuugo
HIDDEN_HASV1	北山くんと南谷くん	149407	standard	Splushコミックス	9784781622316	2023-08	2024-06	1,3,4,5	kitayama-kun-to-minamiya-kun
HIDDEN_HASV1	友情バイブレーション	149662	standard	HANAMARU COMICS PREMIUM	9784592721079	2022-03	2025-02-24	1	yuujou-baibureeshon
HIDDEN_HASV1	墓碑銘	17849	bunkobon	ソノラマコミック文庫	9784257722915	2005-06	2007-10	1	epitafu
HIDDEN_HASV1	夜姫さま	52371	standard		9784821184064	2007-04	2012-04	1	yoruhime-sama
HIDDEN_HASV1	夢幻の軍艦大和	51581	standard	SP pocket wide	9784845852383	2017-11	2017-12	1	mugen-no-gunkan-yamato
HIDDEN_HASV1	夢幻紳士	52373	standard		9784257900436	1983-03-25	2013-09	1	mugen-shinshi
HIDDEN_HASV1	女帝花舞	12001	standard	SP pocket wide	9784845853007	2018-04	2018-05	1	jotei-hanamai
HIDDEN_HASV1	小さな霊媒師	120664	standard	ほんとにあった怖い話コミックス	9784257986225	1997-06-20	2007-10	1	chiisana-reibaishi
HIDDEN_HASV1	少年アシベ	20141	standard	ACTION COMICS	9784575841558	2012-11	2016-04	1,2,3,4,5,6,7,8	shounen-ashibe
HIDDEN_HASV1	屁のような人生	49797	standard		9784048544221	2009-12	2015-12	1	he-no-youna-jinsei
HIDDEN_HASV1	心中天網島	42429	standard	マンガ日本の古典	9784124033052	1996-10-25	2001-06	1	shinjuu-ten-no-amijima
HIDDEN_HASV1	忍たま乱太郎 コミック	99424	standard		9784591135327	2013-07	2014-04	1	nintama-rantarou-comic
HIDDEN_HASV1	息をひそめて、恋を	100957	standard	Gateau comics	9784758073943	2015-03	2021-02	1,3	iki-o-hisomete-koi-o
HIDDEN_HASV1	悪い男	101011	standard	恋愛MAX COMICS	9784253135559	2007-09	2011-11	1,2,3	warui-otoko
