kind	severity	layer	slug	title	ed_idx	ed_type	ed_imprint	number	isbn_raw	suggest	release_date	has_cover	is_version	n_same_value	detail
JAN_CODE	要確認	seed2		八百八町表裏化粧師			ダイソーコミックシリーズ	2	4984343212725		2002				書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed2		八百八町表裏化粧師			ダイソーコミックシリーズ	3	4984343212732		2002				書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed2		八百八町表裏化粧師			ダイソーコミックシリーズ	4	4984343212749		2002				書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed2		ビッグコミック別冊ゴルゴ13シリーズ				148	4910296790751		2005-07-13				書籍JANでないJANコード(491…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/_ai-fill-queue.yml	_ai-fill-queue					L120671	4984343212749						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/_ai-fill-queue.yml	_ai-fill-queue					L120674	4984343212732						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/_ai-fill-queue.yml	_ai-fill-queue					L120677	4984343212725						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/completion-judged.jsonl	completion-judged					L2774	4984343212749						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/completion-judged.jsonl	completion-judged					L13592	4984343212732						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/edition-canonical/happyaku-yachou-hyouri-no-kewaishi.yml	happyaku-yachou-hyouri-no-kewaishi					L21	4984343212718						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/edition-canonical/happyaku-yachou-hyouri-no-kewaishi.yml	happyaku-yachou-hyouri-no-kewaishi					L24	4984343212725						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/edition-canonical/happyaku-yachou-hyouri-no-kewaishi.yml	happyaku-yachou-hyouri-no-kewaishi					L27	4984343212732						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
JAN_CODE	要確認	seed:data/seeds/edition-canonical/happyaku-yachou-hyouri-no-kewaishi.yml	happyaku-yachou-hyouri-no-kewaishi					L30	4984343212749						書籍JANでないJANコード(498…)。値は本物でもISBNとしては引けない
