regress_years	slug	title	authors	edition	n_vols	worst_pair	isbn_pattern
6	nokemono-to-hanayome	ノケモノと花嫁	中村明日美子	standard	8	1巻(2022-05-24)→5巻(2016-05)	有→有
6	ooi-yamabiko	オーイ!!やまびこ	矢口高雄	standard	7	5巻(1996-08-21)→6巻(1990-07-30)	有→有
6	ore-wa-warukunai	俺は悪くない	山田ユギ	standard	2	1巻(2006-12)→2巻(2000-11)	有→有
6	saishoukan-sareta-yuusha-wa-ippanjin-to-shite-ikite-iku	再召喚された勇者は一般人として生きていく?	濱﨑真代	standard	11	1巻(2026-07-24)→2巻(2020-08-07)	有→有
6	sangoku-rensenki	三国恋戦記	あず真矢	standard	4	2巻(2019-01-15)→4巻(2013-11-15)	有→有
6	shirohebi-shoujo	白へび少女	古賀新一	standard	3	2巻(1986-03-06)→3巻(1980-05-01)	有→無
6	shura-no-mon-dai-ni-mon	修羅の門 第弐門	川原正敏	standard	18	2巻(2017-10-25)→4巻(2011-12-16)	有→有
6	shutter-shower	シャッターシャワー	池沢さとし	standard	4	1巻(1986-10)→2巻(1980-10-25)	有→無
6	star-red	スター・レッド	萩尾望都	standard	3	2巻(1986-02-20)→3巻(1980-08-20)	有→有
6	super-kid	すーぱあキッド	谷地恵美子	standard	6	1巻(1990-01)→6巻(1984-08-22)	有→有
6	ten-no-hate-made	天の涯まで	池田理代子	bunkobon	3	2巻(1999-05)→3巻(1993-01)	有→有
6	tropical-hanjirou	トロピカル半次郎	高口里純	standard	3	1巻(1988-01)→3巻(1982-07)	有→無
6	ultraman	ウルトラマン	楳図かずお	standard	3	1巻(1984-06-30)→3巻(1978-07-10)	有→無
6	wakaoku-sama-to-seerusuman	若奥様とセールスマン	こいずみまり	standard	3	1巻(2006-03)→2巻(2000-05)	有→有
6	yokubou-pandora	欲望パンドラ	緋月アキラ	standard	5	1巻(2025-08-11)→2巻(2019-12)	有→有
5	81-bunch-no-inu	81番地の犬	西田陽子	standard	5	5巻(2000-02-16)→6巻(1995-12-11)	有→有
5	aburemon	あぶれもん	嶺岸信明	standard	3	2巻(1993-03)→3巻(1988-03-22)	無→有
5	akashiro-tamago	赤白たまご	東宮千子	bunkobon	8	1巻(2012-10)→3巻(2007-05)	有→有
5	akumagari	悪魔狩り	戸土野正内郎	standard	7	1巻(2009-01)→4巻(2004-02-10)	有→有
5	anta-no-dairinin	あんたの代理人	高井研一郎・浅野拓	standard	6	1巻(1993-05)→2巻(1988-10)	有→有
5	asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	日下部拓海・羽柴麟・千村青	standard	25	20巻(2020-09-16)→21巻(2015-04)	有→有
5	aurora-housoukyoku	オーロラ放送局	ますむらひろし	standard	3	2巻(1998-03-30)→3巻(1993-07-01)	有→有
5	baromu-1	バロム・1	さいとう・たかを	standard	3	2巻(2003-02)→3巻(1998-05-28)	有→有
5	eien-no-nohara	永遠の野原	逢坂みえこ	wideban	16	1巻(1995-10-25)→3巻(1990-07)	有→有
5	g-defend	G・defend	森本秀	standard	76	25巻(2015-02)→37巻(2010-08)	有→有
5	gokudoumeshi	極道めし	土山しげる	standard	10	1巻(2012-03)→2巻(2007-10-27)	有→有
5	gunnm-last-order	銃夢last order	木城ゆきと	standard	19	11巻(2014-04)→13巻(2009-04)	有→有
5	hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	田島みるく	standard	10	1巻(2000-06)→2巻(1995-07-27)	有→有
5	houchou-mushuku	包丁無宿	たがわ靖之	standard	45	21巻(1995-01)→22巻(1990-06)	有→有
5	jigyaku-no-uta	自虐の詩	業田良家	standard	5	1巻(1992-04)→2巻(1987-12-25)	有→無
5	junpaku-no-chi	純白の血	篠原烏童	standard	4	3巻(1995-12)→4巻(1990-03-20)	有→無
5	keibu-zenigata	警部銭形	岡田鯛	standard	10	1巻(2017-09-28)→2巻(2012-06)	有→有
5	makyou-gakuen-fuuunki-half-ando-half	魔境学園風雲記ハーフ＆ハーフ	巣田祐里子	standard	3	1巻(2001-05)→2巻(1996-06)	有→有
5	manga-kenkanryu	マンガ嫌韓流	山野車輪	standard	4	1巻(2011-04)→2巻(2006-02)	有→有
5	meitantei-hokenshitsu-no-oba-san	名探偵保健室のオバさん	宮脇明子	wideban	8	1巻(1996-12-21)→2巻(1991-01-25)	有→有
5	mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	水木しげる・野坂昭如	standard	103	23巻(2018-01-04)→27巻(2013-10-03)	有→有
5	nanbonomonja	なんぼのもんじゃ	さだやす圭	standard	4	2巻(1990-05-01)→3巻(1985-08-01)	有→有
5	nippon-chinbotsu	日本沈没	さいとう・プロ	shinsoban	3	1巻(2011-09-26)→2巻(2006-08)	有→有
5	okashina-tensei	おかしな転生	古流望・飯田せりこ・富沢みどり	standard	14	1巻(2023-10)→2巻(2018-12)	有→有
5	sabaku-no-usagi	砂漠のウサギ	M.Wolverine	standard	3	1巻(2017-09)→2巻(2012-12)	有→有
5	sasurai-no-gambler	さすらいのギャンブラー	園山俊二	bunkobon	4	1巻(1981-12-01)→2巻(1976-12-01)	無→無
5	seimaden-1984	聖魔伝	石川賢	standard	4	1巻(1984-05-31)→4巻(1979-01-25)	有→無
5	sutegoma-ichi	捨て駒いち	政岡としや	standard	7	1巻(1987-06-06)→3巻(1982-06)	有→無
5	taitei-no-ken	大帝の剣	夢枕獏・渡海	standard	5	4巻(2015-03-24)→5巻(2010-08)	有→有
5	take-moon	TAKE MOON	武梨えり	standard	2	1巻(2011-12)→2巻(2006-09-01)	有→有
