n	type	imprint	series_key	excluded	isbns
29	standard	HMB	qid:Q2339941|name:あした天気になあれ		9784834271447,9784834271454,9784834271492,9784834271508,9784834271546,9784834271553,9784834271683,9784834271690,9784834271744,9784834271751,9784834271799,9784834271805,9784834271836,9784834271843,9784834271874,9784834271881,9784834271942,9784834271959,9784834272000,9784834272017
28	standard	少年チャンピオン・コミックス	qid:Q11414072|name:荒くれKNIGHT		9784253214919,9784253214926,9784253214933,9784253214940,9784253214957,9784253214964,9784253214971,9784253214988,9784253214995,9784253215008,9784253215015,9784253215022,9784253215039,9784253215046,9784253215053,9784253215060,9784253215077,9784253215084,9784253215091,9784253215107
28	standard	Shotaro world	qid:Q471103|name:サイボーグ009		9784840100199,9784840100205,9784840100298,9784840100304,9784840100489,9784889915778,9784889915907,9784889915969,9784889916102,9784889916287,9784889916515,9784889916720,9784889918397,9784889918403,9784889918700,9784889918717,9784889919011,9784889919059,9784889919127,9784889919134
28	standard	KPC	qid:Q6782739|name:修羅の門	除外レーベル	9784063717051,9784063717068,9784063717099,9784063717174,9784063717310,9784063717396,9784063717501,9784063717563,9784063717730,9784063717808,9784063717914,9784063718010,9784063718133,9784063718249,9784063718362,9784063746914,9784063746921,9784063746938,9784063746969,9784063747010
28	standard	KPC	qid:Q966701|name:金田一少年の事件簿	除外レーベル	9784063533439,9784063534597,9784063715392,9784063716146,9784063717143,9784063717235,9784063718874,9784063719093,9784063719260,9784063719413,9784063719529,9784063719697,9784063719826,9784063719956,9784063740134,9784063740295,9784063740455,9784063740691,9784063740899,9784063741100
27	standard	週刊プレイボーイ・コミックス	name:ゆでたまご|name:キン肉マンⅡ世		9784088574523,9784088574530,9784088574578,9784088574608,9784088574615,9784088574639,9784088574653,9784088574677,9784088574714,9784088574745,9784088574776,9784088574806,9784088574813,9784088574844,9784088574875,9784088574882,9784088574912,9784088574943,9784088574967,9784088574998
27	standard	REKC	name:佐木飛朗斗|name:疾風伝説特攻の拓		9784063510478,9784063510485,9784063510492,9784063510508,9784063510515,9784063510522,9784063510539,9784063510546,9784063510553,9784063510560,9784063510577,9784063510584,9784063510591,9784063510607,9784063510614,9784063510621,9784063510638,9784063510645,9784063510652,9784063510669
27	standard	ヤンマガKC	name:佐木飛朗斗|name:疾風伝説特攻の拓		9784063820652,9784063820669,9784063820805,9784063820812,9784063820850,9784063820867,9784063820980,9784063820997,9784063821093,9784063821109,9784063821284,9784063821321,9784063821437,9784063821543,9784063821680,9784063821833,9784063821918,9784063822021,9784063822137,9784063822229
27	standard	Golgo13 series	qid:Q2661273|name:ゴルゴ13		9784098031504,9784098031924,9784098032143,9784098032600,9784098033041,9784098033263,9784098033744,9784098033928,9784098034130,9784098034536,9784098034741,9784098035267,9784098035793,9784098036073,9784098036653,9784098036851,9784098037117,9784098037728,9784098037926,9784098038374
26	standard	ジャンプコミックスセレクション	name:ゆでたまご|name:キン肉マン		9784834213515,9784834213522,9784834213539,9784834213546,9784834213553,9784834213560,9784834213577,9784834213584,9784834213591,9784834213607,9784834213614,9784834213621,9784834213638,9784834213645,9784834213652,9784834213669,9784834213676,9784834213683,9784834213690,9784834213706
26	standard	講談社プラチナコミックス	qid:Q11398700|name:ジゴロ次五郎	除外レーベル	9784063750690,9784063750881,9784063776065,9784063776362,9784063776591,9784063776799,9784063777055,9784063777253,9784063777420,9784063777604,9784063777703,9784063777857,9784063778069,9784065114971,9784065115312,9784065115329,9784065116104,9784065119037,9784065122785,9784065127148
26	standard	KPC	qid:Q618883|name:ミスター味っ子	除外レーベル	9784063530414,9784063530421,9784063530445,9784063530476,9784063530506,9784063530544,9784063531404,9784063531411,9784063531466,9784063531497,9784063531626,9784063531688,9784063532791,9784063532883,9784063533040,9784063533255,9784063744217,9784063744392,9784063744583,9784063744804
26	standard	Akita top comics wide	qid:Q7497596|name:ドカベン		9784253189514,9784253189521,9784253189538,9784253189545,9784253189569,9784253189576,9784253245616,9784253245623,9784253245630,9784253245647,9784253245654,9784253245661,9784253245678,9784253245685,9784253245692,9784253245708,9784253245821,9784253245838,9784253245845,9784253245852
