slug	title	authors	year	publisher	total_volumes
sign-wa-ui	サインはV!	望月あきら	1976	nihon-bungeisha	20
sahara	サハラ	平野仁	1976	koike-shoin	16
sanruumunite	サンルームにて	竹宮惠子	1976	asahi-sonorama	1
jajako-chan	ジャジャ子ちゃん	赤塚不二夫	1976	shogakukan	2
jirubesutaa-no-hoshi-kara	ジルベスターの星から	竹宮惠子	1976	asahi-sonorama	1
zuuzuushii	ズーズーC	森田拳次	1976	(unknown)	3
chintara-kami-chan	チンタラ神ちゃん	藤子・F・不二雄・藤子不二雄Ⓐ	1976	(unknown)	1
hippii-chan	ヒッピーちゃん	赤塚不二夫	1976	shogakukan	2
pocket-no-naka-no-kisetsu	ポケットの中の季節	樹村みのり	1976	shogakukan	3
mojamoja-oji-chan	モジャモジャおじちゃん	赤塚不二夫	1976	shogakukan	2
raskolnikov-rodion-romanovich	ラスコーリニコフ ロジオン ロマーヌィチ	大島弓子	1976	asahi-sonorama	1
lina	リナ	ちばてつや・八木基克	1976	shueisha	6
rotsukii-no-hanayome	ロッキーの花よめ	原ちえこ・津江沙智子	1976	kodansha	1
marude-dameo	丸出だめ夫	森田拳次	1976	seiunsha	12
ore-no-koshien	俺の甲子園	かざま鋭二・岡本明彦・神保史郎	1976	(unknown)	10
hatsukoi-kyoushitsu	初恋教室	前原滋子	1976	kodansha	1
meijin	名人	赤塚不二夫	1976	shogakukan	2
uchuu-battleship-yamato	宇宙戦艦ヤマト	聖悠紀	1976	(unknown)	3
takarajima	宝島	中沢啓治	1976	shibunsha	2
ninpou-juuban-shoubu-1976	忍法十番勝負	一峰大二・横山光輝・桑田二郎・古城武司・小澤さとる・松本零士・石ノ森章太郎・白土三平・堀江卓	1976	akita	2
kai	怪	楳図かずお	1976	akita	5
kaishouou	海商王	かざま鋭二	1976	kodansha	7
seireigari	精霊狩り	萩尾望都	1976	shogakukan	1
akai-kami-no-shounen	赤い髪の少年	山岸凉子	1976	asahi-sonorama	1
umagayuku	馬がゆく!	石ノ森章太郎	1976	mediafactory	9
tori-no-youni	鳥のように	大島弓子	1976	shogakukan	1
aa-seishun-no-koushien	ああ!青春の甲子園	あだち充	1977	shogakukan	7
asagi-iro-no-densetsu	あさぎ色の伝説	和田慎二	1977	hakusensha	6
