file	slug	rakuten_kana	reason
mirakyurasu	mirakyurasu	ミラキュラス レディバグ アンド シャノワール1	ALIGN_FAIL
miseijuku	miseijuku	ミ セイジュク	ALIGN_FAIL
missile-girlfriends	missile-girlfriends	ミサイル ガール フレンズ	ALIGN_FAIL
mitsukuniden	mitsukuniden	ミツクニデン　イチ	ALIGN_FAIL
mitsuyokon	mitsuyokon	ミツヨコン ツクモガミノヨメゴリョウ	ALIGN_FAIL
mitsuyoshi	mitsuyoshi	ミツヨシ カンケツヘン	ALIGN_FAIL
mockumentaries	mockumentaries	モキュメンタリーズ　イッカン	ALIGN_FAIL
monochrome	monochrome	モノクローム テイトニンポウチョウ	ALIGN_FAIL
monstress	monstress	モンストレス ボリュームイチ	ALIGN_FAIL
montorihito	montorihito	モントリヒト ツキ ノ ツバサ	ALIGN_FAIL
moonlighting	moonlighting	ムーン ライティング	ALIGN_FAIL
mouretsusensei	mouretsusensei	モウレツ センセイ	ALIGN_FAIL
mujirushi	mujirushi	ムジルシ ゴウカバン	ALIGN_FAIL
mukashigatari	mukashigatari	シン ノロイ ノ シリーズ 3 ムカシガタリ	ALIGN_FAIL
muriyari-oshikakemashou	muriyari-oshikakemashou	ムリヤリ オシカケマ ショウ	ALIGN_FAIL
nainaidou	nainaidou	ナイナイドウ タヌキオショウノマガゴトチョウ1	ALIGN_FAIL
nanatsumekozou	nanatsumekozou	ナナツメ コゾウ	ALIGN_FAIL
nanbonomonja	nanbonomonja	ナンボ ノ モンジャ	ALIGN_FAIL
nankyoku-hyouryuuki	nankyoku-hyouryuuki	ナンキョク ヒョウリュウキ エンデュアランスゴウ ノ キセキ	ALIGN_FAIL
nanseiheki	nanseiheki	クライマー レツデン	ALIGN_FAIL
natsukatsu	natsukatsu	ナツカツ ショクギョウコウコウヤキュウカントク	ALIGN_FAIL
nekodamari	nekodamari	ネコダマリ　イチ	ALIGN_FAIL
nekomekozou	nekomekozou	ネコメ コゾウ	ALIGN_FAIL
nickelodeon	nickelodeon	ニッケルオデオン アカ	ALIGN_FAIL
night-adultchildren	night-adultchildren	ナイト アダルト チルドレン	ALIGN_FAIL
nikuirozukan	nikuirozukan	ニクシヨク ズカン	ALIGN_FAIL
nikyuutenshi	nikyuutenshi	ニキュウ テンシ	ALIGN_FAIL
ningendomo-atsumare	ningendomo-atsumare	テズカ オサム マンガ ゼンシュウ	ALIGN_FAIL
ningyohensei	ningyohensei	ニンギョ ヘンショウ	ALIGN_FAIL
ninjashiden	ninjashiden	ニンジャ シデン カンゼンバン	ALIGN_FAIL
nodame-illustrations	nodame-illustrations	ノダメ イラストレーシヨンズ ノダメ カンタービレ イラストシユウ	ALIGN_FAIL
nonnonbaa	nonnonbaa	ミズキ シゲル ノ フシギナ セカイ	ALIGN_FAIL
nuinonaoshiya	nuinonaoshiya	ヌイノナオシヤ　イチ	ALIGN_FAIL
nukitashi	nukitashi	ヌキタシ ヌキゲーミタイナシマニスンデルワタシハドウスリャイイデスカ	ALIGN_FAIL
nusumareta-honeymoon	nusumareta-honeymoon	シバタ マサヒロ ケッサクシュウ	ALIGN_FAIL
nyaliwood	nyaliwood	ニャリウッド！1 ニャリウッド　スタジオズ　シリーズ エイガダイスキマズルカチャン	ALIGN_FAIL
ochikobore	ochikobore	オチコボレ イチ	ALIGN_FAIL
odaichoudai	odaichoudai	オダイ チョウダイ	ALIGN_FAIL
odalisque	odalisque	オダリスク ジョウ	ALIGN_FAIL
okibariyasu	okibariyasu	オキバリヤス　イチ	ALIGN_FAIL
onigoroshi	onigoroshi	オニゴロシ イチ	ALIGN_FAIL
oniharuten	oniharuten	キジン ルテン	ALIGN_FAIL
oniichanrabo	oniichanrabo	オニイチャン ラボ	ALIGN_FAIL
onitotengoku	onitotengoku	オニトテンゴク　キュウ	ALIGN_FAIL
onmitsukenshi	onmitsukenshi	オンミツ ケンシ	COLLISION:onmitsu-kenshi
onnagarasu	onnagarasu	レディ クロウ	ALIGN_FAIL
ooinarushoubu	ooinarushoubu	オオイナル シヨウブ	ALIGN_FAIL
orenietsuushin	orenietsuushin	オレンチ ツウシン	ALIGN_FAIL
osakimochi	osakimochi	オサキモチ オオエド ヨウキタン	ALIGN_FAIL
oshigerinanshi	oshigerinanshi	オシゲリ ナンシ ロウチョウ タンテイ フヨウ ノ ヨトギバナシ	ALIGN_FAIL
otogibanashi-tsuzuku	otogibanashi-tsuzuku	フカミ ジュン ジセンシュウ	ALIGN_FAIL
otokomichi	otokomichi	オトコミチ アクドウヘン	ALIGN_FAIL
otoyomegatari	otoyomegatari	オトヨメガタリ1カン ビームコミックス	ALIGN_FAIL
ougonnotsubasa	ougonnotsubasa	ギンガ エイユウ デンセツ ガイデン オウゴン ノ ツバサ	ALIGN_FAIL
outsiders	outsiders	アウトサイダーズ　イチ	ALIGN_FAIL
pandemoniumu	pandemoniumu	パンデモニウム マジュツシノムラ	ALIGN_FAIL
panyukisu	panyukisu	パニュキス ヤマギシリョウコゼンシュウ　24	ALIGN_FAIL
