decision	tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	publisher	g_pub	g_isbn	g_date	g_author	g_token	g6	g7	g8	prev_num	prev_isbn	next_num	next_isbn	decision_why	source	cover
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	10	LEAD	9784088583105	1992-07-08	めざせ漫画家!手塚・赤塚賞受賞作品集 10		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	11	LEAD	9784088583815	1993-02-09	めざせ漫画家!手塚・赤塚賞受賞作品集 11		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	seed4	0	standard	通常版	ジャンプ・コミックスデラックス	12	LEAD	9784088583822	1993-07	めざせ漫画家!手塚・赤塚賞受賞作品集. 12		集英社	集英社	o	o	o	?	o	o	o	o			13	9784088583839	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	nekomimi-shoujo-wa-mori-de-slow-life-o-okuritai	猫耳少女は森でスローライフを送りたい	seed4	0	standard	通常版	Bamboo comics. 異世界BC	1	LEAD	9784801984189	2024-09	猫耳少女は森でスローライフを送りたい : もふもふは所望しましたが、聖女とか王子様とかは注文外です. 1	yocco, pub. 2021/東385	竹書房	竹書房	o	o	o	o	o	o	o	o			2	9784801985933	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	odake-no-chounan-ni-umaremashita	織田家の長男に生まれました	seed4	0	standard	通常版	SHŌNEN CHAMPION COMICS	12	MID	9784253018029	2026-07	織田家の長男に生まれました : 戦国時代に転生したけど、死にたくないので改革を起こします. 12	大沼田, 伊勢彦/逸見, 兎歌	秋田書店	秋田書店	o	o	o	o	o	o	o	o	11	9784253012102	13	9784253020633	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	onikogi	オニコギ	seed4	0	standard	通常版	HCヒーローズコミックス	1	LEAD	9784864681995	2023-10	オニコギ. 1	真崎, 福太郎	ヒーローズ	小学館クリエイティブ	o	o	o	o	o	x	o	o			2	9784864682657	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	rekitan	レキタン!	seed4	0	standard	通常版	小学館学習まんがシリーズ	1	LEAD	9784092966079	2013-10	レキタン! 1	てしろぎ, たかし, 1963-/大石, 学, 1953-/東野, 治之, 1946-	小学館	小学館	o	o	o	o	o	o	o	o			6	9784092966123	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	rekitan	レキタン!	seed4	0	standard	通常版	小学館学習まんがシリーズ	2	LEAD	9784092966086	2013-10	レキタン! 2	てしろぎ, たかし, 1963-/大石, 学, 1953-/小和田, 哲男, 1944-/布川, 了, 1925-2013	小学館	小学館	o	o	o	o	o	o	o	o			6	9784092966123	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	rekitan	レキタン!	seed4	0	standard	通常版	小学館学習まんがシリーズ	3	LEAD	9784092966093	2013-10	レキタン! 3	てしろぎ, たかし, 1963-/大石, 学, 1953-/東野, 治之, 1946-/横浜人形の家	小学館	小学館	o	o	o	o	o	o	o	o			6	9784092966123	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	rekitan	レキタン!	seed4	0	standard	通常版	小学館学習まんがシリーズ	4	LEAD	9784092966109	2014-03	レキタン! 4	てしろぎ, たかし, 1963-/小和田, 哲男, 1944-/小桧山, 六郎, 1946-/東野, 治之, 1946-	小学館	小学館	o	o	o	o	o	o	o	o			6	9784092966123	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	rekitan	レキタン!	seed4	0	standard	通常版	小学館学習まんがシリーズ	5	LEAD	9784092966116	2014-03	レキタン! 5	てしろぎ, たかし, 1963-/小和田, 哲男, 1944-/東野, 治之, 1946-	小学館	小学館	o	o	o	o	o	o	o	o			6	9784092966123	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	sagesumareta-reijou-wa-daini-no-jinsei-de-akogare-no-renkinjutsushi-no-michi-o-erabu	蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ	seed4	0	standard	通常版	フロースコミック	1	LEAD	9784046826534	2023-07	蔑まれた令嬢は、第二の人生で憧れの錬金術師の道を選ぶ : 夢を叶えた見習い錬金術師の第一歩. 1	あろえ	KADOKAWA	KADOKAWA	o	o	o	o	o	o	o	o			2	9784046845825	版元o+ISBN連番o+日付o	ndl	
APPLY	ACCEPT	saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う	seed4	0	standard	通常版	ISEKAI	1	LEAD	9784838732906	2024-09	最底辺であがく僕は、異世界で希望に出会う : 自分だけゲームのような異世界に行けるようになったので、レベルを上げてみんなを見返します. 1	片山, 誠/風の吹くまま気の向くまま	マガジンハウス	マガジンハウス	o	o	o	o	o	o	o	o			2	9784838733163	版元o+ISBN連番o+日付o	ndl	
