class	isbn	ym	title	author	publisher	slug	reason
zokkan	9784088944197	2026-11	しれっとすげぇこと言ってるギャル。 6 -私立パラの丸高校の日常ー	おつじ/松浦 太一（Plott）	集英社	shiretsu-to-sugee-koto-itteru-gal	
zokkan	9784088942728	2026-11	ダイヤモンドの功罪 11	平井 大橋	集英社	diamond-no-kouzai	
zokkan	9784088944555	2026-11	許嫁が出来たと思ったら、その許嫁が学校で有名な『悪役令嬢』だったんだけど、どうす	森 あいり/疎陀 陽/みわべ さくら	集英社	iinazuke-ga-dekita-to-omottara-sono-iinazuke-ga-gakkou-de-yuumei-na-akuyaku-reijou-dattandakedo-dou	
zokkan	9784088943121	2026-11	げにかすり 5	迫 稔雄	集英社	geni-kasuri	
zokkan	9784088944302	2026-11	ヴァルハラ・オティンティン館 9	夕仁/求嵐/萌木 雄太	集英社	varuhara-oteinteinkan	
zokkan	9784088944388	2026-11	俺はまだ、本気を出していないDX 8	二宮 カク/三木 なずな/さくらねこ	集英社	ore-wa-mada-honki-o-dashite-inai-dx	
zokkan	9784088944548	2026-11	エルフ奴隷と築くダンジョンハーレム 6 -異世界で寝取って仲間を増やしますー	ツキシタ カグヤ/火野 あかり/ねいび	集英社	elf-dorei-to-kizuku-dungeon-harem	
zokkan	9784088944494	2026-11	キングダム 81	原 泰久	集英社	kingdom	
zokkan	9784088944166	2026-11	ラジエーションハウス 21	モリ タイシ/横幕 智裕	集英社	radiation-house	
zokkan	9784088944159	2026-11	ドラフトキング 27	クロマツ テツロウ	集英社	draft-king	
zokkan	9784592167204	2026-11	紫雲寺家の子供たち 11	宮島 礼吏	白泉社	shiunjike-no-kodomotachi	
zokkan	9784045003202	2026-11	喫茶ニュー魔王城 4	山本　四角	KADOKAWA	kissa-new-maoujou	
zokkan	9784045003196	2026-11	ゆかいな神統記 4	尾羊　英	KADOKAWA	yukai-na-shintouki	
zokkan	9784785983185	2026-11	悪役令嬢転生おじさん 11	上山 道郎	少年画報社	akuyaku-reijou-tensei-oji-san	
zokkan	9784785983178	2026-11	近野智夏の腐じょうな日常 10	渡邊 ダイスケ/大羽 隆廣	少年画報社	konno-chinatsu-no-fujou-na-nichijou	
zokkan	9784785983192	2026-11	女神の加護を受けしママのサーガ 4	塩野 干支郎次	少年画報社	megami-no-kago-o-ukeshi-mama-no-saga	
