sid	series_key	title	kana	n_isbn	isbn1
104594	name:桃季さえ|name:木嶋くんのキケンな学園祭❤	木嶋くんのキケンな学園祭❤	キジマクン ノ キケンナ ガクエンサイ	1	9784832289789
104595	name:桃季さえ|name:木嶋くんのドキドキお泊まり❤	木嶋くんのドキドキお泊まり❤	キジマクン ノ ドキドキ オトマリ	1	9784832289949
104596	name:桃季さえ|name:木嶋くんの恋愛試験	木嶋くんの恋愛試験	キジマクン ノ レンアイ シケン	1	9784832289208
104597	name:桃季さえ|name:木嶋くんの温泉パニック♪	木嶋くんの温泉パニック♪	キジマクン ノ オンセン パニック ♪	1	9784832290471
104598	name:桃季さえ|name:木嶋兄が狙われてます。	木嶋兄が狙われてます。	キジマ アニ ガ ネラワレテマス	1	9784832290174
104599	name:桃季さえ|name:木嶋兄に誘われてます。	木嶋兄に誘われてます。	キジマ アニ ニ サソワレテマス 。	1	9784832290822
104600	name:桃季さえ|name:木嶋兄は我慢できません。	木嶋兄は我慢できません。	キジマ アニ ワ ガマンデキマセン 。	1	9784832290594
104602	name:糺ノ森たゆた|name:木彫り猫の息吹	木彫り猫の息吹	キボリネコ ノ イブキ	1	9784785961794
104604	name:三浦しをん|name:木暮荘物語	木暮荘物語	コグレソウ モノガタリ	1	9784396765347
104605	name:高森いづる|name:木曜日には心が熱い	木曜日には心が熱い	モクヨウビ ニワ ココロ ガ アツイ	1	9784253091022
104606	name:桜山かずみ|name:木曜日のバニラ	木曜日のバニラ	モクヨウビ ノ バニラ	1	9784088477091
104607	name:藤臣花恋|name:木曜日の委員長	木曜日の委員長	モクヨウビ ノ イインチョウ	1	9784887417724
104614	name:三宅雅子|name:木曽三川治水物語	木曽三川治水物語	キソ サンセン チスイ モノガタリ	1	9784906069224
104616	name:木村魚拓|name:木村魚拓のパチスロ漫画G	木村魚拓のパチスロ漫画G	キムラ ギョタク ノ パチスロ マンガ ジー	1	9784865355307
104618	name:結城みつる|name:木漏れ日の並木道	木漏れ日の並木道	コモレビ ノ ナミキミチ	1	9784840234139
104619	name:小山田ダダ|name:木瀬四兄弟のジンギなき戦い	木瀬四兄弟のジンギなき戦い	コノセ ヨンキョウダイ ノ ジンギ ナキ タタカ	1	9784865549027
104622	name:アサミ・マート|name:木造迷宮別館	木造迷宮別館	モクゾウ メイキュウ ベッカン	1	9784199502088
104625	name:暮田マキネ|name:木陰の欲望	木陰の欲望	コカゲ ノ ヨクボウ	1	9784801954335
104626	name:ジェーン・スー|name:未中年	未中年	ミチュウネン	1	9784107719683
104630	name:乙丸|name:未亡人義母との禁じられた日々	未亡人義母との禁じられた日々	ミボウジン ギボ トノ キンジラレタ ヒビ	1	9784862975782
