kind	season	anime_title	page_slug	gensaku
A_LINKED/AL側に居る	2026-SPRING	カードファイト!! ヴァンガード 15周年リマスター		ブシロード 伊藤彰 連載：ケロケロエース（角川書店刊） コンプエース（角川書店刊）
A_LINKED/AL側に居る	2026-SPRING	僕のヒーローアカデミア More		堀越耕平 （集英社ジャンプ コミックス刊）
A_LINKED/AL側に居る	2026-SPRING	終末のワルキューレⅢ		｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）
A_LINKED/AL側に居る	2026-SUMMER	BEYBLADE X 真・未来編		BEYBLADE X （小学館「月刊コロコロコミック」連載）［作］ 河本ほむら 武野光 ／ ［漫画］出水ぽすか
A_LINKED/AL側に居る	2026-SUMMER	刃牙道 第2クール	bakidou	板垣恵介 『 刃牙道 』（秋田書店「少年チャンピオン・コミックス」刊）
A_LINKED/AL側に居る	2026-WINTER	アンデッドアンラック ウィンター編	undead-unluck	戸塚慶文 「 アンデッドアンラック 」（集英社 ジャンプコミックス刊） 監督/絵コンテ/演出：朴性厚
A_LINKED/AL側に居る	2026-WINTER	終末のワルキューレⅢ		｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）
A_LINKED/AL側に居る	2027-WINTER	THE ONE PIECE		尾田栄一郎 （集英社「 週刊少年ジャンプ 」連載）
B_頁有りアニメ行なし	2012-FALL	蒼い世界の中心で	aoi-sekai-no-chuushin-de	クリムゾン、アナスタシア・シェスタコワ（マイクロマガジン社刊）
B_頁有りアニメ行なし	2012-SPRING	ZETMAN	zetman	桂正和（集英社「週刊ヤングジャンプ」連載）
B_頁有りアニメ行なし	2012-SPRING	キングダム 第1シリーズ	kingdom	原泰久 『 キングダム 』（集英社「ヤングジャンプ」連載中）
B_頁有りアニメ行なし	2012-WINTER	BRAVE10	brave-10	霜月かいり (メディアファクトリー｢月刊コミックジーン｣連載中)
B_頁有りアニメ行なし	2013-FALL	COPPELION	coppelion	井上智徳 講談社｢月刊ヤングマガジン｣連載 監督・キャラクターデザイン：鈴木信吾
B_頁有りアニメ行なし	2014-SUMMER	ちょぼらうにょぽみ劇場第二幕 あいまいみー -妄想カタストロフ-	aimaimii	ちょぼらうにょぽみ「あいまいみー」 掲載：「まんがライフWIN」 発行：竹書房 監督・脚本・演出：いまざきいつき キャラクターデザイン・作画監督：いまざきいつき
B_頁有りアニメ行なし	2014-WINTER	pupa	pupa	茂木清香（アース・スターエンターテイメント『月刊コミック アース・スター』連載）
B_頁有りアニメ行なし	2016-SPRING	SUPER LOVERS	super-lovers	あべ美幸（株式会社KADOKAWA／「エメラルド」連載中）
B_頁有りアニメ行なし	2021-WINTER	岸辺露伴は動かない	kishibe-rohan-wa-ugokanai	荒木飛呂彦 （集英社ジャンプ コミックス刊） 監督・脚本：加藤敏幸
B_頁有りアニメ行なし	2022-FALL	女体化した僕を騎士様達がねらってます	nyotaika-shita-boku-o-kishisamatachi-ga-nerattemasu	祈みさき 漫画原作：やかん
B_頁有りアニメ行なし	2022-WINTER	岸辺露伴は動かない	kishibe-rohan-wa-ugokanai	荒木飛呂彦 （集英社ジャンプ コミックス刊） 監督・脚本：加藤敏幸
B_頁有りアニメ行なし	2023-SUMMER	スプリガン	spriggan	たかしげ宙 皆川亮二 「 スプリガン 」（小学館「少年サンデーコミックス」刊）
B_頁有りアニメ行なし	2026-SPRING	姫騎士は蛮族（バルバロイ）の嫁	himekishi-wa-barubaroi-no-yome	コトバノリアキ （講談社「別冊少年マガジン」連載）
C_頁なし	2012-FALL	銀魂' 延長戦		空知英秋 連載：「 週刊少年ジャンプ 」 発行：集英社 監修：高松信司
C_頁なし	2014-WINTER	銀の匙 Silver Spoon 第2期		荒川弘 （小学館「 週刊少年サンデー 」連載）
