分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	doesu-obake-ga-nekasete-kurenai	ドSおばけが寝かせてくれない	None	Charles Comics	三交社	3	97848155x2	978487919x1	9784879197771
HEAD(前半別社)	doku-doku-mori-mori	どく・どく・もり・もり	None	HCヒーローズコミックス	小学館クリエイティブ	5	978486805x3	978486468x2	9784864682008,9784864682459
HEAD(前半別社)	dokusai-club	毒妻クラブ	None	Bamboo comics	竹書房	3	97848019x2	97848124x1	9784812485705
HEAD(前半別社)	double-gauge	ダブルゲージ	None	MFコミックス	KADOKAWA	6	978404x5	97848401x1	9784840147293
HEAD(前半別社)	doukyonin-wa-hiza-tokidoki-atama-no-ue	同居人はひざ、時々、頭のうえ。	None	POLARIS COMICS	フレックスコミックス	12	978486675x8	9784593x4	9784593881161,9784593881277,9784593881390,9784593881550
HEAD(前半別社)	dragon-4-esuto-monsters-terii-no-wonderland-4koma-manga-gekijou	ドラゴンクエストモンスターズ テリーのワンダーランド 4コママンガ劇場	None	ドラクエ4コママンガ劇場シリーズ	エニックス	5	97847575x3	978487025x2	9784870254367,9784870254695
HEAD(前半別社)	dragon-quest-tenkuu-monogatari	ドラゴンクエスト 天空物語	None	ギャグ王コミックス	エニックス	11	97847575x8	978487025x3	9784870252653,9784870253810,9784870254633
HEAD(前半別社)	drc2	Drc2	None	Blade comics	マッグガーデン	3	97848000x2	978486127x1	9784861279508
HEAD(前半別社)	dream-gold	ドリムゴード	None	Blade comics	マッグガーデン	5	978486127x4	9784901926x1	9784901926751
HEAD(前半別社)	eat-man	EAT-MAN	None	電撃コミックス	メディアワークス	19	97848402x10	978407x9	9784073054610,9784073059691,9784073064954,9784073069928,9784073084426,9784073091
HEAD(前半別社)	eden-no-tohoku	エデンの東北	None	Bamboo comics	竹書房	20	97848019x12	97848124x6 / 978488475x2	9784812481776,9784884757113,9784884758059,9784812450093,9784812451045,9784812451
HEAD(前半別社)	eeaaru-maruchipuru-savaivu	AR/MS(マルチプル・サヴァイヴ)!!	None	MeDu COMICS	ジーオーティー	6	97848236x4	97848148x2	9784814801534,9784814802180
HEAD(前半別社)	erementar-gerad	EREMENTAR GERAD	None	Blade comics	マッグガーデン	18	978486127x14	9784901926x4	9784901926041,9784901926195,9784901926379,9784901926690
HEAD(前半別社)	esuranku-boukensha-de-aru-ore-no-musumetachi-wa-juudo-no-fazakon-deshita	Sランク冒険者である俺の娘たちは重度のファザコンでした	None	ガルドコミックス	オーバーラップ	12	97848240x10	978486554x2	9784865547900,9784865549638
HEAD(前半別社)	euromanga	euromanga	None	None	飛鳥新社	3	978486410x2	978487031x1	9784870318571
HEAD(前半別社)	fenrir-kaa-san-to-attaka-gohan-attomaaku-comic	フェンリル母さんとあったかご飯@COMIC	None	コロナ・コミックス	TOブックス	3	978486699x2	978486472x1	9784864728775
HEAD(前半別社)	fire-emblem-fuyuki-1999	ファイアーエムブレム	None	GANGAN WING COMICS	エニックス	5	97847575x4	978487025x1	9784870254725
HEAD(前半別社)	freezing	フリージング	None	ヴァルキリーコミックス	キルタイムコミュニケーション	33	97847992x24	978486032x9	9784860324742,9784860325701,9784860326500,9784860327392,9784860327873,9784860328
HEAD(前半別社)	fukakai-na-boku-no-subete-o	不可解なぼくのすべてを	None	MeDu COMICS	ジーオーティー	5	97848236x3	97848148x2	9784814801527,9784814802036
HEAD(前半別社)	fukushima-note	ふくしまノート	None	SUKUPARA SELECTION	竹書房	3	97848019x2	97848124x1	9784812494004
HEAD(前半別社)	fukushuu-kansuisha-no-jinsei-nishuume-isekai-tan	復讐完遂者の人生二周目異世界譚	None	Ride Comics	マイクロマガジン社	10	978486716x9	978489637x1	9784896379365
HEAD(前半別社)	furyou-taimashi-reina	不良退魔師レイナ	None	LINE COMICS	LINE Digital Frontier	6	978486697x4	9784909767x2	9784909767530,9784909767769
HEAD(前半別社)	fushidarana-hanatsumi-otoko	ふしだらな花摘み男	None	Daria comics	フロンティアワークス	3	978486657x2	978486134x1	9784861349850
HEAD(前半別社)	fushinokami	フシノカミ	None	ガルドコミックス	オーバーラップ	10	97848240x9	978486554x1	9784865549621
HEAD(前半別社)	fuuma-no-kojirou	風魔の小次郎	None	ジャンプ・コミックス	集英社	10	978408x8	9784253x1 / 97848342x1	9784253231312,9784834212921
HEAD(前半別社)	gacha-o-mawashite-nakama-o-fuyasu-saikyou-no-bishoujo-gundan-o-tsukuriagero	ガチャを回して仲間を増やす最強の美少女軍団を作り上げろ	None	Ride Comics	マイクロマガジン社	12	978486716x9	978489637x3	9784896378214,9784896378788,9784896379594
