slug	title	reason
injuu		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
jigoku-shoujo-enma-ai-selection-geki-kowa-story		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
a-peanuts-book-special-featuring-snoopy		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
tamaranai-etchi-na-taiken-oshiemasu		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
jitsuwa-maji-de-kowaai-hanashi		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
mobile-suit-gundam-f91		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
reikansha-no-file		断片主+完全版型(刷タブでなく主置換が要る=solo-truncated級per-case)
ultraman-story-0	ウルトラマンstory 0	番号 [1, 2, 3, 4, 5, 6] labs=['セブン+ジャック編', 'ゾフィー編']
operation-g-g	オペレーションG.G	番号 [] labs=['オルレアンの薔薇', 'スールー海の虹', '独裁者のゲーム', '血塗られし黄金郷', '鋼鉄の一角獣']
kafuu-ni-naritai	荷風になりたい	番号 [1] labs=['承ノ篇', '結ノ篇', '起ノ篇', '転ノ篇']
taiyou-no-kiba-daguramu	太陽の牙ダグラム	番号 [1, 2, 3] labs=['上', '下']
reigen-suhou-mandala	霊験修法曼荼羅	volume_labelにdrop語(特集号等)
tezuka-osamu	手塚治虫	著者不一致(上下)
za-best-bout-obu-baki	ザ・ベスト・バウトオブ刃牙	番号 [1] labs=['烈海王編']
meitantei-conan-seikimatsu-no-majutsushi	名探偵コナン 世紀末の魔術師	drop系
meitantei-conan-tengoku-eno-kauntodaun	名探偵コナン 天国へのカウントダウン	著者不一致(上下)
meitantei-conan-shikkoku-no-chaser	名探偵コナン 漆黒の追跡者	番号 [1, 3] labs=['上', '下']
soul-reviver-south	ソウルリヴァイヴァーsouth	番号 [1, 3] labs=['上', '下']
wagahai-wa-neko-de-aru	吾輩は猫である	番号 [1] labs=['上']
akage-no-an-1983	赤毛のアン	著者不一致(上下)
yoru-no-suit	夜の戦士	著者不一致(上下)
yamigashi	闇貸師	番号 [1] labs=['闇の統率者編', '闇の覚悟編']
engage-1994	Engage	著者不一致(上下)
shichinin-no-samurai	七人の侍	著者不一致(上下)
nibelung-no-yubiwa-2003	ニーベルングの指環	著者不一致(上下)
meitantei-conan-ijigen-no-sniper	名探偵コナン 異次元の狙撃手	著者不一致(上下)
meitantei-conan-junkoku-no-nightmare	名探偵コナン純黒の悪夢	著者不一致(上下)
jigoku-yuugi	地獄遊戯	著者不一致(上下)
hibiki-2006	響	著者不一致(上下)
houou-no-tsubasa	鳳凰の翼	著者不一致(上下)
