first_date	latest_date	n_vols	slug	title	missing	genres	authors
1993-11-20	1993-11-20	5	eden-no-ki	エデンの樹	both	fantasy,drama,supernatural	河野やす子
1992-03-01	1993-12-25	5	gokudou-otoko-juku	極道おとこ塾	both	action,comedy	宮田淳一
1992-03-06	1994-01-06	5	doll-1992	真弾劾凰聖伝DOLL	both	fantasy,romance	平野俊弘
1992-03-16	1994-02-16	5	sakinokuchibiru	早紀の唇	both	romance,drama	雨宮淳
1993-06-15	1994-02-20	5	shuuji	Shuji-修二-	both	sports,drama	みやたけし
1993-04-25	1994-02-25	5	dai-fuyuusen-jidai	大浮遊船時代	both	adventure	乃美康治
1978-11-15	1994-04-30	5	uchuu-kaizoku-captain-harlock	宇宙海賊キャプテンハーロック	both	sci-fi	松本零士
1992-10-23	1994-05-23	5	jigoku-no-ie	地獄の家	both	horror,drama	GONTA
1994-06-08	1994-06-08	5	ryoji	RYOJI	both	drama,action	麻生歩
1993-03-13	1994-06-13	5	hip-ni-rori-pop	Hipにロリポップ	both	romance,school	富永裕美
1992-02-15	1994-06-15	5	gyanburu-ouji-arashi	ギャンブル王子 嵐	both	sports,action	中島徹
1993-05-22	1994-07-22	5	tsuyoshi-motto-shikkari-shinasai	ツヨシもっとしっかりしなさい	catch	comedy,drama,romance,slice-of-life	永松潔
1988-08-19	1994-09-19	5	magnitude9-99	MAGNITUDE9.99	both	comedy,drama	岩谷テンホー
1991-11-22	1994-09-22	5	aa-yuutenjike	嗚呼!祐天寺家	both	comedy,drama	亜月裕
1992-12-25	1994-09-25	5	barcode-fighter	バーコードファイター	catch	action,mecha,sci-fi	小野敏洋
1994-04-20	1994-10-15	5	jashin-sensen-risutora-boy	邪神戦線リストラ・ボーイ	both	action,horror,supernatural,suspense	細馬信一
1993-06-25	1994-10-25	5	seek	Seek	both	romance,drama	夏生ひばり
1994-02-15	1994-11-05	5	shindokudamisou	新・どくだみ荘	both	comedy,slice-of-life	福谷たかし
1994-06-09	1994-12-01	5	kanben	かんべん	both	comedy	小野新二
1993-04-06	1995-01-09	5	ban	BAN!	both	action,comedy	赤司かずたか
1993-04-16	1995-01-28	5	high-heel-bomb	ハイヒールBOMB!!	both	comedy,drama	春日光広
1995-01-10	1995-02-10	5	suhada-no-rinbu	素肌の輪舞	both	romance,drama	如月次郎
1992-07-13	1995-02-13	5	pony-tail	Pony Tail	both	romance,school	小野弥夢
1995-02-22	1995-02-22	5	princess-minerva	プリンセス・ミネルバ	both	fantasy,action	石田走
1994-05-27	1995-02-24	5	bon	Bon	both	drama	工藤かずや/鈴木岳生
1994-07-15	1995-03-16	5	gakkou-no-kowai-uwasa	学校の怖い噂	both	horror,supernatural	ひきた美幸
1993-11-17	1995-03-16	5	tamashii-gari	邪魂狩り	both	fantasy,horror,action	野々村秀樹
1987-10-23	1995-03-29	5	manmaru-highschool	まんまるハイスクール	both	comedy	細井玲子
1993-12-10	1995-04-25	5	choujin-esushi-no-funsen	超人S氏の奮戦	both	comedy,action	どおくまん
1989-09-05	1995-07-18	5	shounen-jidai	少年時代	both	historical,drama,slice-of-life	藤子不二雄Ⓐ
1992-06-15	1995-07-25	5	best-friend	ベスト・フレンド	both	romance,school,drama	原田智子
1994-10-21	1995-08-23	5	chouai-no-hito	超愛の人	both	essay,drama,romance	成田アキラ
1995-04-21	1995-08-28	5	shinpen-kaze-no-rondo	新編 風の輪舞	both	romance,drama	津雲むつみ
1995-08-30	1995-08-30	5	iyahaya-nantomo	イヤハヤ南友	syn	comedy	永井豪＆ダイナミック・プロ
1993-04-30	1995-08-31	5	angel-blood	エンジェル・ブラッド	both	supernatural,romance	美和卯月
1993-11-04	1995-09-04	5	because	Because…	both	romance,school	滝井寿紀
1968-12-25	1995-09-10	5	patman-x	パットマンX	both	comedy,action	ジョージ秋山
1993-09-24	1995-09-25	5	kocchi-muite-chu	こっちむいてチュ❤	both	romance,school	佐野未央子
1994-12-15	1995-10-15	5	kureyon-shin-chan-gemu-book	クレヨンしんちゃんゲームブック	both	comedy	土門トキオ
1995-01-01	1995-10-19	5	hanamaru-manga	花丸漫画	both	bl	高永ひなこ
1995-02-17	1995-10-19	5	poroshatsu-to-appaakatto	ポロシャツとアッパーカット	both	sports,drama	三田紀房
1994-04-22	1995-11-22	5	youkai-ningen-bem-returns	妖怪人間ベムRETURNS	both	adventure,horror	津島直人
