slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
blue-sakisaka-2006	BLUE	overrides	1	shinsoban	フラワーコミックス	フラワーコミックス	小学館	6	[1, 2, 3, 4, 5]	[6, 7]	9784091338488	2011-06-29	[0, 2, 3, 4]
cinderella-no-mori	シンデレラの森	overrides	0	standard	セブンティーン・コミックス			2	[1]	[2, 3]	9784088543482	1987-11-05	[1]
cosmos-rakuenki	コスモス楽園記	seed4	0	deluxe	デラックス版	KC deluxe	スコラ	2	[1]	[2, 3, 4, 5]	9784061037809	1988-06-23	[1, 2]
denpa-odyssey	電波オデッセイ	canon:extra[1]	2	shinsoban	ASPECT COMIX	ASPECT COMIX	アスペクト	2	[1]	[2, 3]	9784893669537	1998-03-09	[0, 3]
dokaben-super-sutaazuhen	ドカベン スーパースターズ編	seed4	1	bunkobon	文庫版	秋田文庫	秋田書店	15	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]	[15, 16, 17, 18, 19, 20, 21, 22]	9784253178358	2011-04	[0]
double-call	Double call	canon:extra[0]	1	shinsoban	新装版(海王社)	KAIOHSHA COMICS GUSH COMICS	海王社	2	[1]	[2, 3]	9784877243739	2004-10-09	[0]
dr-typhoon	Dr.タイフーン	overrides	1	wideban	ワイド版(1996)		双葉社	2	[1]	[2, 3, 4, 5, 6, 7, 8]	9784575934564	1996-07	[0]
fire-emblem-nintendo-1996	ファイアーエムブレム	seed4	1	standard	通常版	メディアファクトリー	メディアファクトリー	12	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[12, 13, 14, 15, 16]	9784889917741	2001-02-23	[0]
g-defend	G・defend	seed4	0	bunkobon	文庫版	冬水社文庫	冬水社	4	[1, 2, 3]	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	9784887417847	2007-08	[1]
gessekai-ryokou	月世界旅行	seed4	1	standard	通常版		SBクリエイティブ	2	[1]	[2, 3]	9784797377125	2014-09-16	[0]
go-west-2004	Go!west	canon:extra[0]	1	shinsoban	ムービック版(1993)	ムービック版(1993)	ムービック	5	[1, 2, 3, 4]	[5, 6]	9784896010770	1993-10	[0, 2, 3]
go-west-2004	Go!west	canon:extra[2]	3	shinsoban	fukkan.com	fukkan.com	復刊ドットコム	2	[1]	[2, 3]	9784835440873	2004-02	[0, 2]
gunnm-last-order	銃夢last order	canon:extra[1]	2	shinsoban	KCDX	KCDX	講談社	11	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[11, 12, 18, 19]	9784063769913	2014-04	[0, 1]
haguhagu	はぐはぐ	seed4	0	standard	通常版	アクションコミックス	双葉社	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]	9784575933222	1993-03-12	[1]
hamster-club	ハムスター倶楽部	seed4	0	standard	通常版	スコラLC	スコラ	4	[1, 2, 3]	[4, 5, 6]	9784796287883	1997-03-15	[1]
hanashippanashi	はなしっぱなし	seed4	0	deluxe	デラックス版	アフタヌーンKCデラックス	講談社	2	[1]	[2, 3]	9784063197075	1996-06-21	[1]
hi-hi-hi	Hi Hi Hi!	seed4	0	standard	通常版	ACTION COMICS	双葉社	2	[1]	[2, 3]	9784575931037	1987-12	[1]
