slug	title	seed_max	page_max	missing	status	title_id	next_cid
ikusei-jouzu-na-boukensha-youjo-o-hiroi-second-life-o-ikuji-ni-sasageru	育成上手な冒険者、幼女を拾い、セカンドライフを育児に捧げる	5	6	1	ongoing	1705558	1705558_006
tonari-no-kyuutei-ryourinin	となりの宮廷料理人	3	4	1	ongoing	1849336	1849336_004
saidokikku	サイドキック	4	5	1	ongoing	20106519	20106519_005
rea-monster-sore-tada-no-gaichuu-desu-yo	レアモンスター?それ、ただの害虫ですよ	5	6	1	ongoing	20116561	20116561_006
yuureigari	幽霊狩り	1	2	1	completed	560958	560958_002
funwari-hunter	ふんわり狩人	1	2	1	completed	325505	325505_002
kizuchi-no-sasoi	木槌の誘い	1	2	1	completed	60004943	60004943_002
suterare-danshaku-reijou-wa-kuro-kishi-sama-no-okiniiri	捨てられ男爵令嬢は黒騎士様のお気に入り	6	7	1	ongoing	975006	975006_007
shounen-esper-nejime	少年エスパーねじめ	1	2	1	completed	60003426	60003426_002
lady-guinevere	レディ・ギネヴィア	1	2	1	completed	326144	326144_002
sazukarikon	授か離婚	9	10	1	ongoing	1016096	1016096_010
gura-san-lullaby	グラサンららばい	1	2	1	completed	936769	936769_002
xinobi	Xinobi	3	4	1	ongoing	20089599	20089599_004
carnival	カーニバル	1	2	1	completed	936768	936768_002
villain-na-oku-sama	Villainな奥さま	3	4	1	ongoing	1824812	1824812_004
dekisokonai-no-jinan-wa-reikoku-koushaku-sama-ni-dekiai-dekiaisareru	出来損ないの次男は冷酷公爵様に溺愛される	2	3	1	ongoing	1838486	1838486_003
doitsu-mo-koitsu-mo	どいつもこいつも	3	4	1	completed	497635	497635_004
rekishi-saiban	歴史裁判	3	4	1	ongoing	1983593	1983593_004
happa-64	はっぱ64	2	3	1	completed	1240	1240_003
sensei-sayounara	先生さようなら.	1	2	1	completed	273662	273662_002
terusutaa-86	テルスター'86	3	4	1	ongoing	20154612	20154612_004
kugutsu	傀儡（くぐつ）	4	5	1	completed	136361	136361_005
karori-no-tsuyagoto-season2	かろりのつやごとSeason2	3	4	1	ongoing	20142731	20142731_004
orc-no-ki-no-shita	オークの樹の下	5	6	1	ongoing	20095121	20095121_006
afureko-booth-no-kimitachi-e	アフレコブースの君たちへ	1	2	1	ongoing	1935878	1935878_002
akuyaku-no-ending-wa-shi-nomi	悪役のエンディングは死のみ	11	12	1	ongoing	1186544	1186544_012
janru-kaesasete-itadakimasu	ジャンル、変えさせて頂きます!	4	5	1	ongoing	1425430	1425430_005
onmyou-kaiten-rebirth	陰陽廻天　Re：バース	1	2	1	ongoing	1909253	1909253_002
dekiru-maid-sama	できるメイド様	6	7	1	ongoing	20081604	20081604_007
poo-san	ポーさん	1	2	1	ongoing	20179152	20179152_002
tengoku-2-0	天国2.0	2	3	1	ongoing	20163453	20163453_003
onigiri-san-no-sentaku	鬼桐さんの洗濯	8	9	1	ongoing	545797	545797_009
toukutsuou	盗掘王	11	12	1	ongoing	20031736	20031736_012
m-league-hobo-mainichi-4-koma	Mリーグほぼ毎日4コマ	6	7	1	ongoing	1113807	1113807_007
miboujin-anne-no-neya-no-tehodoki	未亡人アンネの閨の手ほどき	4	5	1	ongoing	20056635	20056635_005
doka-gui-daisuki-mochizuki-san	ドカ食いダイスキ! もちづきさん	3	4	1	ongoing	20100867	20100867_004
sunny-sixteen	SUNNYシックスティーン	2	3	1	ongoing	2032382	2032382_003
habsburg-ka-no-kareinaru-junan	ハプスブルク家の華麗なる受難	2	3	1	ongoing	2083533	2083533_003
moto-yan-ooeru-narita-narumi-wa-service-zangyou-joutou-rashii	元ヤンOL成田なるみはサービス残業上等らしい	1	2	1	ongoing	20153054	20153054_002
