slug	title	category	miss_total	cover_rakuten	cover_ndl	author_ng	date_disorder	gaps
uchuu-battleship-yamato	宇宙戦艦ヤマト	E_NO_ISBN	1	0	0	13	0	bunkobon:[2]
ushinawareta-muu-tairiku	失われたムー大陸	E_NO_ISBN	4	0	0	0	0	standard:[2, 3, 4, 5]
ossu-miri-chan	オッス!美里ちゃん	E_NO_ISBN	1	0	0	0	0	standard:[4]
hyouman	豹マン	E_NO_ISBN	1	0	0	0	0	standard:[2]
pachikko-bojou	パチっ子慕情	E_NO_ISBN	1	0	0	0	0	standard:[2]
menkui-egure-keibu	面くいエグレ警部	E_NO_ISBN	1	0	0	0	0	bunkobon:[2]
manhattan-op	マンハッタン・オプ	E_NO_ISBN	1	0	0	0	0	bunkobon:[2]
furoagari-no-yozora-ni	風呂上がりの夜空に	E_NO_ISBN	2	0	0	0	0	deluxe:[2, 4]
powerful-mazegohan	パワフル☆まぜごはん	E_NO_ISBN	1	0	0	0	0	standard:[2]
big-rival	ビッグライバル	E_NO_ISBN	1	0	0	0	0	standard:[2]
himitsu-de-naito	ひ・み・つでナイト	E_NO_ISBN	1	0	0	0	0	standard:[2]
hontoni-atta-kowai-hanashi	ほんとにあった怖い話	E_NO_ISBN	3	0	0	0	0	standard:[2, 9, 25]
saibaa-comics	サイバーコミックス	E_NO_ISBN	6	0	0	0	0	standard:[6, 7, 8, 9, 10, 12]
hana-takeda-1988	花	E_NO_ISBN	12	0	0	3	0	standard:[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]
fuuhai-ni-kike	風牌に訊け	E_NO_ISBN	1	0	0	0	0	standard:[2]
seishun	青春	E_NO_ISBN	19	0	0	0	0	standard:[3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 24, 26, 33, 36]
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	E_NO_ISBN	1	0	0	0	0	standard:[5]
hana	花	E_NO_ISBN	11	0	0	0	0	standard:[4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]
hana-1996	花	E_NO_ISBN	12	0	0	3	0	standard:[3, 4, 6, 9, 11, 12, 13, 15, 16, 18, 19, 20]
hajime-ningen-gon	はじめ人間ゴン	E_NO_ISBN	1	0	0	0	0	standard:[6]
niigata-manga-taishou-sakuhinshuu	にいがたマンガ大賞作品集	E_NO_ISBN	4	0	0	0	0	standard:[4, 5, 6, 8]
