aid	n_pages	kind_hint	slug	title	first_author
113807	2	B?扇形/別題	teihon-fujouri-nikki	定本 不条理日記	吾妻ひでお
113835	2	B?扇形/別題	shinpen-shouwaruneko	新編性悪猫	やまだ紫
113835	2	B?扇形/別題	shouwaruneko	性悪猫	やまだ紫
113870	2	B?扇形/別題	coji-coji	COJI‐COJI	さくらももこ
113870	2	B?扇形/別題	kojikoji	コジコジ	さくらももこ
114362	2	B?扇形/別題	eden-2185	エデン2185	竹宮恵子
114362	2	B?扇形/別題	satsui-no-soko	殺意の底	竹宮恵子
115540	2	B?扇形/別題	tonari-no-shibafu-wa	となりの芝生は	青木光恵
115540	2	B?扇形/別題	zoku-tonari-no-shibafu-wa	続となりの芝生は	青木光恵
116389	2	B?扇形/別題	yasashii-akuma-rabu-story	やさしい悪魔 LOVE STORY	川口まどか
116389	2	B?扇形/別題	yasashii-akuma	やさしい悪魔	川口まどか
116724	2	B?扇形/別題	1-nen-ichikumi-uchi-no-class-no-joshi-ga-yabai	1年1組うちのクラスの女子がヤバい	衿沢世衣子
116724	2	B?扇形/別題	uchi-no-class-no-joshi-ga-yabai	うちのクラスの女子がヤバい	衿沢世衣子
116865	2	A?同題ペア	oni-iga-2	男弐	伊賀和洋
116865	2	A?同題ペア	oni	男弐	伊賀一洋
117785	2	B?扇形/別題	ganbare-douki-chan	がんばれ同期ちゃん	よむ
117785	2	B?扇形/別題	ookii-ganbare-douki-chan	おおきい!がんばれ同期ちゃん	よむ
117949	2	B?扇形/別題	animagear-2022	アニマギアダブルエッジ	足立たかふみ
117949	2	B?扇形/別題	animagear	アニマギア	足立たかふみ
124037	2	B?扇形/別題	kouun-ryuusui-jo-fuku	こううんりゅうすい＜徐福＞	本宮ひろ志
124037	2	B?扇形/別題	kouun-ryuusui	こううんりゅうすい	本宮ひろ志
124088	2	B?扇形/別題	ougon-toshi	黄金都市	横山光輝
124088	2	B?扇形/別題	shinsekai-lurue	新世界ルルー	手塚治虫
124659	2	B?扇形/別題	pazudora-z-2014	パズドラZ	井上桃太
124659	2	B?扇形/別題	pazudora-z	パズドラ	井上桃太
125511	2	B?扇形/別題	kobayashi-san-no-meidoragon-maid-wa-boku-no-chomechome-fafnir	小林さんちのメイドラゴン ルコアは僕の××です。	歌麿
125511	2	B?扇形/別題	kobayashi-san-no-meidoragon-okomorigurashi-no-fafuniiru	小林さんちのメイドラゴン お篭りぐらしのファフニール	ノブヨシ侍
125534	2	B?扇形/別題	opekan	オペ看	ミサヲ
125534	2	B?扇形/別題	watashi-opekan-nandesu-kedo-isekai-de-yaku-ni-tachimasuka	私、オペ看なんですけど異世界で役に立ちますか?	人間まお
126330	2	B?扇形/別題	misojimeshi-niku	三十路飯肉	伊藤静
126330	2	B?扇形/別題	misojimeshi	三十路飯	伊藤静
129884	2	B?扇形/別題	keselan-patharan	ケセランパサラン	桜沢エリカ
129884	2	B?扇形/別題	keseran-pasaran-romance-no-izumi	ケセランパサラン/ロマンスの泉	桜沢エリカ
130931	2	B?扇形/別題	herohero-kun	へろへろくん	かみやたかひろ
130931	2	B?扇形/別題	tokujou-herohero-kun	特上へろへろくん	かみやたかひろ
132007	2	B?扇形/別題	berlin-uwanosora-range-shurange	ベルリンうわの空ランゲシュランゲ	香山哲
132007	2	B?扇形/別題	berurin-uwanosora	ベルリンうわの空	香山哲
133026	2	B?扇形/別題	kibun-wa-mou-sensou-2002	気分はもう戦争2.1	藤原カムイ
133026	2	B?扇形/別題	kibun-wa-mou-sensou	気分はもう戦争	大友克洋
134173	2	B?扇形/別題	juran	十蘭	山田ミネコ
134173	2	B?扇形/別題	saishuu-sensou	最終戦争	山田ミネコ
134366	2	B?扇形/別題	kuro-no-monmon-gumi	黒のもんもん組 富士山麓に玉砕編	猫十字社
134366	2	B?扇形/別題	kuro-no-monmongumi	黒のもんもん組	猫十字社
137306	2	B?扇形/別題	garla-2000	ガルラ 電送人バルバー	永井豪
137306	2	B?扇形/別題	garla	ガルラ	永井豪
137431	2	B?扇形/別題	shinkirari	しんきらり	やまだ紫
137431	2	B?扇形/別題	zoku-shinkirari	続 しんきらり	やまだ紫
138253	2	B?扇形/別題	esu-to-ekkusu	SとX	多田基生
138253	2	B?扇形/別題	s-to-x-therapist-shimotori-kazuto-no-kokuhaku	SとX～セラピスト霜鳥壱人の告白～	多田基生
139119	2	B?扇形/別題	mogumogu-garden	もぐもぐガーデン	宇仁田ゆみ
139119	2	B?扇形/別題	motto-mogumogu-garden	もっと!もぐもぐガーデン	宇仁田ゆみ
139610	2	B?扇形/別題	buyuuden-kitakita	舞勇伝キタキタ	衛藤ヒロユキ
139610	2	B?扇形/別題	mahoujin-guruguru-gaiden-mai-yuuden-kitakita	魔法陣グルグル外伝舞勇伝キタキタ	衛藤ヒロユキ
140531	2	B?扇形/別題	jigoku-kara-kita-kyoufu-ressha	地獄から来た恐怖列車	日野日出志
140531	2	B?扇形/別題	kyoufuressha	恐怖列車	日野日出志
140907	2	B?扇形/別題	psycho-pass-3-first-inspector	PSYCHO-PASS サイコパス 3 FIRST INSPECTOR	橋野サル
140907	2	B?扇形/別題	psycho-pass-3	PSYCHO-PASS サイコパス 3	橋野サル
140935	2	A?同題ペア	holy-maruo-1996	Holy	犬木加奈子
140935	2	A?同題ペア	holy	Holy	手塚治虫
140970	2	B?扇形/別題	hino-hideshi-no-youjo-daara	日野日出志の妖女ダーラ	日野日出志
140970	2	B?扇形/別題	youjo-daara	妖女ダーラ	日野日出志
141787	2	B?扇形/別題	youkai-shimatsunin-toraumakan	妖怪始末人トラウマ館	魔夜峰央
141787	2	B?扇形/別題	youkai-shimatsunin-trauma	妖怪始末人トラウマ!!	魔夜峰央
142858	2	B?扇形/別題	bunbuku-tanuki-no-teii-party	ぶんぶくたぬきのティーパーティ	森長あやみ
142858	2	B?扇形/別題	bunbuku-teii-potto-plus	ぶんぶくティーポット+	森長あやみ
143018	2	B?扇形/別題	football-taka-amerikan-football-comics	フットボール鷹―American football comics	川崎のぼる
143018	2	B?扇形/別題	futtoboorutaka	フットボール鷹	川崎のぼる
146198	2	B?扇形/別題	koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	恋した人は、妹の代わりに死んでくれと言った。@COMIC	家守まき
