消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
0	houkago-atelier-toiro	放課後アトリエといろ	standard	通常版	Kadokawa Comics	4	Kadokawa Comics[角川グループパブリッシング] / 単行本コミックス[角川グループパブリッシング,角川グループホールデ]		
0	hyouka	氷菓	standard	通常版	角川コミックス・エース	17	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[KADOKAWA]		
0	i-ueo-boy	I・餓男	standard	通常版	劇画king series	9	HMB[集英社] / None[スタジオ・シップ]		
0	ichigomashimaro	苺ましまろ	standard	通常版	電撃コミックス	9	DC[角川グループパブリッシング] / 電撃コミックス[KADOKAWA,角川グループパブリッシング]		
0	ichinen-ni-ichido-shika-aenai-kimi-no-hanashi	一年に一度しか会えない君の話。	standard	通常版	Howl comics	4	Howl comics[一迅社,講談社] / IDコミックス. Howl comics[講談社]		
0	ii-rank-no-yakushi	Eランクの薬師	standard	通常版	Regina COMICS	8	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	ikai-hanjouki-hiyokoya-shouten	異界繁盛記ひよこや商店	standard	通常版	ASUKA COMICS	6	ASUKA COMICS[角川グループパブリッシング,角川書店] / ASUKA COMICS[角川書店]		
0	ima-sugu-onii-chan-ni-imouto-datte-iitai	いますぐお兄ちゃんに妹だっていいたい!	standard	通常版	アスキー・メディアワークス	3	アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA]		
0	impact	インパクト	standard	通常版	Gakken sports comics	29	Gakken sports comics[学研マーケティング,学習研究社] / Gakken sports comics[学習研究社]		
0	in-shuu-densetsu-taikoubou-denki	殷周伝説 太公望伝奇	standard	通常版	希望コミックス	22	Kibo comics[潮出版社] / 希望コミックス[潮出版,潮出版社]		
0	in-these-words	IN THESE WORDS	deluxe	デラックス版	ビーボーイコミックスデラックス	5	BBC deluxe[リブレ出版] / ビーボーイコミックスデラックス[リブレ,リブレ出版] / ビーボーイコミックスデラックス[リブレ] / ビーボーイコミックスデラックス[リブレ]		
0	inden-san-to-enmusubi	印伝さんと縁結び	standard	通常版	Missy comics	12	Missy comics[宙出版] / ネクストFコミックス[ジャイブ,ジャイブ (発売)]		
0	infini-t-force	Infini-T Force	standard	通常版	HCヒーローズコミックス	10	HCヒーローズコミックス[小学館クリエイティブ,小学館クリエイティブ (発] / HCヒーローズコミックス[小学館クリエイティブ]		
0	ingi-no-hate	淫戯の果て	standard	通常版	ACTION COMICS	2	ACTION COMICS[双葉社] / Angel comics[エンジェル出版]		
0	inu-gundam	犬ガンダム	standard	通常版	角川コミックス・エース	2	角川コミックス・エース[角川グループパブリッシング] / 角川コミックス・エース[角川書店]		
0	iono-sama-fanatics	いおの様ファナティクス	standard	通常版	Dengeki Comics EX	2	DENGEKI COMICS[角川グループパブリッシング] / Dengeki Comics EX[角川書店]		
0	iris-zero	アイリス・ゼロ	standard	通常版	MFコミックス	8	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[KADOKAWA,メディアファクトリー]		
0	isekai-de-cafe-o-kaiten-shimashita	異世界でカフェを開店しました。	standard	通常版	Regina COMICS	17	Regina COMICS[星雲社,星雲社 (発売)] / Regina COMICS[星雲社]		
0	isekai-de-omake-no-nii-san-jiritsu-o-mezasu	異世界でおまけの兄さん自立を目指す	standard	通常版	&arche COMICS	5	&arche COMICS[星雲社,星雲社 (発売)] / &arche COMICS[星雲社]		
0	isekai-de-tochi-o-katte-noujou-o-tsukurou	異世界で土地を買って農場を作ろう	standard	通常版	バーズコミックス	11	バーズコミックス[幻冬舎,幻冬舎 (発売)] / バーズコミックス[幻冬舎]		
0	isekai-ja-surooraifu-wa-mamanaranai	異世界じゃスローライフはままならない	standard	通常版	アルファポリスCOMICS	7	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	isekai-no-suit-to-shite-kuni-ni-manekareta-kedo-kotowatte-heishi-kara-hajimeru-koto-ni-shita	異世界の戦士として国に招かれたけど、断って兵士から始める事にした	standard	通常版	コミックポルカ	7	コミックポルカ[一二三書房] / マンガBANGコミックス[Amazia]		
0	isekai-tensei-soudouki	異世界転生騒動記	standard	通常版	アルファポリスCOMICS	14	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	isekai-yururi-kikou	異世界ゆるり紀行	standard	通常版	アルファポリスCOMICS	12	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	itasha-girl	痛車娘。	standard	通常版	E・2コミックス	3	E☆2コミックス[廣済堂出版] / E・2コミックス[廣済堂あかつき]		
0	itoshii-kimi-to-seiryaku-kekkon	愛しいきみと、政略結婚	standard	通常版	Clair TLcomics	3	Clair TLcomics[星雲社 (発売)] / Clair TLcomics[星雲社]		
0	izakaya-bottakuri	居酒屋ぼったくり	standard	通常版	アルファポリスCOMICS	12	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	izure-saikyou-no-renkinjutsushi	いずれ最強の錬金術師?	standard	通常版	アルファポリスCOMICS	9	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	ja	JA	standard	通常版	角川コミックス・エース	8	角川コミックス・エース[KADOKAWA,角川グループパブリッシング,角] / 角川コミックス・エース[KADOKAWA]		
0	jaaku-no-jack	邪悪のJack	standard	通常版	ホラーハウス・コミックス	4	ミッシィコミックスDX[シュフトセイカツシャ,主婦の友社,宙出版] / ミッシイコミックスDX[主婦と生活社]		
0	jashin-chan-drop-kick	邪神ちゃんドロップキック	standard	通常版	METEOR COMICS	27	METEOR COMICS[ほるぷ出版,フレックスコミックス] / [メテオCOMICS][フレックスコミックス] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
0	jimmy-corrigan	Jimmy Corrigan.	standard	通常版		3	None[Presspop.] / None[プレスポップ・ギャラリー]		
0	jirai-nandesu-ka-chihara-san	地雷なんですか?地原さん	standard	通常版		9	None[講談社,講談社 (発売)] / None[講談社]		
0	jitsuryoku-shugi-ni-hirowareta-kanteishi	実力主義に拾われた鑑定士	standard	通常版	アルファポリスCOMICS	5	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	julia-ga-kubittake	ジュリアが首ったけ	standard	通常版	Be×boy comics	7	Be×boy comics[リブレ,リブレ出版] / ビーボーイコミックス[リブレ] / ビーボーイコミックスデラックス[リブレ]		
0	juui-san-no-oshigoto-in-isekai	獣医さんのお仕事in異世界	standard	通常版	アルファポリスCOMICS	10	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	k-shitsuki-1988	K	standard	通常版	SPコミックス	2	ACTION COMICS[双葉社] / ARIA[講談社]		
0	kabushikigaisha-tokugawa-ieyasu	株式会社徳川家康	standard	通常版	ホームコミックス	5	None[ホーム社] / ホームコミックス[ホーム社] / ホームコミックス[集英社]		
0	kaen-mazin	火閻魔人	standard	通常版	Jets comics	2	Jets comics[白泉社] / ガムコミックスプラス[ワニブックス]		
0	kagaku-chop	カガクチョップ	standard	通常版	METEOR COMICS	6	METEOR COMICS[ほるぷ出版] / メテオCOMICS[ほるぷ出版,フレックスコミックス]		
0	kagaku-no-ouji-to-mahou-no-hime	科学の王子と魔法の姫	standard	通常版	アスキー・メディアワークス	3	アスキー・メディアワークス[角川グループパブリッシング] / 電撃コミックス[KADOKAWA,角川グループパブリッシング]		
0	kagerou-days	カゲロウデイズ	standard	通常版	MFコミックス	13	MFコミックス[KADOKAWA,メディアファクトリー] / MFコミックス[KADOKAWA] / MFコミックス[KADOKAWA]		
0	kagihime-monogatari-eikyuu-alice-rondo	鍵姫物語永久アリス輪舞曲	standard	通常版	DENGEKI COMICS	4	DENGEKI COMICS[角川書店 (発売)] / DENGEKI COMICS[角川書店]		
0	kahogo-shitsuji-niwa-unzari-desu	過保護執事にはうんざりです。	standard	通常版	Missy comics	2	Missy comics[宙出版] / ネクストFコミックス[ジャイブ]		
0	kakoku-ayakashi-koukyuu-tan	迦国あやかし後宮譚	standard	通常版	アルファノルンCOMICS	3	アルファノルンCOMICS[星雲社 (発売)] / アルファノルンCOMICS[星雲社]		
0	kamen-no-maid-guy	仮面のメイドガイ	standard	通常版	Kadokawa Comics Dragon Jr.	15	DRAGON COMICS AGE[角川グループパブリッシング] / Kadokawa Comics Dragon Jr.[角川グループパブリッシング,角川書店] / ドラゴンコミックスエイジ[角川グループパブリッシング]		
0	kami-naki-sekai-no-kami-sama-katsudou	神無き世界のカミサマ活動	standard	通常版	HCヒーローズコミックス	13	HCヒーローズコミックス[小学館クリエイティブ,小学館クリエイティブ (発] / HCヒーローズコミックス[小学館クリエイティブ]		
0	kami-ni-aisareta-ko	神に愛された子	standard	通常版	アルファポリスCOMICS	8	アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社,星雲社 (発売)] / アルファポリスCOMICS[星雲社]		
0	kami-sama-ga-asonderu	神様が遊んでる	standard	通常版	SUPER BBC	2	SUPER BBC[青磁ビブロス] / Super be-boy comics[ビブロス]		
0	kami-sama-no-gakkou	神様の学校	standard	通常版	アルファノルンCOMICS	3	アルファノルンCOMICS[星雲社 (発売)] / アルファノルンCOMICS[星雲社]		
0	kami-sama-no-inai-nichiyoubi	神さまのいない日曜日	standard	通常版	ドラゴンコミックスエイジ	4	ドラゴンコミックスエイジ[KADOKAWA,角川グループパブリッシング] / ドラゴンコミックスエイジ[角川グループパブリッシング]		
0	kamiari	かみあり	standard	通常版	REXコミックス	9	IDコミックス[一迅社,講談社] / REXコミックス[一迅社] / Rex comics[一迅社]		
