状態	match	owner_slug	series_key	title	subtitle	number	isbn	release_date	date_gap_days	imprint	edition_type	authors	材料
DUP	NEAR	7nenme-no-seifuku-kimi-ga-oshietekureru-subete	name:創美社|name:7年目の制服	7年目の制服		1	9784088643052	1997-06	2618	コーラスシリーズ	standard	宮川匡代 / 創美社	未取得
DUP	TITLE	7seeds	qid:Q2235128|name:7 seeds|sub:7 seeds 1-4巻アニメ放送記念specialプライスパック	7 seeds	7 seeds 1-4巻アニメ放送記念specialプライスパック	3	9784098708116	2019-12	6094	flowersフラワーコミックスα	standard	田村由美	未取得
DUP	TITLE	8	qid:Q11537576|name:8マン	8マン		1	9784063420166	1998-02-23	2977	P-KC	standard	平井和正 / 桑田二郎 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		1	9784775914380	2011-10-04	7948	MANGA Shop Series	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		2	9784775914397	2011-10-04	7948	MANGA Shop Series	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		3	9784775914403	2011-10-04	7916	MANGA Shop Series	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		4	9784775914410	2011-11-04	7947	MANGA Shop Series	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		5	9784253060684	2011-12-06	7954	SUNDAY COMICS	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	8	name:平井和正|name:8マン	8マン		5	9784775914427	2011-11-04	7922	MANGA Shop Series	standard	平井和正 / 桑田二郎	未取得
DUP	SIBLING	88-no-natsuyasumi	qid:Q11540317|name:88の夏休み	88の夏休み		1	9784047135857	2003-12	0	角川コミックス・エース	standard	森見明日	未取得
DUP	SIBLING	9-banme-no-musashi	qid:Q9046723|name:9番目のムサシ	9番目のムサシ		1	9784253260510	2011-03	5261	BONITA COMICS	standard	高橋美由紀	未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		10	9784253260602	2014-05	4564	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		10	9784253263207	2018-07	6086	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		11	9784253260619	2014-09	4567	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		11	9784253263214	2018-10	6058	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		12	9784253260626	2015-01	4536	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		12	9784253263221	2019-01	5997	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		13	9784253263238	2019-04	5884	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		14	9784253263245	2019-11	5905	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	qid:Q9046723|name:9番目のムサシ	9番目のムサシ		2	9784253260527	2011-08	5163	BONITA COMICS	standard	高橋美由紀	未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		3	9784253260534	2011-12	5158	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		4	9784253260541	2012-06	5215	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		5	9784253260558	2012-11	5214	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		6	9784253260565	2013-03	5089	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		7	9784253260572	2013-07	5065	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		8	9784253260589	2013-11	4936	BONITA COMICS	standard		未取得
DUP	SIBLING	9-banme-no-musashi	name:髙橋美由紀|name:9番目のムサシ	9番目のムサシ		9	9784253260596	2014-03	4727	BONITA COMICS	standard		未取得
DUP	SIBLING	a-a	qid:Q265061|name:A-A'	A-A'		1	9784091971951	1995-09-20	3975	小学館叢書	standard	萩尾望都	未取得
DUP	SIBLING	a-peanuts-book-special-featuring-snoopy	name:チャールズ・M.シュルツ|name:A Peanuts book special featuring Snoopy	A Peanuts book special featuring Snoopy		1	9784047044142	2004-11	68		standard	谷川俊太郎 / チャールズ・M.シュルツ	未取得
DUP	SIBLING	a-peanuts-book-special-featuring-snoopy	name:チャールズ・M.シュルツ|name:A Peanuts book special featuring Snoopy	A Peanuts book special featuring Snoopy		1	9784047044159	2005-02	160		standard	谷川俊太郎 / チャールズ・M.シュルツ	未取得
DUP	TITLE	a-peanuts-book-special-featuring-snoopy	name:チャールズ|name:A Peanuts Book Special featuring SNOOPY	A Peanuts Book Special featuring SNOOPY		1	9784047044166	2005-07-01	310		standard	谷川俊太郎 / チャールズM.シュルツ	未取得
DUP	TITLE	a-peanuts-book-special-featuring-snoopy	name:チャールズ|name:A Peanuts Book Special featuring SNOOPY	A Peanuts Book Special featuring SNOOPY		1	9784047916104	2008-08	1437		standard	谷川俊太郎 / チャールズM.シュルツ	未取得
