重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	mobile-shinseiki-gundam-ekkusu	機動新世紀ガンダムX	standard	講談社コミックボンボン	講談社	4	978-4-06x3	講談社	4	9784047138704	978-4-04	KADOKAWA	2006-10	3巻1997-04→-	114		機動新世紀ガンダムX（v．4）	Kadokawa　Comics　A	角川書店
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY	ore-nimo-kure	俺にもくれ	standard	ビッグコミックス	小学館	3	978-4-09x2	小学館	3	9784916085962	978-4-916085	さくら出版	1999-10	2巻1990-04→-	114				
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	atagoul-monogatari	アタゴオル物語	standard	サンコミックス	朝日ソノラマ	7	978-4-257x6	朝日ソノラマ	8	9784796240512	978-4-7962	スコラ	1990-06	6巻1981-05→-	109		アタゴオル物語（8）	バーガーSC	スコラ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	gomenasobase	ごめんあそばせ	standard	バーズコミックスspecial	ソニー・マガジンズ	3	978-4-7897x2	ソニー・マガジンズ	3	9784537155358	978-4-537	日本文芸社	2008-08	2巻1999-09→-	107		ごめんあそばせ（下）	Ｇコミックス	日本文芸社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON8(24%)	mahou-shoujo-ikusei-keikaku-f2p	魔法少女育成計画F2P	standard	このマンガがすごい!comics	宝島社	4	978-4-8002x2	宝島社	3	9784299074348	978-4-299	宝島社	2026-03-02	2巻2017-04→-	107		魔法少女育成計画F2P 3	このマンガがすごい! comics	宝島社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON8(24%)	mahou-shoujo-ikusei-keikaku-f2p	魔法少女育成計画F2P	standard	このマンガがすごい!comics	宝島社	4	978-4-8002x2	宝島社	4	9784299074362	978-4-299	宝島社	2026-03-23	2巻2017-04→-	107		魔法少女育成計画F2P 4	このマンガがすごい! comics	宝島社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	shikou-shounen	思考少年	standard	SONY MAGAZINES COMICS	ソニー・マガジンズ	3	978-4-7897x2	ソニー・マガジンズ	3	9784778320072	978-4-7783	太田出版	2006-06	2巻1997-12→-	102		思考少年（下）	F×comics	太田出版
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	genyou	幻羽	standard	Wings comics	日本エディターズ	9	978-4-930787x8	日本エディターズ	1	9784403612640	978-4-403	新書館	1991-09-01	-→2巻1999-12	99		幻羽	Ｗｉｎｇｓ　ｃｏｍｉｃｓ	新書館
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	yaminodoki	闇の土鬼	standard	講談社コミックス	講談社	5	978-4-06x3	講談社	5	9784845808649	978-4-8458	リイド社	1993-03	3巻1985-01→-	98		闇の土鬼（5）	SPコミックス	リイド社
F参考(先頭/末尾=移籍濃厚)	末尾	PUB不明+BANDRARE2+PAIRONLY+RAKPUB	gajumaru-family	がじゅまるファミリー	standard		琉球プロジェクト	9	978-4-89742x8	琉球プロジェクト	9	9784867640180	978-4-86764		2024-04	8巻2016-03→-	97		がじゅまるファミリー（9）		琉球新報社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	yaminodoki	闇の土鬼	standard	講談社コミックス	講談社	5	978-4-06x3	講談社	4	9784845808632	978-4-8458	リイド社	1993-02-22	3巻1985-01→-	97		闇の土鬼（4）	SPコミックス	リイド社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	daikagaku-shoujo	大科学少女	standard	ACTION COMICS	双葉社	3	978-4-575x2	双葉社	3	9784047371897	978-4-04	KADOKAWA	2022-11-15	2巻2014-11→-	96		大科学少女（下）	ハルタコミックス	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON7(12%)+RAKPUB	hoshirenge	星恋華	standard	ミッシィコミックス	主婦と生活社	12	978-4-391x10	主婦と生活社	11	9784872875393	978-4-87287	宙出版	2001-09	10巻1993-12→-	93		星恋華（11）	ミッシィコミックス	宙出版
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+EDWORD:新装版/新装+RAKPUB	hanako-lavatory	ハナコ@ラバトリー	standard	CR comics	ジャイブ	3	978-4-86176x2	ジャイブ	3	9784049127522	978-4-04	KADOKAWA	2019-09-10	2巻2012-01→-	92		ハナコ＠ラバトリー　新装版（下）	電撃コミックスNEXT	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	gekiga-kachikujin-yapuu	劇画家畜人ヤプー	standard		ポット出版	4	978-4-7808x3	ポット出版	1	9784344802391	978-4-344	幻冬舎	2003-05-24	-→2巻2010-12	91		家畜人ヤプー（1）	バーズコミックス	幻冬舎コミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY	sheerlore	シアロア	standard	Jump comics SQ	LINE Digital Frontier	3	978-4-08x1	集英社	3	9784866970318	978-4-86697	LINE Digital Frontier	2020-03-14	1巻2012-08→-	91		シアロア　3	LINEコミックス	LINE Digital Frontier
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON18(13%)+RAKPUB	love-houteishiki	恋愛方程式	standard	Be-boy comics	リブレ出版	3	978-4-86263x2	リブレ出版	3	9784799725788	978-4-7997	リブレ	2015-06-10	2巻2007-12→-	90		恋愛方程式（3）	ビーボーイコミックス	リブレ
F参考(先頭/末尾=移籍濃厚)	末尾	PUB不明+BANDRARE1+PAIRONLY	kyou-no-jinsei	今日の人生	standard		ミシマ社	3	978-4-903908x1		3	9784911226032	978-4-911226		2024-04-11	1巻2017-04→-	84		今日の人生3　いつもの場所で		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)+EDWORD:セレクション	isshou-tsuzukerarenai-shigoto	一生続けられない仕事	standard	Bamboo comics	竹書房	4	978-4-8124x2	竹書房	4	9784801964167	978-4-8019	竹書房	2018-11	2巻2011-12→-	83		一生続けられない仕事（4）	バンブーコミックス　麗人セレクション	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY	sheerlore	シアロア	standard	Jump comics SQ	LINE Digital Frontier	3	978-4-08x1	集英社	2	9784909767295	978-4-909767	LINE Digital Frontier	2019-06-14	1巻2012-08→-	82		シアロア　2	LINEコミックス	LINE Digital Frontier
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	girly-hypers	ガーリーハイパーズ	standard	Wonderland comics	宝島社	3	978-4-7966x2	宝島社	3	9784396764197	978-4-396	祥伝社	2007-10-06	2巻2001-01→-	81		ガ-リ-ハイパ-ズ（下）		祥伝社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+EDWORD:完全版/デラックス+RAKPUB	sodomu	そどむ	standard		宝島社	3	978-4-7966x2	宝島社	3	9784063722963	978-4-06	講談社	2007-05	2巻2000-08→-	81		そどむ完全版（2）	ＫＣデラックス	講談社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON25(16%)+RAKPUB	level-c	Level-C	standard	Super be-boy comics	青磁ビブロス	6	978-4-88271x4	青磁ビブロス	6	9784835215327	978-4-8352	ビブロス	2003-12-10	4巻1997-04→-	80		Level-C（6）	Super　be-boy　comics	ビブロス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY+RAKPUB	toaru-hi-no-kuru	とある日のクル	standard	Daito comics PCシリーズ	大都社	4	978-4-86495x3	大都社	1	9784056070477	978-4-05	学習研究社	2009-04	-→2巻2015-12	80		とある日のクル	ピチコミックス	Gakken
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON3(8%)+EDWORD:完全版	acid-flower	アシッド・フラワー	standard	drapコミックススペシャル	コアマガジン	3	978-4-87734x2	コアマガジン	3	9784864362276	978-4-86436	コアマガジン	2012-02	2巻2005-07→-	79		アシッド・フラワー完全版（下）		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON30(25%)	kokodake-no-futari	ここだけのふたり!!	standard		竹書房	5	978-4-8124x3	竹書房	1	9784884750459	978-4-88475	竹書房	1989-12	-→5巻1996-04	76		ここだけのふたり！！（1）		竹書房
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON5(62%)	renjaakkosanzu	レンジャーっ娘さんズ	standard		イカロス出版	3	978-4-8022x2	イカロス出版	1	9784863208575	978-4-86320	イカロス出版	2014-04	-→2巻2020-08	76		レンジャーっ娘さんズ（1）		イカロス出版
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON17(71%)	sorejaa-yoshida-kun	それじゃあ吉田くん!	standard	Blade comics	マッグガーデン	4	978-4-901926x2	マッグガーデン	4	9784861276972	978-4-86127	マッグガーデン	2010-02	2巻2003-10→-	76		それじゃあ吉田くん！（4）	Blade　comics	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	hasegawa-chouji	HASEGAWA長治	standard	ヤンマガKC	講談社	3	978-4-06x2	講談社	3	9784785925499	978-4-7859	少年画報社	2005-08	2巻1999-08→-	72		Hasegawa長治（下）	ヤングキングコミックス	少年画報社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON17(71%)	sorejaa-yoshida-kun	それじゃあ吉田くん!	standard	Blade comics	マッグガーデン	4	978-4-901926x2	マッグガーデン	3	9784861276613	978-4-86127	マッグガーデン	2009-10	2巻2003-10→-	72		それじゃあ吉田くん！（3）	Ｂｌａｄｅ　ｃｏｍｉｃｓ	マッグガーデン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON13(19%)+RAKPUB	atagoul	アタゴオル	standard		メディアファクトリー	5	978-4-88991x4	メディアファクトリー	9	9784840113380	978-4-8401	メディアファクトリー	2005-11-22	4巻1999-12→-	71		アタゴオルは猫の森9	MFコミックス フラッパーシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(27%)	motherfuckers	マザーファッカーズ	standard	ドラコミックススペシャル	コアマガジン	3	978-4-86252x1	コアマガジン	2	9784864364188	978-4-86436	コアマガジン	2013-01	1巻2007-04→-	69		マザーファッカーズ（2）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(17%)+RAKPUB	souten-no-ken-regenesis	蒼天の拳リジェネシス	standard	ゼノンコミックス	徳間書店	6	978-4-19x4	徳間書店	6	9784867208380	978-4-86720	コアミックス	2025-12-08	4巻2020-03→-	69		蒼天の拳 リジェネシス（6）	ゼノンコミックス	コアミックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRONLY	romeo	Romeo	standard	ジュネットコミックス	ジュネット	4	978-4-910582x2	ジュネット	2	9784896442984	978-4-89644	マガジン・マガジン	2017-03	-→4巻2022-11	68		ROMEO（2）		
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON5(31%)+RAKPUB	shin-juuishi-no-file	新獣医師の事件簿	standard	エルジーエーコミックス	青泉社	3	978-4-907203x2	青泉社	1	9784766335415	978-4-7663	青泉社	2011-05-20	-→2巻2016-12	67		新・獣医師の事件簿	LGAコミックス	Bbmfマガジン
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON21(17%)+RAKPUB	souten-no-ken-regenesis	蒼天の拳リジェネシス	standard	ゼノンコミックス	徳間書店	6	978-4-19x4	徳間書店	5	9784867201633	978-4-86720	コアミックス	2025-08-04	4巻2020-03→-	65		蒼天の拳 リジェネシス（5）	ゼノンコミックス	コアミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON3(12%)+RAKPUB	80-bunch-no-inu	80番地の犬	standard	スコラレディースコミック	スコラ	6	978-4-7962x5	スコラ	6	9784873171661	978-4-87317	あおば出版	2000-09-16	5巻1995-05→-	64		81番地の犬（6）	あおばコミックス	あおば出版
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+TITLEDIFF+RAKPUB	dynamite-staff	ダイナマイトスタッフ	standard	ホビージャパンコミックス	ホビージャパン	3	978-4-938461x1	ホビージャパン	3	9784931396319	978-4-931396	ノアール出版	1998-08	1巻1993-04→-	64		ダイナマイトSTAFF（3）		ノアール出版
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON30(25%)	hisonzai-byourigaku-nyuumon	非存在病理学入門	standard	Bamboo comics	竹書房	4	978-4-88475x2	竹書房	4	9784812453315	978-4-8124	竹書房	2000-03	2巻1994-11→-	64		非存在病理学入門（第4巻）	バンブーコミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON66(17%)+RAKPUB	kage-kara-mamoru	陰からマモル!	standard	MFコミックス	メディアファクトリー	8	978-4-8401x6	メディアファクトリー	7	9784040672601	978-4-04	KADOKAWA	2015-02-23	6巻2009-11→-	63		陰からマモル！　7	MFコミックス アライブシリーズ	KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	dance-in-za-vampire-bund-sledge-hammer-no-tsuioku	ダンスインザヴァンパイアバンドスレッジ・ハマーの追憶	standard	MFコミックス	メディアファクトリー	3	978-4-8401x2	メディアファクトリー	3	9784864727457	978-4-86472	TOブックス	2018-10	2巻2013-08→-	62		ダンスインザヴァンパイアバンド　スレッジ・ハマーの追憶（下）	CORONA　COMICS	TOブックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON4(29%)+RAKPUB	wakatono-wa-tsuraiyo	若殿はつらいよ!	standard	Bunkasha comics	楽楽出版	4	978-4-86704x3	楽楽出版	1	9784821178575	978-4-8211	ぶんか社	2016-05	-→2巻2021-07	62		若殿はつらいよ！大波瀾！東海道編	ぶんか社コミックス	ぶんか社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)	nanawo-chiitoitsu	ナナヲチートイツ	standard	近代麻雀コミックス	竹書房	4	978-4-8124x3	竹書房	4	9784801962309	978-4-8019	竹書房	2018-04	3巻2013-04→-	60		ナナヲチートイツー紅龍ー（4）	近代麻雀コミックス	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB	hotta	堀田	standard	F×comics	太田出版	4	978-4-87233x2	太田出版	4	9784778321192	978-4-7783	太田出版	2010-09	2巻2005-10→-	59		堀田（4）	F×comics	太田出版
F参考(先頭/末尾=移籍濃厚)	先頭	PUB不明+BANDRARE1+PAIRONLY	gomikku-haikibutsu	ゴミック「廃貴物」	standard		日報	6	978-4-89086x4		1	9784930767424	978-4-930767		1990-07	-→3巻1995-04	57		ゴミック「廃貴物」		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+EDWORD:新装版/新装+RAKPUB	pippira-note	ぴっぴら帳	standard	ACTION COMICS	双葉社	3	978-4-575x2	双葉社	3	9784867203767	978-4-86720	コアミックス	2022-08	2巻2017-11→-	57		ぴっぴら帳【新装版】（下）	ゼノンコミックス DX	コアミックス
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+PAIRCOMMON4(29%)+RAKPUB	tokumei-kakarichou-tadano-hitoshi-final	特命係長只野仁ファイナル	standard	Bunkasha comics	楽楽出版	4	978-4-86704x3	楽楽出版	1	9784821176663	978-4-8211	ぶんか社	2015-04	-→2巻2020-01	57		特命係長只野仁ファイナル（モテ過ぎる男編）	ぶんか社コミックス	ぶんか社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON27(8%)	ultra-heaven	ウルトラヘヴン	standard	BEAM COMICS	エンターブレイン	3	978-4-7577x2	エンターブレイン	3	9784047261280	978-4-04	KADOKAWA	2009-12	2巻2005-04→-	56		ウルトラヘヴン（3）	ビームコミックス	エンターブレイン
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON23(23%)+RAKPUB	nyan-koi	にゃんこい!	standard	Flex comix	ソフトバンククリエイティブ	6	978-4-7973x5	ソフトバンククリエイティブ	6	9784593857906	978-4-593	ほるぷ出版	2014-10-11	5巻2010-03→-	55		にゃんこい！（6）	メテオCOMICS	フレックスコミックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUB不明+PAIRONLY+RAKPUB	hotel-hibiscus	ホテル・ハイビスカス	standard	モーニングKC	ボーダーインク	4	978-4-938923x2		4	9784899820383	978-4-89982	ボーダーインク	2003-03-20	2巻1998-11→-	52		ホテル・ハイビスカス（4）		地方・小出版流通センター
F参考(先頭/末尾=移籍濃厚)	末尾	PUB不明+BANDRARE1+PAIRONLY	setsuko-yamada-no-nekozanmai	セツコ・山田の猫三昧	standard		緑書房	4	978-4-938396x3		4	9784903518350	978-4-903518		2009-06	3巻2005-02→-	52		セツコ・山田の猫三昧（第4巻）		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(76%)	shuchuu-ni-otoshite-iidesuka	手中に落としていいですか	standard	LiQulle Comics	オーバーラップ	4	978-4-86554x2	オーバーラップ	3	9784824006752	978-4-8240	オーバーラップ	2023-12-15	2巻2019-08→-	52		手中に落としていいですか 3		
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON56(76%)	shuchuu-ni-otoshite-iidesuka	手中に落としていいですか	standard	LiQulle Comics	オーバーラップ	4	978-4-86554x2	オーバーラップ	4	9784824006769	978-4-8240	オーバーラップ	2023-12-15	2巻2019-08→-	52		手中に落としていいですか 4		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+RAKPUB	doraneko-theater	ドラネコシアター	standard	ファミ通ブックス	アスキー	4	978-4-7561x2	アスキー	4	9784757705531	978-4-7577	エンターブレイン	2001-09	2巻1997-06→-	51		ドラネコシアター（Final　collectio）	Beam　comix	エンターブレイン
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB	kirepapa	キレパパ。	standard	ドラコミックス	コアマガジン	4	978-4-87734x2	コアマガジン	4	9784862526342	978-4-86252	コアマガジン	2009-08	2巻2005-05→-	51		キレパパ。（4）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	torimania	トリマニア	standard	ガンガンコミックスonline	スクウェア・エニックス	6	978-4-7575x5	スクウェア・エニックス	6	9784592166542	978-4-592	白泉社	2023-04	5巻2019-01→-	51		トリマニア 6	ヤングアニマルコミックス	白泉社
F参考(先頭/末尾=移籍濃厚)	先頭	PUB不明+BANDRARE1+PAIRONLY	gomikku-haikibutsu	ゴミック「廃貴物」	standard		日報	6	978-4-89086x4		2	9784930767837	978-4-930767		1991-03	-→3巻1995-04	49		漫画ゴミック「廃貴物」（第2集）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+RAKPUB	karikura	カリクラ	standard	ヤンマガKC	講談社	3	978-4-06x2	講談社	3	9784872336634	978-4-87233	太田出版	2002-06	2巻1998-05→-	49		カリクラ（下）	Ohta　comics	太田出版
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB	pachisuro-yancha-gaiden	パチスロやんちゃ外伝	standard	ドンキーコミックスシリーズ	綜合図書	4	978-4-915450x3	綜合図書	7	9784862980335	978-4-86298	綜合図書	2008-12	4巻2004-11→-	49		やんちゃ外伝（青春タコスロ編）	ドンキーコミックス	綜合図書
F参考(先頭/末尾=移籍濃厚)	先頭	SAME_PUB+PAIRCOMMON5(62%)	sabaku-no-usagi	砂漠のウサギ	standard	通常版	イカロス出版	6	978-4-8022x4	イカロス出版	1	9784863204812	978-4-86320	イカロス出版	2011-07	-→3巻2015-08	49		砂漠のウサギ　1941年6月〜11月の戦い		イカロス出版
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON9(28%)+RAKPUB	sougiya-file	葬儀屋事件簿	standard	エルジーエーコミックス	青泉社	3	978-4-907203x2	青泉社	3	9784910429243	978-4-910429	青泉社	2021-08-19	2巻2017-07→-	49		葬儀屋事件簿（3）	LGAコミックス	青泉社（千代田区）
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON102(19%)+EDWORD:セレクション	isshou-tsuzukerarenai-shigoto	一生続けられない仕事	standard	Bamboo comics	竹書房	4	978-4-8124x2	竹書房	3	9784801954076	978-4-8019	竹書房	2015-12	2巻2011-12→-	48		一生続けられない仕事（3）	バンブーコミックス　麗人セレクション	竹書房
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+PAIRCOMMON16(29%)	zurui-hito-ni-hirowaremashita	ずるい男に拾われました	standard	Tulle Comics	ブライト出版	4	978-4-86123x3	ブライト出版	4	9784867871263	978-4-86787	ブライト出版	2025-08-15	3巻2021-08→-	48		続・ずるい男に拾われました 4	Tulle　Comics	ブライト出版
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON25(16%)	complex	コンプレックス	standard	Be-boy comics	ビブロス	4	978-4-88271x2	青磁ビブロス	4	9784835213347	978-4-8352	ビブロス	2002-05-10	2巻1998-06→-	47		コンプレックス（4）	Be-boy　comics	ビブロス
