重症度	位置	証拠	slug	題	版type	版imprint	版publisher	版の巻数	多数派帯	多数派社名	浮巻番号	浮ISBN	浮帯	浮帯の社名	浮巻発売日	前後の多数派	ズレ月	連番からの想定ISBN	楽天題	楽天叢書	楽天出版社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP19y+RAKPUB	unico	ユニコ	standard	ギフトブック	講談社	3	978-4-06x2	講談社	3	9784091480835	978-4-09	小学館	2005-02-05	2巻1985-08→-	234		ユニコ（3）	ぴっかぴかコミックスカラー版	小学館
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+GAP19y+RAKPUB	kuooto-ando-half	1/4×1/2	standard	眠れぬ夜の奇妙な話コミックス	朝日新聞出版	7	978-4-02x5	朝日新聞出版	1	9784257901792	978-4-257	朝日ソノラマ	1993-03	-→5巻2012-06	231		1／4×1／2	眠れぬ夜の奇妙な話コミックス	朝日ソノラマ
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP18y+RAKPUB	bouken-gabotenjima	冒険ガボテン島	standard	虫コミックス	朝日ソノラマ	3	978-4-257x2	朝日ソノラマ	3	9784775910221	978-4-7759	パンローリング	2005-02-05	2巻1986-11→-	219		冒険ガボテン島（下）	マンガショップシリ-ズ	パンローリング
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP18y+RAKPUB	horobi-no-utage	滅びの宴	standard	秋田コミックス・セレクト	秋田書店	3	978-4-253x2	秋田書店	3	9784418041190	978-4-418	世界文化社	2004-04	2巻1986-04→-	216		滅びの宴（下巻）	アリババコミックス	世界文化社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP17y	chouken-leap	超犬リープ	standard	サンデー・コミックス	朝日ソノラマ	3	978-4-257x2	朝日ソノラマ	3	9784775910153	978-4-7759	パンローリング	2004-12-05	2巻1987-08→-	208		超犬リープ（下）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP16y+RAKPUB	tezuka-osamu-monogatari	手塚治虫物語	standard		朝日新聞社	3	978-4-02x2	朝日新聞出版	3	9784323071503	978-4-323	金の星社	2009-03	2巻1992-10→-	197		手塚治虫物語（3）		金の星社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP16y+RAKPUB	obake	オバケ	standard	モーニングKC	講談社	3	978-4-06x2	講談社	3	9784334901554	978-4-334	光文社	2008-10	2巻1992-07→-	195		オバケ（下巻）	光文社コミック叢書signal	光文社
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRCOMMON41(23%)+GAP16y+EDWORD:新装版/新装+RAKPUB	boogiepop-wa-warawanai	ブギーポップは笑わない	standard	DC animation magazine wide	メディアワークス	3	978-4-8402x2	メディアワークス	3	9784049122428	978-4-04	KADOKAWA	2018-12-28	2巻2002-12→-	192		ブギーポップは笑わない 新装版 下		KADOKAWA
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP15y	makuranosoushi	枕草子	standard	コミグラフィック	角川書店	3	978-4-04x2	KADOKAWA	3	9784323072340	978-4-323	金の星社	2011-03	2巻1995-05→-	190		枕草子（下）		
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+PAIRONLY+GAP15y+RAKPUB	kaijin-nijuumensou	怪人二十面相	standard	藤子不二雄Aランド	ブッキング	3	978-4-8354x2	復刊ドットコム	3	9784847068256	978-4-8470	ワニブックス	2018-08	2巻2002-11→-	189		怪人二十面相（下巻）	GUM　COMICS　Plus　少年探偵シリーズ	ワニブックス
F参考(先頭/末尾=移籍濃厚)	末尾	PUBDIFF+GAP15y	haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	standard		集英社	3	978-4-08x2	集英社	3	9784834274745	978-4-8342	ホーム社	2010-06-23	2巻1994-12→-	186		覇王大系リューナイト（下）	ＨＭＢ	集英社
F参考(先頭/末尾=移籍濃厚)	末尾	SAME_PUB+GAP15y	motherfuckers	マザーファッカーズ	standard	ドラコミックススペシャル	コアマガジン	3	978-4-86252x1	コアマガジン	3	9784866536330	978-4-86653	コアマガジン	2022-09-02	1巻2007-04→-	185		マザーファッカーズ 3　BL畑の片隅で		
F参考(先頭/末尾=移籍濃厚)	先頭	PUBDIFF+GAP15y+RAKPUB	kuooto-ando-half	1/4×1/2	standard	眠れぬ夜の奇妙な話コミックス	朝日新聞出版	7	978-4-02x5	朝日新聞出版	2	9784257902904	978-4-257	朝日ソノラマ	1997-03	-→5巻2012-06	183		1／4×1／2（続）	眠れぬ夜の奇妙な話コミックス	朝日ソノラマ
