slug	last_pub_year	anilist_status	anilist_end_year
magnolia-waltz	1995	FINISHED	1995
matenshi-sayoko	1995	-	
merry-go-round	1995	FINISHED	1995
metal-hunters-d	1995	-	
misuteru-no-juunin	1995	-	
mosaic-city	1995	-	
mouryouki-den	1995	FINISHED	1995
nanja-ninja-monja-kun	1995	-	
nude	1995	-	
office-mate	1995	-	
osaru-na-masaru-kun	1995	-	
papa-wa-bakenshi	1995	-	
paraiso-road	1995	-	
paroyakyuu-news	1995	-	
rajikaru-guardian	1995	-	
re-birth	1995	-	
reisen-kikou-shiua	1995	-	
rocket-princess	1995	FINISHED	
romantic-ushinosuke	1995	-	
saiyuuki-1994	1995	-	
sale	1995	-	
sasurainogyanburaa	1995	-	
seishun-no-shippo	1995	FINISHED	1978
shiki-sentaro-1979	1995	-	
shinin-gari	1995	-	
sono-go-no-gegege-no-kitarou	1995	-	
tekki-kenshi-buouden	1995	-	
tonde-buurin-ikeda1995	1995	FINISHED	1995
toudai-kaishingeki	1995	-	
tsuki-no-pure-hoshiyami-no-sapphire	1995	-	
two-hearts	1995	FINISHED	1995
world-heroes-1994	1995	-	
yamiyo-no-hon	1995	FINISHED	1983
yukino-scramble	1995	FINISHED	1995
yuumu	1995	-	
3d-boys	1996	-	
airin-dream	1996	FINISHED	1996
andarushiahime	1996	-	
ao-ringo-meikyuu	1996	FINISHED	
belle-saison	1996	-	
body	1996	-	
boom-town	1996	FINISHED	1996
burasu-knuckle	1996	FINISHED	1995
chotto-gomen-neko	1996	-	
chou-diienuei-suit-furogguman	1996	-	
daidaya-toogoo	1996	FINISHED	1990
detana-tsuinbii	1996	-	
embryo	1996	FINISHED	1996
fake-1991	1996	FINISHED	1996
final-age	1996	FINISHED	1996
futaridake-no-season	1996	-	
ganbare-goemon	1996	-	
ganbare-goemon-3	1996	-	
ganjou-ningen-suparutakasu	1996	-	
garudia	1996	FINISHED	1996
genroku-otatami-bugyou-no-nikki	1996	-	
girls-lesson	1996	FINISHED	
hana-no-bijohime	1996	FINISHED	1976
hokusai	1996	FINISHED	1987
hong-kong-working-girl	1996	-	
ienakiko-2	1996	-	
ikeike-kachou	1996	-	
irasshai-1996	1996	-	
jin-chan-to-asobo	1996	-	
kateinihoero	1996	-	
kekkonttenannano	1996	-	
kintama-rettou	1996	-	
kotou-no-boukensha	1996	FINISHED	1996
kounai-shasei	1996	FINISHED	1991
mahou-daibouken-dada-to-kozo	1996	-	
maiya	1996	-	
mamonogatari	1996	FINISHED	1985
manga-suikoden	1996	FINISHED	1996
miboujin-wa-ogenkijirushi	1996	-	
moeru-aki	1996	FINISHED	1996
monkey-business	1996	-	
naito-gundam-ougon-shinwa	1996	-	
negative-lovers	1996	-	
nidaime-hanayama-gundan	1996	-	
occult-shoujo-jigoku-chan	1996	-	
ooboke-choujin-ukkariman	1996	-	
osawagase-prism-lady	1996	-	
pp-scramble	1996	FINISHED	1996
red-kabura	1996	-	
rekka-fuuma-den	1996	-	
revery-earth	1996	FINISHED	1996
rockman-7	1996	-	
shinpen-yami-no-hate-kara	1996	FINISHED	1993
shizuka-hime-den	1996	FINISHED	1996
super-mario-yoshi-island	1996	FINISHED	1996
two-hearts-1995	1996	-	
wakaba-hanafubuki	1996	FINISHED	1996
warning	1996	FINISHED	1996
yoake-no-yowakkii	1996	-	
yumeiro-fuanta	1996	FINISHED	
zeruda-no-densetsu	1996	FINISHED	1996
4-kai-no-mizu-sakurako	1997	-	
9ji-kara-5jihan-made	1997	FINISHED	1989
action-daimaou	1997	-	
ai-hitotsu-akiko	1997	-	
anan-no-hoshi	1997	FINISHED	1997
aoi-shinario	1997	-	
apple-paradise	1997	FINISHED	1997
aru-hazu-no-nai-umi	1997	-	
boku-o-yakyuu-ni-tsuretette	1997	-	
chipa-panic	1997	-	
chokugekiken-mitsuru	1997	-	
