slug	title	canonical	norm_key	巻番号	版
old-boy-ruuzu-senki	オールド・ボーイ ルーズ戦記	同名	有	アクシヨンコミツクス	重複	standard/アクションコミックス/8巻[1, 2, 3, 4, 5, 6, 7, 8] || shinsoban/アクションコミックス/8巻[1, 2, 3, 4, 5, 6, 7, 8]
ookami-kozou	狼小僧	同名	有	小学館文庫	重複	bunkobon/小学館文庫/3巻[1, 2, 3] || bunkobon/小学館文庫/2巻[1, 2]
ore-no-kendo	俺の剣道	同名	有	SPコミツクス	重複	standard/SPコミックス/5巻[1, 2, 3, 4, 5] || shinsoban/SPコミックス/20巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]
orenosora	俺の空	同名	有	ヤングジヤンプコミツクススペシヤル	重複	shinsoban/ヤングジャンプ・コミックス・スペシャル/8巻[1, 2, 3, 4, 5, 6, 7, 8] || shinsoban/ヤングジャンプ・コミックス・スペシャル/2巻[2, 3]
otoko-oidon	男おいどん	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/6巻[1, 2, 3, 4, 5, 6] || bunkobon/講談社漫画文庫/9巻[1, 2, 3, 4, 5, 6, 7, 8, 9]
ou-sama-no-shitateya	王様の仕立て屋	表記ゆれ	有	ヤングジヤンプコミツクスGJ	重複	standard/ヤングジャンプコミックスGJ/18巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19] || shinsoban/ヤングジャンプ・コミックスGJ/13巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] || shinsoban/ヤングジャンプコミックスGJ/3巻[6, 7, 17]
ou-sama-no-shitateya	王様の仕立て屋	同名	有	ジヤンプコミツクスデラツクス	重複	deluxe/ジャンプ・コミックスデラックス/2巻[1, 3] || deluxe/ジャンプ・コミックスデラックス/26巻[1, 2, 3, 4, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]
plamo-kyoushirou	プラモ狂四郎	同名	有	KPC	重複	shinsoban/KPC/1巻[1] || shinsoban/KPC/1巻[1]
ps-genki-desu-shunpei	P.S.元気です、俊平	同名	有	KCデラツクス	重複	deluxe/KCデラックス/9巻[1, 2, 3, 4, 5, 6, 7, 8, 9] || deluxe/KCデラックス/9巻[1, 2, 3, 4, 5, 6, 7, 8, 9]
purantsu-doll	観用少女	同名	有	ソノラマコミツク文庫	重複	bunkobon/ソノラマコミック文庫/2巻[1, 2] || bunkobon/ソノラマコミック文庫/2巻[1, 2]
pureibooru	プレイボール	同名	有	ジヤンプコミツクス	重複	standard/ジャンプ・コミックス/22巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22] || shinsoban/ジャンプ・コミックス/5巻[12, 13, 14, 16, 22]
queen-emeraldas	クイーンエメラルダス	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/2巻[1, 2] || bunkobon/講談社漫画文庫/2巻[1, 2]
ruriiro-princess	るり色プリンセス	同名	無	MBコミツクス	重複	standard/MBコミックス/4巻[1, 2, 3, 4] || standard/MBコミックス/2巻[1, 2]
saint-seiya-the-lost-canvas-meiou-shinwa	聖闘士星矢THE LOST CANVAS冥王神話	同名	有	少年チヤンピオンコミツクス	重複	standard/少年チャンピオン・コミックス/25巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] || shinsoban/少年チャンピオン・コミックス/1巻[8]
sanada-kenryuu	真田剣流	同名	有	小学館文庫	重複	bunkobon/小学館文庫/3巻[1, 2, 3] || bunkobon/小学館文庫/2巻[1, 2]
sasaki-sama-ni-negai-o	ササキ様に願いを	同名	有	Bamboocomics	重複	standard/Bamboo comics/5巻[1, 2, 3, 4, 5] || shinsoban/Bamboo comics/1巻[1]
sd-gundam-musha-maruden-3	SD頑駄無 武者○伝3	同名	有	KCDX	重複	standard/KCDX/2巻[1, 3] || shinsoban/KCDX/1巻[1]
sengoku-shishiden	戦国獅子伝	同名	有	アクシヨンコミツクス	重複	shinsoban/アクション・コミックス/7巻[1, 2, 3, 4, 5, 6, 7] || shinsoban/アクション・コミックス/6巻[1, 2, 3, 4, 6, 7]
sengoku-youko	戦国妖狐	同名	有	BLADECOMICS	重複	standard/BLADE COMICS/17巻[3, 2, 1, 8, 9, 10, 11, 12, 14, 7, 6, 4, 5, 15, 13, 16, 17] || shinsoban/BLADE COMICS/6巻[1, 2, 3, 4, 5, 6]
shiawasenojikan	幸せの時間	同名	有	ACTIONCOMICS	重複	standard/ACTION COMICS/9巻[1, 2, 3, 4, 5, 6, 7, 8, 9] || shinsoban/ACTION COMICS/1巻[7] || shinsoban/ACTION COMICS/2巻[1, 2]
shidenkai-no-taka	紫電改のタカ	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/6巻[6, 5, 4, 3, 2, 1] || bunkobon/講談社漫画文庫/4巻[4, 3, 2, 1]
shimakko	島っ子	同名	有	講談社コミツクス	相補	shinsoban/講談社コミックス/1巻[4] || shinsoban/講談社コミックス/1巻[2]
shin-obake-no-qtarou	新オバケのQ太郎	同名	有	てんとう虫コミツクス	重複	shinsoban/てんとう虫コミックス/4巻[1, 2, 3, 4] || shinsoban/てんとう虫コミックス/4巻[1, 2, 3, 4]
shinshi-kyoutei-o-musubou	紳士協定を結ぼう!	同名	有	あすかコミツクスCL-DX	重複	standard/あすかコミックスCL-DX/2巻[2, 3] || shinsoban/あすかコミックスCL-DX/2巻[1, 3]
survival	サバイバル	同名	有	SPコミツクス	重複	shinsoban/SPコミックス/16巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] || shinsoban/SPコミックス/4巻[1, 2, 5, 8]
taraobannai	多羅尾伴内	同名	有	講談社コミツクス	重複	shinsoban/講談社コミックス/3巻[1, 2, 3] || shinsoban/講談社コミックス/1巻[1]
