isbn	reason	adult	title	base	vol	brand	pub	date
9784396784577	no_creator		On blue : boys love anthology for ultimate entertainment	On blue	vol. 36		祥伝社	2018-09
9784862977359	no_creator		爆烈ラブデトネーション : ヒロアカ/爆豪受け同人誌アンソロジー	爆烈ラブデトネーション		ムーグコミックス	ジーウォーク	2018-04
9784815500344	no_creator		メスイキ×強制BL : 悦がり狂うお前が見たい	メスイキ×強制BL		Charles Comics	三交社	2018-09
9784074307753	no_creator		おいしいごはんなつかし亭	おいしいごはんなつかし亭	初秋号	主婦の友ヒットシリーズ	主婦の友社	2018-09
9784799211748	no_creator	1	変態催眠 : 肉便器堕ちした美少女たち : 別冊コミックアンリアル	変態催眠		アンリアルコミックス	キルタイムコミュニケーション	2018-09
9784861237638	no_creator		BLおとぎ話 : 乙女のための空想物語	BLおとぎ話	4		ブライト出版	2018-08
9784865357332	no_creator		旬のつまみでほろよいくつろぎ酒	旬のつまみでほろよいくつろぎ酒		GW comics	ガイドワークス	2018-04
9784866531700	no_creator		まんが最狂悪の実話ドキュメント	まんが最狂悪の実話ドキュメント		コアコミックス	コアマガジン	2018-04
9784865357424	no_creator		時代劇コミック斬	時代劇コミック斬	vol. 7	GW mook	ガイドワークス	2018-05
9784801915916	no_creator		本当にあった愉快な話読者投稿プレミアム	本当にあった愉快な話読者投稿プレミアム	2018 秋号	バンブームック	竹書房	2018-09
9784087920314	no_creator		君恋 : BOYS LOVE ANTHOLOGY	君恋	学生編02	愛蔵版コミックス	集英社	2018-08
9784087920321	no_creator		君恋 : BOYS LOVE ANTHOLOGY	君恋	社会人編02	愛蔵版コミックス	集英社	2018-08
9784815550103	no_creator		タチネコ争奪BL : どちゃシコ汁だくマッチ!!	タチネコ争奪BL		DAISY COMICS	三交社	2018-09
9784865358117	no_creator		漫画パチンカーZ +	漫画パチンカーZ +	vol. 1	GW mook	ガイドワークス	2018-10
9784821136889	no_creator		ごはん日和	ごはん日和	vol. 12	Bunkasha comics	ぶんか社	2018-08
9784866531670	no_creator		まんがこれが現実貧しい日本 : 自分ファースト余裕なし	まんがこれが現実貧しい日本		コアコミックス	コアマガジン	2018-04
9784344841642	no_creator		たそがれ食堂	たそがれ食堂	vol. 5	バーズコミックスプラス	幻冬舎	2018-02
9784799211816	no_creator	1	敗北乙女エクスタシー	敗北乙女エクスタシー	SP.05	二次元ドリームコミックス	キルタイムコミュニケーション	2018-09
9784758009447	no_creator		亜人 (デミ) ちゃんは語りたいコミックアンソロジーガシガシ	亜人 (デミ) ちゃんは語りたいコミックアンソロジーガシガシ		DNAメディアコミックススペシャル	一迅社	2017-04
9784396784553	no_creator		号外on blue 3rd season : boys love anthology for ultimate entertainment	号外on blue 3rd season	vol. 1		祥伝社	2018-08
