判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
別題ISBN無交差=概ね正当	B_基底頁あり	mahouka-koukou-no-rettousei-2016	mahouka-koukou-no-rettousei	7	3	0	魔法科高校の劣等生 来訪者編	魔法科高校の劣等生 スティープルチェース編	マジコ!/佐島勤/Shounen/Magic	蒼和伸/佐島勤/Magic	2015	2019	mahouka-koukou-no-rettousei-raihousha-hen	mahouka-koukou-no-rettousei-steeplechase-hen
別題ISBN無交差=概ね正当	B_基底頁あり	mahouka-koukou-no-rettousei-2017	mahouka-koukou-no-rettousei	3	3	0	魔法科高校の劣等生 夏休み編	魔法科高校の劣等生 スティープルチェース編	柚木N'/Magic	蒼和伸/佐島勤/Magic	2017	2019	mahouka-koukou-no-rettousei-natsuyasumi-hen	mahouka-koukou-no-rettousei-steeplechase-hen
別題ISBN無交差=概ね正当	B_基底頁あり	mahouka-koukou-no-rettousei-2018	mahouka-koukou-no-rettousei	9	3	0	魔法科高校の劣等生 師族会議編	魔法科高校の劣等生 スティープルチェース編	竹田羽角/佐島勤/Magic	蒼和伸/佐島勤/Magic	2020	2019	mahouka-koukou-no-rettousei-shizoku-kaigi-hen	mahouka-koukou-no-rettousei-steeplechase-hen
別題ISBN無交差=概ね正当	B_基底頁あり	maia-2025	maia	4	7	0	まいあMaia	まいあ	有吉京子/バレエ/パリ/オペラ座	有吉京子/Josei	2025	2006	maia-2025	maia
別題ISBN無交差=概ね正当	B_基底頁あり	meitantei-conan-2005	meitantei-conan	50	111	0	名探偵コナン特別編	名探偵コナン	阿部ゆたか/丸伝次郎/太田勝/窪田一裕/青山剛昌/平良隆久	青山剛昌	1997	1994	meitantei-conan-2005	meitantei-conan
別題ISBN無交差=概ね正当	B_基底頁あり	milk-crown-2003	milk-crown	2	4	0	ミルククラウンrs	ミルククラウン	水都あくあ/Shoujo/Male Harem	水都あくあ/Shoujo/Male Harem	2003	2000	milk-crown-2003	milk-crown
別題ISBN無交差=概ね正当	B_基底頁あり	mind-game-2004	mind-game	1	3	0	マインド・ゲーム	Mind game	ロビン西/Seinen	ロビン西/Seinen	2004	1995	mind-game-2004	mind-game
別題ISBN無交差=概ね正当	B_基底頁あり	mugen-shinshi-1998	mugen-shinshi	2	15	0	夢幻紳士 マンガ少年版	夢幻紳士	高橋葉介/Shounen	高橋葉介/Shounen	1998	1983	mugen-shinshi-1998	mugen-shinshi
別題ISBN無交差=概ね正当	B_基底頁あり	my-pure-lady-2024	my-pure-lady	6	21	0	マイピュアレディー	My Pure Lady	とみさわ千夏/八月薫/官能/車/大人の恋愛	八月薫/とみさわ千夏	2024	2007	my-pure-lady-2024	my-pure-lady
別題ISBN無交差=概ね正当	B_基底頁あり	naki-no-ryuu-2017	naki-no-ryuu	5	9	0	哭きの竜 外伝	哭きの竜	能條純一/Seinen/Yakuza	能條純一/Mahjong/Gambling/Gangs/Yakuza/Seinen	2017	1986	naki-no-ryuu-2017	naki-no-ryuu
別題ISBN無交差=概ね正当	B_基底頁あり	neko-tan-2025	neko-tan	3	3	0	ネコたん!	ねこたん。	かるかん/ZENZO/Animals/昭和/探偵/事件	大橋つよし/Animals	2025	2015	neko-tan-2025	neko-tan
