判定	分類	slugA(年付)	slugB(相手)	A巻数	B巻数	ISBN交差	A題	B題	A著者	B著者	A開始年	B開始年	A公開slug	B公開slug
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	sugars-kurosaki-2007	sugars	1	9	0	シュガーズ☆	シュガーズ	黒崎みのり/Shoujo	やまもり三香/Shoujo/Love Triangle/Heterosexual/Age Gap	2007	2009	sugars-kurosaki-2007	sugars
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	suikoden-inoe-2003	suikoden	3	11	0	水滸伝	水滸伝	井上紀良/北方謙三/Classic Literature/Shounen	横山光輝/Classic Literature/Shounen	2003	1969	suikoden-inoe-2003	suikoden
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	switch-2002	switch-new-era-basketball-comic	13	15	0	Switch	switch	naked ape/Police/Crime/Criminal Organization/Drugs/Shounen/Boys' Love	波切敦/Basketball/Shounen	2002	2018	switch-2002	switch-new-era-basketball-comic
裁定済: 正当(作画者が異なる別コミカライズ)	C_基底頁なし	tsubakihime-watanabe-2001	tsubakihime	1	1	0	椿姫	椿姫	わたなべまさこ/デュマ・フィス	バラエティ・アートワークス/デュマ・フィス	2001	1996	tsubakihime-watanabe-2001	tsubakihime
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	tsukuyomi-yamagishi-1996	tsukiyomi	1	2	0	月読	月読	山岸凉子/Shoujo/Mythology	瀬野春紀/太田忠司/Shoujo	1996	2009	tsukuyomi-yamagishi-1996	tsukiyomi
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	ultraman-kazumine-1968	ultraman	4	4	0	ウルトラマン	ウルトラマン	一峰大二/Shounen/Tokusatsu	楳図かずお/Shounen/Tokusatsu	1986	1978	ultraman-kazumine-1968	ultraman
裁定済: 1997サンデーC=一峰版復刻(NDL責任表示で確定)→一峰頁へ版タブ統合(2026-08-10)	C_基底頁なし	ultraman-kazumine-1968	ultraman-tsuburaya-1997	4	2	0	ウルトラマン	ウルトラマン	一峰大二/Shounen/Tokusatsu	一峰大二/楳図かずお/円谷プロダクション/Shounen/Tokusatsu	1986	1997	ultraman-kazumine-1968	ultraman-tsuburaya-1997
裁定済: 1997サンデーC=一峰版復刻(NDL責任表示で確定)→一峰頁へ版タブ統合(2026-08-10)	C_基底頁なし	ultraman-tsuburaya-1997	ultraman	2	4	0	ウルトラマン	ウルトラマン	一峰大二/楳図かずお/円谷プロダクション/Shounen/Tokusatsu	楳図かずお/Shounen/Tokusatsu	1997	1978	ultraman-tsuburaya-1997	ultraman
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	wakakusa-monogatari-kitajima-1989	wakakusa-monogatari-nev-2011	1	1	0	若草物語	若草物語	北島洋子/オルコット/Shoujo	nev/AlcottLouisa May/Shoujo/Classic Literature	1977	2011	wakakusa-monogatari-kitajima-1989	wakakusa-monogatari-nev-2011
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	wasurerarenai-tanikawa-2012	wasurerarenai	1	1	0	忘れられない	忘れられない	谷川史子/Shoujo	かわちゆかり/Shoujo	2012	1995	wasurerarenai-tanikawa-2012	wasurerarenai
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	watashi-nouryoku-wa-heikinchi-de-tte-ittayone	4	5	0	私、能力は平均値でって言ったよね!	私、能力は平均値でって言ったよね!	ねこみんと/Isekai/Magic	iimAn/桜井竜矢/亜方逸樹/FUNA/Isekai/Magic	2017	2022	watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	watashi-nouryoku-wa-heikinchi-de-tte-ittayone
裁定済: 正当(別作画コミカライズ=原作共通の併存)	C_基底頁なし	yasashii-akuma-fujii-1992	yasashii-akuma	1	11	0	やさしい悪魔	やさしい悪魔	坂井久仁江/Shoujo	川口まどか/Shoujo	1992	1989	yasashii-akuma-fujii-1992	yasashii-akuma
