page_slug	series_title	n_isbn(未掲載版)	page_vols	imprint	sid
shake-hip	シェイク・ヒップ	2	3	FTCシリーズ	54408
body	BODY	2	3	Emerald comics	57785
joy	JOY	2	2	Honey Milk Comics	59382
nude	NUDE	2	3	SHONEN CHAMPION COMI	60141
sherlock-berugureebia-no-shuubun	SHERLOCKベルグレービアの醜聞	2	2		60796
star-wars	STAR WARS	2	2	スター・ウォーズ・コミックス	60898
love-holic	loveholic	2	2	Be×boy comics	61865
arashi-no-yoruni	あらしのよるに	2	1	ぴっかぴかコミックスアニメ版	62986
sorekara	それから	2	1	MANGA BUNGOシリーズ	67301
tadaima-okaeri	ただいま、おかえり	2	1	Poe backs	67464
himawari-ueno-2005	ひまわり	2	1	角川コミックス・エース	69697
pocha-x-rabu	ぽちゃ×ラブ♥	2	2	Missy comics	70549
manga-grimm-douwa-2003	まんがグリム童話	2	1	まんがグリム童話	70973
manga-grimm-douwa-2003	まんがグリム童話	2	1	まんがグリム童話	70974
manga-kabuki-nyuumon	まんが歌舞伎入門	2	2		71068
kapsel-jodtinktur	カプセル・ヨードチンキ	2	2	Zero comics	74895
ged-senki	ゲド戦記	2	2	アニメージュコミックススペシャル	76413
jieenea	ジェーン・エア	2	2	双葉文庫名作シリーズ	77857
joker-2000-2	ジョーカー	2	3	DC COMICS	78024
supuun-oba-san	スプーンおばさん	2	3	GKコミックス	78591
tandem-high	タンデム・ハイ	2	2	バーガーSC	79337
haunted-campus	ホーンテッド・キャンパス	2	3	角川コミックス・エース	84206
minami-no-teiou-young-hen-riken-kuukou-special	ミナミの帝王　ヤング編 利権空港スペシャル	2	3	Gコミックス	85471
ragnarok-online	ラグナロクオンライン	2	1	マジキューコミックス	86288
ring-1996	リング	2	3	単行本コミックス	86862
vampire-1996	ヴァンパイア	2	2	ピチコミックス	87621
sanshirou	三四郎	2	1	MANGA BUNGOシリーズ	88000
furin-hakusho	不倫白書	2	2	King series	88206
izu-no-odoriko	伊豆の踊子	2	2	MANGA BUNGOシリーズ	89633
kimi-ni-kisu-shitai	君にKISSしたい	2	3	MB comics	93096
