series_key	訳者	role
name:ジオゴ・サイトー|name:ガーディアンズ:チームアップ	中沢俊介	訳
name:ジドルー|name:最高の夏休み	原正人	訳
name:ジム・ザブ|name:テック・オン・アベンジャーズ	中沢俊介	訳
name:ジム・スターリン|name:バットマン:デス・イン・ザ・ファミリー	高木亮	訳
name:ジム・リー|name:スーサイド・スクワッド:ゴーイング・セイン	高木亮	訳
name:ジム・リー|name:スーサイド・スクワッド:ブラック・ヴォールト	高木亮	訳
name:ジャック・カービー|name:ベスト・オブ・キャプテン・アメリカ	石川裕人	訳
name:ジャド・ウィニック|name:バットマン:アンダー・ザ・レッドフード	高木亮	訳
name:ジャド・ウィニック|name:レッドフード:ロスト・デイズ	高木亮	訳
name:ジャネット・ハービー|name:バットマン:ノーマンズ・ランド	高木亮	訳
name:ジャン=ミシェル・シャルリエ|name:ブルーベリー 黄金の銃弾と亡霊	原正人	訳
name:ジャン・ジャック・サンペ|name:マルセランとルネ	谷川俊太郎	訳
name:ジュリアン・ブロンデル|name:DARK SOULS Redemption	原正人	訳
name:ジョエル・ジョーンズ|name:バットマン:ルール・オブ・エンゲージメント	中沢俊介	訳
name:ジョシュア・ウィリアムソン|name:インフィニット・フロンティア	中沢俊介	訳
name:ジョシュア・ウィリアムソン|name:ジャスティス・リーグ・インカーネイト	中沢俊介	訳
name:ジョシュア・ウィリアムソン|name:バットマン/スーパーマン:シークレット・シックス	高木亮	訳
name:ジョシュア・ウィリアムソン|name:バットマン/フラッシュ:ザ・ボタン	中沢俊介	訳
name:ジョシュア・ウィリアムソン|name:フラッシュ:ライトニング・ストライクス・トゥワイス	中沢俊介	訳
name:ジョシュア・コリン|name:デッドプール:トゥー・スーン?	中沢俊介	訳
name:ジョス・ウェドン|name:アストニッシングX-MEN:ギフテッド	石川裕人	訳
name:ジョス・ウェドン|name:アストニッシングX-MEN:デンジャラス	石川裕人	訳
name:ジョナサン・ヒックマン|name:X(テン)・オブ・ソーズ	高木亮	訳
name:ジョナサン・ヒックマン|name:X-MEN	高木亮	訳
name:ジョナサン・ヒックマン|name:X-MEN:ヘルファイア・ガラ	高木亮	訳
name:ジョナサン・ヒックマン|name:インフェルノ	高木亮	訳
name:ジョナサン・ヒックマン|name:スパイダーマン:フル・サークル	高木亮	訳
name:ジョナサン・ヒックマン|name:ハウス・オブ・X/パワーズ・オブ・X	高木亮	訳
name:ジョンイ|name:バンジのにゃむにゃむ日記	ラナ	訳
name:ジョン・ニー・リーバー|name:キャプテン・アメリカ:ニューディール	石川裕人	訳
name:ジョン・バーン|name:ワンダーウーマン:ベストバウト	中沢俊介	訳
name:ジョン・ビュッセマ|name:シルバーサーファー:パラブル	市川裕文	訳
name:ジョン・ビュッセマ|name:シルバーサーファー:パラブル	石川裕人	訳
name:ジョン・マクリア|name:ヒットマン	海法紀光	訳
name:ジョン・レイマン|name:ジョーカー:喪われた絆	高木亮	訳
name:ジョン・ワグナー|name:ヒストリー・オブ・バイオレンス	石川裕人	訳
name:ジョージ・ペレス|name:クライシス・オン・インフィニット・アース	石川裕人	訳
name:ジョージ・ミラー|name:マッドマックス怒りのデス・ロード	柳下毅一郎	訳
name:ジョー・ケリー|name:スパイダーマン/デッドプール:ブロマンス	高木亮	訳
name:スコット・オーカーマン|name:スパイダーマン/デッドプール:サイドピース	高木亮	訳
name:スコット・スナイダー|name:The Joker Story & Artbook	高木亮	訳
name:スコット・スナイダー|name:オールスター・バットマン:エンド・オブ・アース	中沢俊介	訳
name:スコット・スナイダー|name:オールスター・バットマン:ファースト・アライ	中沢俊介	訳
name:スコット・スナイダー|name:オールスター・バットマン:ワースト・エネミー	中沢俊介	訳
name:スコット・スナイダー|name:ジャスティス・リーグ:偽りの帝国	高木亮	訳
name:スコット・スナイダー|name:ジャスティス・リーグ:新たなる正義	高木亮	訳
name:スコット・スナイダー|name:ジャスティス・リーグ:正義の代償	高木亮	訳
name:スコット・スナイダー|name:ジャスティス・リーグ:破滅の凱歌	高木亮	訳
name:スコット・スナイダー|name:ジャスティス・リーグ:神々の墓所	高木亮	訳
name:スコット・スナイダー|name:バットマン	高木亮	訳
name:スコット・スナイダー|name:バットマン ゲート・オブ・ゴッサム	高木亮	訳
name:スコット・スナイダー|name:バットマン:エピローグ	中沢俊介	訳
name:スコット・スナイダー|name:バットマン:エンドゲーム	中沢俊介	訳
name:スコット・スナイダー|name:バットマン:スーパーヘヴィ	中沢俊介	訳
name:スコット・スナイダー|name:バットマン:ブラックミラー	高木亮	訳
name:スコット・スナイダー|name:バットマン:ブルーム	中沢俊介	訳
name:スコット・スナイダー|name:バットマン:ラストナイト・オン・アース	高木亮	訳
name:スコット・スナイダー|name:バットマン:梟の夜	高木亮	訳
name:スコット・スナイダー|name:バットマン・デスメタル	中沢俊介	訳
name:スコット・スナイダー|name:バットマン・デスメタル:ダーケスト・ナイト	中沢俊介	訳
name:スコット・スナイダー|name:バットマン・フー・ラフズ	中沢俊介	訳
name:スコット・スナイダー|name:バットマン・メタル:プレリュード	中沢俊介	訳
name:スコット・スナイダー|name:バットマン・メタル:ライジング	中沢俊介	訳
name:スコット・ロブデル|name:ジョーカー:喪われた絆	高木亮	訳
name:スコット・ロブデル|name:レッドフード＆アウトローズ	高木亮	訳
name:スタズ・ジョンソン|name:X-MENユニバース:シビル・ウォー	石川裕人	訳
name:スタン・リー|name:スパイダーマン:ステイシーの悲劇	高木亮	訳
name:スタン・リー|name:ベスト・オブ・アイアンマン	石川裕人	訳
name:スタン・リー|name:ベスト・オブ・スパイダーマン	石川裕人	訳
name:スタン・リー|name:マイティ・ソー:アスガルドの伝説	中沢俊介	訳
name:スチュアート・ムーア|name:デッドプール・ザ・ダック	中沢俊介	訳
name:スティーブ・オーランド|name:SPIDER-MAN2099:EXODUS	中沢俊介	訳
name:スティーブ・マクニーブン|name:シビル・ウォー	石川裕人	訳
name:ステファノ・ガウディアーノ|name:キャプテン・アメリカ:シビル・ウォー	石川裕人	訳
name:スージー・ベッカー|name:もうだいじょうぶ!の本	落合恵子	訳
name:スージー・ベッカー|name:大事なことはみーんな猫に教わった	谷川俊太郎	訳
name:スージー・ベッカー|name:大事なことはみーんな猫に教わった（そしてもっと）	谷川俊太郎	訳
name:ゼブ・ウェルズ|name:A+X:アベンジャーズ+X-MEN=最驚	中沢俊介	訳
name:ダグ・マーンキ|name:ジャスティス・リーグ:インジャスティス・リーグ	高木亮	訳
name:ダニエル・ウェイ|name:デッドプール	高木亮	訳
name:ダニエル・キブルスミス|name:ブラックパンサーVS.デッドプール	高木亮	訳
name:ダニエル・クロウズ|name:ウィルソン	中沢俊介	訳
name:ダンカン・フィグレド|name:ヘルボーイ 疾風怒濤	石川裕人	訳
name:ダンカン・フィグレド|name:ヘルボーイ:百鬼夜行	石川裕人	訳
name:ダン・ジャーゲンズ|name:ジョーカー・ウォー:コラテラル・ダメージ	中沢俊介	訳
name:ダン・スロット|name:A+X:アベンジャーズ+X-MEN=最強	中沢俊介	訳
name:ダン・スロット|name:IRON MAN2020ROBOT REVOLUTION	石川裕人	訳
name:ダン・スロット|name:カーネイジ:ブラック、ホワイト&ブラッド	中沢俊介	訳
name:ダン・スロット|name:スパイダーマン:クローン・コンスピラシー	高木亮	訳
name:ダン・スロット|name:スパイダーマン:ブランニュー・デイ	高木亮	訳
name:ダヴィッド・プリュドム|name:レベティコ|sub:雑草の歌	原正人	訳
name:ダヴィド・ムニョス|name:ヴァンパイアの大地	原正人	訳
name:チップ・ズダースキー|name:スパイダーマン:ライフストーリー	高木亮	訳
name:チップ・ズダースキー|name:ハワード・ザ・ダック:アヒルの探偵物語	中沢俊介	訳
name:チャック・ディクソン|name:ジョーカー:ラスト・ラフ	高木亮	訳
name:チャック・ディクソン|name:バットマンVS.ベイン	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン パワー・アウテイジ	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン ホット・イン・ザ・シティ	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン:キス・キス・バン・スタブ	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン:コール・トゥ・アームズ	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン:ジョーカーズ・ラスト・ラフ	高木亮	訳
name:チャド・ハーディン|name:ハーレイ・クイン:ブラック・ホワイト＆レッド	高木亮	訳
name:チャールズM.シュルツ|name:スヌーピーたちのやさしい関係	谷川俊太郎	訳
name:チャールズM.シュルツ|name:スヌーピーののんきが一番	谷川俊太郎	訳
name:チャールズM.シュルツ|name:スヌーピーのもっと気楽に	谷川俊太郎	訳
name:チャールズ|name:A PEANUTS BOOK featuring SNOOPY	谷川俊太郎	訳
name:チャールズ|name:A Peanuts Book Special featuring SNOOPY	谷川俊太郎	訳
name:チャールズ|name:SNOOPY	谷川俊太郎	訳
name:チャールズ|name:SNOOPYのしあわせ恋物語	谷川俊太郎	訳
name:チャールズ|name:Snoopyのちいさな恋人たち	谷川俊太郎	訳
name:チャールズ|name:Snoopyのときめき恋物語	谷川俊太郎	訳
name:チャールズ|name:いいキャディはなかなかいない	さくらももこ	訳
name:チャールズ|name:いつもいっしょのスヌーピー	谷川俊太郎	訳
name:チャールズ|name:きっと大丈夫と思えるスヌーピー	谷川俊太郎	訳
name:チャールズ|name:きみって素敵さぼくのバレンタイン!	さくらももこ	訳
name:チャールズ|name:ついてないとき心が晴れるスヌーピー	谷川俊太郎	訳
name:チャールズ|name:つまらない日も楽しくなるスヌーピー	谷川俊太郎	訳
name:チャールズ|name:どこかにキミを愛する人が	さくらももこ	訳
name:チャールズ|name:もつべきものは友	さくらももこ	訳
name:チャールズ|name:わーいクリスマスだ!	さくらももこ	訳
name:チャールズ|name:クッキー、もっといかが（元気が出るよ）	さくらももこ	訳
name:チャールズ|name:クリスマスなんだから仲良くしよう	さくらももこ	訳
name:チャールズ|name:ケーキのかけらもない誕生日	さくらももこ	訳
name:チャールズ|name:ストレスたまってる?	さくらももこ	訳
name:チャールズ|name:スヌーピーたちの心の相談室	谷川俊太郎	訳
name:チャールズ|name:スヌーピーののんきな日曜日	谷川俊太郎	訳
name:チャールズ|name:スヌーピーのもっと気楽に	谷川俊太郎	訳
name:チャールズ|name:スヌーピーのスクールデイズ	谷川俊太郎	訳
name:チャールズ|name:スヌーピーのラッキーデイズ	谷川俊太郎	訳
name:チャールズ|name:スヌーピーのラブリーデイズ	谷川俊太郎	訳
name:チャールズ|name:ハッピー・バースデー!	さくらももこ	訳
name:チャールズ|name:ピーナッツエッセンス	谷川俊太郎	訳
name:チャールズ|name:ママの瞳に乾杯	さくらももこ	訳
name:チャールズ|name:メリー・クリスマス!	さくらももこ	訳
name:チャールズ|name:一生の友	さくらももこ	訳
name:チャールズ|name:人生の知恵-その他もろもろ	さくらももこ	訳
name:チャールズ|name:便乗商法おことわり	さくらももこ	訳
name:チャールズ|name:励まされたいときのスヌーピー	谷川俊太郎	訳
name:チャールズ|name:恋の悩み	さくらももこ	訳
name:チャールズ|name:悩んだときに元気が出るスヌーピー	谷川俊太郎	訳
name:チャールズ|name:愛してる	さくらももこ	訳
name:チャールズ|name:救いようがない	さくらももこ	訳
name:チャールズ|name:木星から来た犬 月から来た猫	さくらももこ	訳
name:チャールズ|name:気持ちが楽になるスヌーピー	谷川俊太郎	訳
name:チャールズ|name:裁判沙汰はまっぴらだ	さくらももこ	訳
name:チャールズ・M.|name:スヌーピー＆暗い嵐の夜だった	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:A PEANUTS BOOK featuring SNOOPY	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:A Peanuts book special featuring Snoopy	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:Snoopyのちいさな恋物語	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーこんな生き方探してみよう	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーたちのやさしい関係	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーたちの宇宙旅行	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーのしあわせはあったかい子犬	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーののんきが一番	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーの初恋物語	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーの友だちがほしい	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーの大好きって手をつないで歩くこと	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーの安心は親指と毛布	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:スヌーピーはゴルフに夢中	林えりか	訳
name:チャールズ・M.シュルツ|name:バレンタインだよスヌーピー	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:ピーナッツ・エッセンス	谷川俊太郎	訳
name:チャールズ・M.シュルツ|name:愛の賛歌だよスヌーピー	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC ALL COLOR 50's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC ALL COLOR 70's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC ALL COLOR 80's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC ALL COLOR 90's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC SELECTION 50's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC SELECTION 60's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC SELECTION 70's	谷川俊太郎	訳
name:チャールズ・M・シュルツ|name:SNOOPY COMIC SELECTION 80's	谷川俊太郎	訳
