severity	kind	slug	title	ed_idx	ed_type	ed_imprint	ed_publisher	date	gran	n	ed_vols	frac	ed_batch	vols	cadence_mo	cad_src	span_months	serial_years	year_started	year_ended	event_slugs	isbn_block	nbr_n	nbr_same	nbr_inside	nbr_titles	nbr_titles_flat	nbr_span_mo	serial_width	isbn_proof_ok	local_rate	implied_months	rakuten	rk_distinct	rk_spread_mo	rk_offset_mo	rk_mono	rakuten_dates	legit_hint
MED	PARTIAL_BULK	kyou-kara-city-hunter-2021	今日から City hunter	0	standard	ゼノンコミックス	コアミックス	2020-04-01	day	5	18	0.28	1	1-5	4.3	observed	17.2	7	2020		1	5/5	24	0	0	5	0	63	5	0	1.11	3.6	1種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2020年04月01日 2:2020年04月01日 3:2020年04月01日 4:2020年04月01日 5:2020年04月01日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PLACEHOLDER_DATE	princess	Princess	0	standard	角川コミックス・ドラゴンJr.	角川書店	2003-01-01	day	5	5	1.0	5	1-5		assumed	10.0	1	2003	2003	1	5/5	101	0	0	27	2	50	5	0	2.56	1.6	1種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-1	1	1:2002年12月25日 2:2002年12月25日 3:2002年12月25日 4:2002年12月25日 5:2002年12月25日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	RAKUTEN_WIDE	ninja-bugeichou-kagemaruden	忍者武芸帳〈影丸伝〉	1	bunkobon	小学館文庫	小学館	1976-04-20	day	5	17	0.29	2	1-5	0.5	observed	2.0	2	1966	1967	1	5/5	7	0	0	1	0	83	5	0			4種/5件/散18ヶ月/本番との中央ズレ116ヶ月 ※楽天が重版・新装の日付を返している疑い(証拠として弱い)	4	18	116	0	1:1985年03月 2:1986年07月 3:1986年07月 4:1985年12月 5:1985年01月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別
MED	PARTIAL_BULK	mibu-gishiden	壬生義士伝	1	aizoban	愛蔵版コミックス	ホーム社	2014-04-17	day	4	13	0.31	1	1-4	9.2	observed	27.8	3	2010	2012	1	4/4	69	0	0	16	3	249	4	0	0.48	6.2	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2014年04月17日頃 2:2014年04月17日頃 3:2014年04月17日頃 4:2014年04月17日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
MED	PARTIAL_BULK	oruchuban-ebichu	おるちゅばんエビちゅ	1	kanzenban		双葉社	1997-07-17	day	4	15	0.27	1	1-4	9.0	observed	27.0	18	1990	2007	1	4/4	65	5	0	15	1	25	4	0	4.48	0.7	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:1997年07月17日頃 2:1997年07月17日頃 3:1997年07月17日頃 4:1997年07月17日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
MED	PARTIAL_BULK	ping-pong	ピンポン	0	standard	Big spirits comics special	小学館	2002-09	month	4	9	0.44	1	6-9	9.0	observed	27.0	7	1996	2002	1		0	0	0	0	0	0	0	0			1種/1件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	-2	0	7:2002年07月	
MED	PARTIAL_BULK	isshokenmei-hajime-hajime-kun	いっしょけんめいハジメくん	4	shinsoban	ビジネスジャンプ・コミックス	集英社	1990-07-27	day	4	8	0.5	1	3-6	7.3	observed	22.0	3	1981	1983	1	4/4	60	1	0	6	0	121	4	0			1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	3:1990年07月27日頃 4:1990年07月27日頃 5:1990年07月27日頃 6:1990年07月27日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別 / 楽天も実質同日
MED	PARTIAL_BULK	mierundesu	視えるんです。	0	standard	幽BOOKS	朝日新聞出版	2018-07	month	4	8	0.5	1	1-4	6.3	observed	18.9	5	2018	2022	1	4/4	48	1	0	9	0	152	4	0	0.71	4.2	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:2018年07月 2:2018年07月 3:2018年07月 4:2018年07月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1994-09	month	4	68	0.06	3	1-45(飛)	4.9	observed	14.6	28	1994	2021	1	4/45	16	0	0	3	2	132	45	0	0.74	59.3	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:1994年09月 2:1994年09月 44:1994年09月 45:1994年09月	楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1995-02	month	4	68	0.06	3	6-40(飛)	4.9	observed	14.6	28	1994	2021	2	4/35	14	0	0	2	1	132	35	0	0.74	45.8	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	6:1995年02月 7:1995年02月 39:1995年02月 40:1995年02月	楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1995-03	month	4	68	0.06	3	8-38(飛)	4.9	observed	14.6	28	1994	2021	1	4/31	14	0	0	2	1	132	31	0	0.74	40.4	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	8:1995年03月 9:1995年03月 37:1995年03月 38:1995年03月	楽天も実質同日
MED	PARTIAL_BULK	sazae-san	サザエさん	0	standard		朝日新聞社	1995-04	month	4	68	0.06	3	10-36(飛)	4.9	observed	14.6	28	1994	2021	2	4/27	14	0	0	2	1	132	27	0	0.74	35.0	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	10:1995年04月 11:1995年04月 35:1995年04月 36:1995年04月	楽天も実質同日
