key	base	role	new_slug	title	vols	year	surname	sur_src	flag
qid:Q11263975|name:ワールドヒーローズ	world-heroes	sub	world-heroes-1994	ワールドヒーローズ	3	1994		none	
name:Sound Horizon|name:Nein	nein	main	nein	Nein	3	2016		pykakasi	
qid:Q11321203|name:NEIN	nein	sub	nein-tojitsuki-2018	NEIN	2	2018	tojitsuki	anilist	
name:storia ＆ disegni|name:Z Mazinger	z-mazinger	main	z-mazinger	Z Mazinger	5	2004		pykakasi	
qid:Q551359|name:Zマジンガー	z-mazinger	sub	z-mazinger-1999	Zマジンガー	3	1999		pykakasi	
name:Tanaka|name:Gon	gon	drop-foreign		Gon	4		tanaka	pykakasi	FOREIGN_DROP
qid:Q523540|name:ゴン	gon	main	gon	ゴン	7	1992	tanaka	anilist	RESOLVED_BY_FOREIGN_DROP
qid:Q1721423|name:心	kokoro	main	kokoro	心	4	1997		none	
qid:Q9332488|name:こころ	kokoro	sub	kokoro-momochi-2006	こころ	4	2006	momochi	anilist	
name:夏目漱石|name:こころ	kokoro	sub	kokoro-natsume-2023	こころ	2	2023	natsume	anilist	
qid:Q4531338|name:銀河鉄道の夜	ginga-tetsudou-no-yoru	main	ginga-tetsudou-no-yoru	銀河鉄道の夜	4	1985	miyazawa	anilist	
name:Teamバンミカス|name:銀河鉄道の夜	ginga-tetsudou-no-yoru	sub	ginga-tetsudou-no-yoru-2023	銀河鉄道の夜	2	2023		pykakasi	
qid:Q11531964|name:銀河鉄道の夜	ginga-tetsudou-no-yoru	sub	ginga-tetsudou-no-yoru-miyazawa-1992	銀河鉄道の夜	1	1992	miyazawa	anilist	
name:tom等|name:blossoms	blossoms	main	blossoms	blossoms	2	2021	tomura	anilist	
qid:Q18545787|name:Blossoms	blossoms	sub	blossoms-2007	Blossoms	1	2007		none	
name:TYPE-MOON|name:Fate/Grand Order電撃コミックアンソロジー	fate-grand-order-dengeki-comic-anthology	main	fate-grand-order-dengeki-comic-anthology	Fate/Grand Order電撃コミックアンソロジー	15	2016	uonuma	anilist	
qid:Q11635974|name:Fate/Grand Order電撃コミックアンソロジー	fate-grand-order-dengeki-comic-anthology	sub	fate-grand-order-dengeki-comic-anthology-2018	Fate/Grand Order電撃コミックアンソロジー	1	2018		none	
name:TYPE-MOON|name:Fate/hollow ataraxia	fate-hollow-ataraxia	main	fate-hollow-ataraxia	Fate/hollow ataraxia	2	2014	nasu	anilist	
name:さかつき@めにまね|name:Fate/hollow ataraxia	fate-hollow-ataraxia	sub	fate-hollow-ataraxia-2	Fate/hollow ataraxia	2			pykakasi	DEFER_YEAR_MISSING
name:TYPE-MOON|name:Fate/stay night	fate-stay-night	main	fate-stay-night	Fate/stay night	20	2006	nasu	anilist	
qid:Q11537173|name:Fate/stay night	fate-stay-night	sub	fate-stay-night-2	Fate/stay night	1			none	DEFER_YEAR_MISSING
qid:Q11638941|name:花の都	hana-no-miyako	main	hana-no-miyako	花の都	3	2007		none	
name:TYPE-MOON|name:花のみやこ!	hana-no-miyako	sub	hana-no-miyako-kirishima-2013	花のみやこ!	3	2013	kirishima	anilist	
qid:Q2233211|name:デリバリー	delivery	main	delivery	デリバリー	2	2007	ohta	anilist	
qid:Q11252325|name:デリバリー	delivery	sub	delivery-usi-2018	デリバリー	2	2018	usi	anilist	
name:W.シェイクスピア|name:ロミオとジュリエット	romeo-to-juliet	main	romeo-to-juliet	ロミオとジュリエット	2	1995	igarashi	anilist	
